seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb2	1	50000	50000	*	6444	15789	0.408132243967319	CHG
Fvb2	50001	100000	50000	*	6727	21990	0.305911778080946	CHG
Fvb2	100001	150000	50000	*	13632	21395	0.637158214536107	CHG
Fvb2	150001	200000	50000	*	13160	34133	0.38555064014297	CHG
Fvb2	200001	250000	50000	*	10251	35949	0.285153968121505	CHG
Fvb2	250001	300000	50000	*	10720	38057	0.281682739049321	CHG
Fvb2	300001	350000	50000	*	14082	34349	0.409968266907334	CHG
Fvb2	350001	400000	50000	*	12311	39953	0.30813706104673	CHG
Fvb2	400001	450000	50000	*	9423	45567	0.206794390677464	CHG
Fvb2	450001	500000	50000	*	18815	33844	0.555933104833944	CHG
Fvb2	500001	550000	50000	*	2968	38516	0.077058884619379	CHG
Fvb2	550001	600000	50000	*	2898	43871	0.0660573043696291	CHG
Fvb2	600001	650000	50000	*	8005	35763	0.223834689483544	CHG
Fvb2	650001	700000	50000	*	10948	30414	0.35996580522128	CHG
Fvb2	700001	750000	50000	*	6530	28456	0.22947708743323	CHG
Fvb2	750001	800000	50000	*	5451	41477	0.13142223400921	CHG
Fvb2	800001	850000	50000	*	9980	38757	0.257501870629822	CHG
Fvb2	850001	900000	50000	*	8111	30490	0.266021646441456	CHG
Fvb2	900001	950000	50000	*	17893	29151	0.613803986141127	CHG
Fvb2	950001	1000000	50000	*	3177	21868	0.145280775562466	CHG
Fvb2	1000001	1050000	50000	*	152	19749	0.0076965922325181	CHG
Fvb2	1050001	1100000	50000	*	4474	17996	0.248610802400533	CHG
Fvb2	1100001	1150000	50000	*	5483	36879	0.148675397922937	CHG
Fvb2	1150001	1200000	50000	*	2884	28277	0.101991017434664	CHG
Fvb2	1200001	1250000	50000	*	3670	33627	0.109138489903946	CHG
Fvb2	1250001	1300000	50000	*	2027	46377	0.0437070099402721	CHG
Fvb2	1300001	1350000	50000	*	6712	42948	0.156282015460557	CHG
Fvb2	1350001	1400000	50000	*	7743	36611	0.21149381333479	CHG
Fvb2	1400001	1450000	50000	*	5934	36190	0.16396794694667	CHG
Fvb2	1450001	1500000	50000	*	8061	44067	0.182925999046906	CHG
Fvb2	1500001	1550000	50000	*	3487	50565	0.06896074359735	CHG
Fvb2	1550001	1600000	50000	*	7428	18894	0.393140679580819	CHG
Fvb2	1600001	1650000	50000	*	10966	27371	0.400643016331153	CHG
Fvb2	1650001	1700000	50000	*	1783	38144	0.0467439177852349	CHG
Fvb2	1700001	1750000	50000	*	4047	39480	0.102507598784195	CHG
Fvb2	1750001	1800000	50000	*	5196	25676	0.202367970088799	CHG
Fvb2	1800001	1850000	50000	*	7331	43579	0.168223226783543	CHG
Fvb2	1850001	1900000	50000	*	10882	27660	0.393420101229212	CHG
Fvb2	1900001	1950000	50000	*	3213	32237	0.0996680832583677	CHG
Fvb2	1950001	2000000	50000	*	3860	18142	0.212765957446809	CHG
Fvb2	2000001	2050000	50000	*	7656	31471	0.243271583362461	CHG
Fvb2	2050001	2100000	50000	*	6557	36220	0.181032578685809	CHG
Fvb2	2100001	2150000	50000	*	9231	38918	0.237191017010124	CHG
Fvb2	2150001	2200000	50000	*	7183	47303	0.15185083398516	CHG
Fvb2	2200001	2250000	50000	*	9950	21684	0.458863678288139	CHG
