group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK42D	Fvb1	1	50000	50000	*	1567	20257	0.0773559757120995	CHG
1	FK42D	Fvb1	50001	100000	50000	*	1951	24406	0.0799393591739736	CHG
1	FK42D	Fvb1	100001	150000	50000	*	306	27737	0.0110321952626456	CHG
1	FK42D	Fvb1	150001	200000	50000	*	2135	25003	0.0853897532296125	CHG
1	FK42D	Fvb1	200001	250000	50000	*	702	22476	0.0312333155365723	CHG
1	FK42D	Fvb1	250001	300000	50000	*	3833	24594	0.155851020574124	CHG
1	FK42D	Fvb1	300001	350000	50000	*	329	24726	0.0133058319178193	CHG
1	FK42D	Fvb1	350001	400000	50000	*	1226	26578	0.0461283768530363	CHG
1	FK42D	Fvb1	400001	450000	50000	*	870	22464	0.0387286324786325	CHG
1	FK42D	Fvb1	450001	500000	50000	*	1748	23521	0.0743165681731219	CHG
1	FK42D	Fvb1	500001	550000	50000	*	421	20368	0.0206696779261587	CHG
1	FK42D	Fvb1	550001	600000	50000	*	476	23626	0.0201472953525777	CHG
1	FK42D	Fvb1	600001	650000	50000	*	1115	24743	0.0450632502121812	CHG
1	FK42D	Fvb1	650001	700000	50000	*	1051	17022	0.0617436258958994	CHG
1	FK42D	Fvb1	700001	750000	50000	*	2775	24738	0.11217560029105	CHG
1	FK42D	Fvb1	750001	800000	50000	*	4423	22788	0.194093382482008	CHG
1	FK42D	Fvb1	800001	850000	50000	*	2753	23524	0.117029416765856	CHG
1	FK42D	Fvb1	850001	900000	50000	*	1137	21708	0.0523770038695412	CHG
1	FK42D	Fvb1	900001	950000	50000	*	155	24279	0.00638411796202479	CHG
1	FK42D	Fvb1	950001	1000000	50000	*	1372	23405	0.0586199530014954	CHG
1	FK42D	Fvb1	1000001	1050000	50000	*	914	22790	0.0401053093462045	CHG
1	FK42D	Fvb1	1050001	1100000	50000	*	500	22816	0.021914446002805	CHG
1	FK42D	Fvb1	1100001	1150000	50000	*	901	18855	0.0477857332272607	CHG
1	FK42D	Fvb1	1150001	1200000	50000	*	666	23452	0.0283984308374552	CHG
1	FK42D	Fvb1	1200001	1250000	50000	*	3956	22780	0.173661106233538	CHG
1	FK42D	Fvb1	1250001	1300000	50000	*	5036	16975	0.296671575846834	CHG
1	FK42D	Fvb1	1300001	1350000	50000	*	1321	18743	0.0704796457344075	CHG
1	FK42D	Fvb1	1350001	1400000	50000	*	881	20078	0.0438788723976492	CHG
1	FK42D	Fvb1	1400001	1450000	50000	*	421	22175	0.0189853438556933	CHG
1	FK42D	Fvb1	1450001	1500000	50000	*	627	25497	0.0245911283680433	CHG
1	FK42D	Fvb1	1500001	1550000	50000	*	2556	21759	0.117468633668827	CHG
1	FK42D	Fvb1	1550001	1600000	50000	*	1384	23954	0.0577774066961677	CHG
1	FK42D	Fvb1	1600001	1650000	50000	*	1374	25510	0.0538612308898471	CHG
1	FK42D	Fvb1	1650001	1700000	50000	*	4844	27310	0.177370926400586	CHG
1	FK42D	Fvb1	1700001	1750000	50000	*	1716	21799	0.0787192073030873	CHG
1	FK42D	Fvb1	1750001	1800000	50000	*	392	23076	0.0169873461605131	CHG
1	FK42D	Fvb1	1800001	1850000	50000	*	317	24801	0.0127817426716665	CHG
1	FK42D	Fvb1	1850001	1900000	50000	*	1188	25133	0.0472685314128835	CHG
1	FK42D	Fvb1	1900001	1950000	50000	*	684	24335	0.0281076638586398	CHG
1	FK42D	Fvb1	1950001	2000000	50000	*	723	22700	0.0318502202643172	CHG
1	FK42D	Fvb1	2000001	2050000	50000	*	1304	24638	0.0529263738939849	CHG
1	FK42D	Fvb1	2050001	2100000	50000	*	810	20408	0.0396903175225402	CHG
1	FK42D	Fvb1	2100001	2150000	50000	*	1765	23324	0.0756731263934145	CHG
1	FK42D	Fvb1	2150001	2200000	50000	*	432	21889	0.0197359404266983	CHG
1	FK42D	Fvb1	2200001	2250000	50000	*	930	24905	0.0373418992170247	CHG
1	FK42D	Fvb1	2250001	2300000	50000	*	1336	17048	0.0783669638667292	CHG
1	FK42D	Fvb1	2300001	2350000	50000	*	654	24923	0.0262408217309313	CHG
1	FK42D	Fvb1	2350001	2400000	50000	*	1043	19568	0.053301308258381	CHG
1	FK42D	Fvb1	2400001	2450000	50000	*	1265	15630	0.0809341010876519	CHG
1	FK42D	Fvb1	2450001	2500000	50000	*	2188	20961	0.104384332808549	CHG
1	FK42D	Fvb1	2500001	2550000	50000	*	831	23429	0.0354688633744505	CHG
1	FK42D	Fvb1	2550001	2600000	50000	*	3777	16082	0.23485884840194	CHG
1	FK42D	Fvb1	2600001	2650000	50000	*	3265	18302	0.178395803737296	CHG
1	FK42D	Fvb1	2650001	2700000	50000	*	854	25063	0.0340741331843754	CHG
1	FK42D	Fvb1	2700001	2750000	50000	*	497	25879	0.0192047606167163	CHG
1	FK42D	Fvb1	2750001	2800000	50000	*	621	22314	0.0278300618445819	CHG
1	FK42D	Fvb1	2800001	2850000	50000	*	475	26104	0.0181964449892737	CHG
1	FK42D	Fvb1	2850001	2900000	50000	*	2106	23184	0.0908385093167702	CHG
1	FK42D	Fvb1	2900001	2950000	50000	*	253	27651	0.00914975950236881	CHG
1	FK42D	Fvb1	2950001	3000000	50000	*	1611	19043	0.084598015018642	CHG
1	FK42D	Fvb1	3000001	3050000	50000	*	592	27000	0.0219259259259259	CHG
1	FK42D	Fvb1	3050001	3100000	50000	*	10055	23717	0.423957498840494	CHG
1	FK42D	Fvb1	3100001	3150000	50000	*	1198	21583	0.0555066487513321	CHG
1	FK42D	Fvb1	3150001	3200000	50000	*	351	17997	0.019503250541757	CHG
1	FK42D	Fvb1	3200001	3250000	50000	*	327	25764	0.0126921285514672	CHG
1	FK42D	Fvb1	3250001	3300000	50000	*	1203	19803	0.0607483714588699	CHG
1	FK42D	Fvb1	3300001	3350000	50000	*	2982	24591	0.121263877028181	CHG
1	FK42D	Fvb1	3350001	3400000	50000	*	2499	21959	0.113802996493465	CHG
1	FK42D	Fvb1	3400001	3450000	50000	*	1265	25402	0.049799228407212	CHG
1	FK42D	Fvb1	3450001	3500000	50000	*	666	23038	0.0289087594409237	CHG
1	FK42D	Fvb1	3500001	3550000	50000	*	1594	23444	0.0679918102712848	CHG
1	FK42D	Fvb1	3550001	3600000	50000	*	3254	27447	0.118555762014063	CHG
1	FK42D	Fvb1	3600001	3650000	50000	*	2289	22929	0.0998299097213136	CHG
1	FK42D	Fvb1	3650001	3700000	50000	*	1064	24958	0.0426316211234875	CHG
1	FK42D	Fvb1	3700001	3750000	50000	*	765	14437	0.0529888480986355	CHG
1	FK42D	Fvb1	3750001	3800000	50000	*	1224	22872	0.0535152151101784	CHG
1	FK42D	Fvb1	3800001	3850000	50000	*	276	26967	0.0102347313383024	CHG
1	FK42D	Fvb1	3850001	3900000	50000	*	2891	11571	0.249848759830611	CHG
1	FK42D	Fvb1	3900001	3950000	50000	*	1674	24852	0.0673587638821825	CHG
1	FK42D	Fvb1	3950001	4000000	50000	*	1572	19012	0.0826846202398485	CHG
1	FK42D	Fvb1	4000001	4050000	50000	*	1146	22634	0.0506317928779712	CHG
1	FK42D	Fvb1	4050001	4100000	50000	*	1145	23627	0.0484615059042621	CHG
1	FK42D	Fvb1	4100001	4150000	50000	*	1456	22291	0.0653178412812346	CHG
1	FK42D	Fvb1	4150001	4200000	50000	*	498	21374	0.0232993356414335	CHG
1	FK42D	Fvb1	4200001	4250000	50000	*	420	23168	0.018128453038674	CHG
1	FK42D	Fvb1	4250001	4300000	50000	*	484	22859	0.0211732796710267	CHG
