seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tes	score	phase
contig_10	31404	31453	50	*	25	279	0.0896057347670251	335	942	0.355626326963907	18	CHH	1	3.0779774470918e-15	gain	NA	NA	NA	NA	NA
contig_12	21401	21450	50	*	8	172	0.0465116279069767	133	339	0.392330383480826	17	CHH	1	3.06812110914416e-14	gain	NA	NA	NA	NA	NA
contig_17	18806	18855	50	*	0	36	0	26	77	0.337662337662338	8	CHH	1	0.0001846036067644	gain	EVM	SO:0005836	FvH4_c17g00030	1	NA
contig_17	21056	21105	50	*	41	106	0.386792452830189	17	178	0.0955056179775281	14	CHH	-1	8.64670659990816e-08	loss	EVM	SO:0005836	FvH4_c17g00040	1	NA
contig_17	21556	21605	50	*	41	86	0.476744186046512	22	155	0.141935483870968	18	CHH	-1	2.58975283798638e-07	loss	EVM	SO:0005836	FvH4_c17g00040	1	NA
contig_17	21906	21955	50	*	89	143	0.622377622377622	47	206	0.228155339805825	16	CHH	-1	1.15764835076955e-11	loss	NA	NA	NA	NA	NA
contig_17	21956	22005	50	*	18	79	0.227848101265823	5	187	0.0267379679144385	15	CHH	-1	1.20214482704043e-06	loss	NA	NA	NA	NA	NA
contig_17	33506	33555	50	*	16	60	0.266666666666667	0	79	0	15	CHH	-1	7.76174993200912e-06	loss	NA	NA	NA	NA	NA
contig_17	34206	34255	50	*	10	151	0.0662251655629139	51	175	0.291428571428571	18	CHH	1	2.14723414300833e-06	gain	NA	NA	NA	NA	NA
contig_17	34506	34555	50	*	9	64	0.140625	46	134	0.343283582089552	10	CHH	1	0.00335852268115714	gain	NA	NA	NA	NA	NA
contig_17	34556	34605	50	*	11	78	0.141025641025641	47	117	0.401709401709402	11	CHH	1	0.000231565311581051	gain	NA	NA	NA	NA	NA
contig_17	34606	34655	50	*	10	85	0.117647058823529	68	129	0.527131782945736	16	CHH	1	3.14900962557437e-08	gain	NA	NA	NA	NA	NA
contig_17	44856	44905	50	*	15	64	0.234375	3	102	0.0294117647058824	11	CHH	-1	0.000110312952745795	loss	EVM	SO:0005836	FvH4_c17g00080	1	NA
contig_2	30503	30552	50	*	0	36	0	13	55	0.236363636363636	8	CHH	1	0.00207817324537177	gain	NA	NA	NA	NA	NA
contig_2	32353	32402	50	*	37	71	0.52112676056338	37	199	0.185929648241206	17	CHH	-1	7.52974210710691e-07	loss	NA	NA	NA	NA	NA
contig_2	32403	32452	50	*	36	56	0.642857142857143	11	112	0.0982142857142857	14	CHH	-1	1.25164866614276e-11	loss	NA	NA	NA	NA	NA
contig_2	35953	36002	50	*	12	90	0.133333333333333	49	132	0.371212121212121	13	CHH	1	0.000233444075371857	gain	NA	NA	NA	NA	NA
contig_2	36303	36352	50	*	8	79	0.10126582278481	50	124	0.403225806451613	16	CHH	1	1.89479750032488e-05	gain	NA	NA	NA	NA	NA
contig_2	36453	36502	50	*	3	84	0.0357142857142857	33	101	0.326732673267327	19	CHH	1	5.31010301396822e-06	gain	NA	NA	NA	NA	NA
contig_20	4502	4551	50	*	129	1805	0.0714681440443213	1157	4205	0.275148632580262	21	CHH	1	2.50774350588691e-66	gain	NA	NA	NA	NA	NA
