seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
contig_10	31404	31503	100	*	648	1667	0.38872225554889	100	1008	0.0992063492063492	24	CHG	-1	2.12451750194313e-56	loss
contig_10	31504	31603	100	*	488	1788	0.272930648769575	51	1132	0.0450530035335689	26	CHG	-1	1.12732101639826e-51	loss
contig_12	7601	7700	100	*	78	215	0.362790697674419	9	91	0.0989010989010989	18	CHG	-1	2.1806748795909e-05	loss
contig_12	8701	8800	100	*	160	391	0.40920716112532	31	181	0.171270718232044	26	CHG	-1	3.40690889805223e-07	loss
contig_12	21201	21300	100	*	73	218	0.334862385321101	3	96	0.03125	23	CHG	-1	1.38569641647386e-07	loss
contig_12	21301	21400	100	*	228	579	0.393782383419689	45	311	0.144694533762058	28	CHG	-1	8.55579786887371e-13	loss
contig_12	31601	31700	100	*	100	240	0.416666666666667	12	97	0.123711340206186	24	CHG	-1	3.02080097643373e-06	loss
contig_12	31701	31800	100	*	202	350	0.577142857142857	17	106	0.160377358490566	24	CHG	-1	2.37059327007979e-12	loss
contig_12	31801	31900	100	*	172	425	0.404705882352941	20	139	0.143884892086331	23	CHG	-1	3.17187367627115e-07	loss
contig_12	31901	32000	100	*	54	134	0.402985074626866	6	97	0.0618556701030928	23	CHG	-1	1.063724288925e-07	loss
contig_12	32801	32900	100	*	66	241	0.273858921161826	8	213	0.0375586854460094	26	CHG	-1	3.18461073368178e-10	loss
contig_16	44701	44800	100	*	85	264	0.321969696969697	6	190	0.0315789473684211	23	CHG	-1	1.30205459030498e-12	loss
contig_17	34406	34505	100	*	30	82	0.365853658536585	7	54	0.12962962962963	4	CHG	-1	0.00245480261808339	loss
contig_20	4502	4601	100	*	1157	3586	0.322643614054657	198	1998	0.0990990990990991	25	CHG	-1	3.64949972025034e-75	loss
contig_20	4602	4701	100	*	911	1948	0.467659137577002	158	648	0.243827160493827	27	CHG	-1	1.30477590232633e-21	loss
contig_20	4902	5001	100	*	727	1640	0.443292682926829	106	681	0.155653450807636	24	CHG	-1	2.40392672698158e-37	loss
contig_20	5002	5101	100	*	753	2053	0.36678032148076	56	900	0.0622222222222222	24	CHG	-1	6.04928057137404e-63	loss
contig_20	5102	5201	100	*	130	406	0.320197044334975	10	149	0.0671140939597315	24	CHG	-1	2.64728348787636e-08	loss
contig_21	26904	27003	100	*	35	107	0.327102803738318	78	122	0.639344262295082	13	CHG	1	1.88129950690477e-05	gain
contig_22	11902	12001	100	*	132	458	0.2882096069869	14	246	0.0569105691056911	27	CHG	-1	1.92773552767519e-11	loss
contig_22	12402	12501	100	*	281	721	0.389736477115118	47	257	0.182879377431907	24	CHG	-1	3.62410452551386e-08	loss
contig_22	12502	12601	100	*	301	653	0.460949464012251	57	269	0.211895910780669	27	CHG	-1	5.90072587158724e-11	loss
contig_22	20502	20601	100	*	586	1220	0.480327868852459	38	416	0.0913461538461538	27	CHG	-1	5.87545130128528e-43	loss
contig_22	20602	20701	100	*	468	1339	0.349514563106796	33	516	0.063953488372093	23	CHG	-1	3.02767124806066e-33	loss
contig_22	20702	20801	100	*	344	723	0.475795297372061	86	352	0.244318181818182	20	CHG	-1	1.33748289165159e-11	loss
contig_22	27502	27601	100	*	113	288	0.392361111111111	15	148	0.101351351351351	26	CHG	-1	7.16136192780037e-09	loss
contig_22	42902	43001	100	*	92	181	0.50828729281768	39	161	0.242236024844721	24	CHG	-1	5.10910854026375e-06	loss
contig_22	43002	43101	100	*	68	118	0.576271186440678	7	99	0.0707070707070707	21	CHG	-1	3.6896575124127e-13	loss
contig_22	43102	43201	100	*	123	253	0.486166007905138	31	117	0.264957264957265	26	CHG	-1	0.000191224985131059	loss
contig_22	43202	43301	100	*	118	303	0.389438943894389	11	123	0.0894308943089431	26	CHG	-1	2.35975582261076e-08	loss
contig_22	43302	43401	100	*	234	623	0.375601926163724	28	244	0.114754098360656	25	CHG	-1	2.37059327007979e-12	loss
contig_22	43602	43701	100	*	166	304	0.546052631578947	74	257	0.287937743190661	27	CHG	-1	1.78515405774736e-08	loss
contig_4	11102	11201	100	*	40	95	0.421052631578947	9	61	0.147540983606557	10	CHG	-1	0.000525852316009801	loss
contig_5	16104	16203	100	*	127	138	0.920289855072464	89	139	0.640287769784173	23	CHG	-1	3.26540958051079e-07	loss
contig_6	36006	36105	100	*	68	92	0.739130434782609	57	60	0.95	8	CHG	1	0.000907921901246236	gain
contig_7	39401	39500	100	*	130	464	0.280172413793103	10	129	0.0775193798449612	27	CHG	-1	1.48246287776769e-05	loss
contig_8	14502	14601	100	*	69	103	0.669902912621359	65	74	0.878378378378378	10	CHG	1	0.00142372937052834	gain
contig_9	9303	9402	100	*	342	545	0.627522935779817	73	217	0.336405529953917	26	CHG	-1	1.25040397490159e-11	loss
contig_9	9403	9502	100	*	92	296	0.310810810810811	11	125	0.088	26	CHG	-1	1.14078816059681e-05	loss
contig_9	9803	9902	100	*	408	1107	0.368563685636856	55	445	0.123595505617978	23	CHG	-1	1.51858176641342e-19	loss
contig_9	9903	10002	100	*	998	2376	0.42003367003367	153	1065	0.143661971830986	24	CHG	-1	1.72101457204654e-54	loss
contig_9	10103	10202	100	*	246	835	0.294610778443114	31	434	0.0714285714285714	22	CHG	-1	5.98578678568453e-18	loss
contig_9	20803	20902	100	*	185	371	0.498652291105121	34	195	0.174358974358974	23	CHG	-1	2.37059327007979e-12	loss
contig_9	20903	21002	100	*	170	526	0.32319391634981	27	240	0.1125	25	CHG	-1	1.50868091757655e-08	loss
contig_9	21203	21302	100	*	320	933	0.342979635584137	43	322	0.133540372670807	22	CHG	-1	3.07529556663408e-11	loss
contig_9	21503	21602	100	*	394	690	0.571014492753623	57	220	0.259090909090909	24	CHG	-1	5.03373356853208e-14	loss
contig_9	31803	31902	100	*	119	290	0.410344827586207	19	190	0.1	25	CHG	-1	8.17993287846995e-12	loss
contig_9	31903	32002	100	*	425	1142	0.37215411558669	96	614	0.156351791530945	24	CHG	-1	3.46107263645275e-19	loss
contig_9	32103	32202	100	*	53	168	0.31547619047619	3	98	0.0306122448979592	22	CHG	-1	6.11198525707744e-07	loss
contig_9	32403	32502	100	*	226	434	0.52073732718894	53	269	0.197026022304833	24	CHG	-1	1.18198448038307e-15	loss
contig_9	42003	42102	100	*	87	306	0.284313725490196	21	326	0.0644171779141104	16	CHG	-1	8.39821418371392e-12	loss
contig_9	42103	42202	100	*	62	206	0.300970873786408	14	243	0.0576131687242798	23	CHG	-1	2.30042060276181e-10	loss
contig_9	42503	42602	100	*	1582	4288	0.368936567164179	328	2596	0.126348228043143	27	CHG	-1	4.57352606717973e-102	loss
contig_9	42603	42702	100	*	1384	3780	0.366137566137566	221	1866	0.118435155412647	25	CHG	-1	4.75057249357465e-81	loss
contig_9	42703	42802	100	*	65	234	0.277777777777778	7	120	0.0583333333333333	20	CHG	-1	1.15357412432827e-05	loss
contig_9	42903	43002	100	*	395	1201	0.328892589508743	62	510	0.12156862745098	24	CHG	-1	6.27606076651877e-17	loss
contig_9	43203	43302	100	*	609	1266	0.481042654028436	155	617	0.251215559157212	21	CHG	-1	1.51858176641342e-19	loss
contig_9	43303	43402	100	*	1847	4578	0.40345128877239	469	2377	0.197307530500631	23	CHG	-1	1.69893054104442e-64	loss
Fvb1	157603	157702	100	*	117	146	0.801369863013699	47	79	0.594936708860759	15	CHG	-1	0.000907921901246236	loss
Fvb1	267903	268002	100	*	62	73	0.849315068493151	45	79	0.569620253164557	9	CHG	-1	0.000354092052652444	loss
Fvb1	272803	272902	100	*	92	136	0.676470588235294	56	123	0.455284552845528	10	CHG	-1	0.000525754546557631	loss
Fvb1	273403	273502	100	*	59	74	0.797297297297297	28	56	0.5	7	CHG	-1	0.00055360812907015	loss
Fvb1	274403	274502	100	*	75	96	0.78125	59	121	0.487603305785124	9	CHG	-1	5.42536411564526e-05	loss
Fvb1	274503	274602	100	*	98	113	0.867256637168142	51	99	0.515151515151515	10	CHG	-1	3.65463167822267e-07	loss
Fvb1	275003	275102	100	*	82	100	0.82	47	83	0.566265060240964	11	CHG	-1	0.00037486003078591	loss
Fvb1	275203	275302	100	*	84	111	0.756756756756757	36	76	0.473684210526316	12	CHG	-1	0.000218880218198301	loss
Fvb1	748903	749002	100	*	102	119	0.857142857142857	71	116	0.612068965517241	11	CHG	-1	9.08628828154693e-05	loss
Fvb1	756003	756102	100	*	48	90	0.533333333333333	18	75	0.24	10	CHG	-1	0.000307124630760183	loss
Fvb1	761303	761402	100	*	43	73	0.589041095890411	12	52	0.230769230769231	8	CHG	-1	0.000213619286887562	loss
Fvb1	1135503	1135602	100	*	69	109	0.63302752293578	18	68	0.264705882352941	11	CHG	-1	1.62331041469627e-05	loss
Fvb1	1162903	1163002	100	*	22	48	0.458333333333333	4	41	0.0975609756097561	7	CHG	-1	0.000390327974335827	loss
Fvb1	1436403	1436502	100	*	53	95	0.557894736842105	18	70	0.257142857142857	10	CHG	-1	0.000289843765066636	loss
Fvb1	1652003	1652102	100	*	34	39	0.871794871794872	16	38	0.421052631578947	7	CHG	-1	0.000128924031424916	loss
Fvb1	1655403	1655502	100	*	96	130	0.738461538461539	34	78	0.435897435897436	9	CHG	-1	6.45646104718684e-05	loss
Fvb1	1689503	1689602	100	*	60	61	0.983606557377049	47	64	0.734375	11	CHG	-1	0.000217622976089383	loss
Fvb1	2617503	2617602	100	*	7	77	0.0909090909090909	33	100	0.33	9	CHG	1	0.000356676227419144	gain
Fvb1	3068903	3069002	100	*	89	113	0.787610619469027	39	71	0.549295774647887	8	CHG	-1	0.00074463096457929	loss
Fvb1	3085703	3085802	100	*	25	77	0.324675324675325	77	117	0.658119658119658	14	CHG	1	3.3750827557851e-05	gain
Fvb1	3360303	3360402	100	*	102	121	0.84297520661157	49	81	0.604938271604938	12	CHG	-1	0.000316714671519497	loss
Fvb1	3598203	3598302	100	*	132	157	0.840764331210191	53	91	0.582417582417582	11	CHG	-1	4.01127789601631e-05	loss
Fvb1	3601703	3601802	100	*	77	105	0.733333333333333	27	59	0.457627118644068	10	CHG	-1	0.000613083091727308	loss
Fvb1	4128103	4128202	100	*	187	207	0.903381642512077	139	202	0.688118811881188	18	CHG	-1	9.28924317404587e-07	loss
Fvb1	4431703	4431802	100	*	23	127	0.181102362204724	41	101	0.405940594059406	9	CHG	1	0.00036735538369753	gain
Fvb1	4540103	4540202	100	*	75	101	0.742574257425743	48	95	0.505263157894737	22	CHG	-1	0.000727713846494654	loss
Fvb1	4829403	4829502	100	*	56	70	0.8	19	50	0.38	7	CHG	-1	2.12376539020797e-05	loss
Fvb1	4859703	4859802	100	*	58	108	0.537037037037037	27	135	0.2	8	CHG	-1	6.81629422659572e-07	loss
Fvb1	4977703	4977802	100	*	85	113	0.752212389380531	65	120	0.541666666666667	12	CHG	-1	0.000856798209640978	loss
Fvb1	5218203	5218302	100	*	23	37	0.621621621621622	11	48	0.229166666666667	6	CHG	-1	0.00045036174742822	loss
Fvb1	5219403	5219502	100	*	47	59	0.796610169491525	20	55	0.363636363636364	8	CHG	-1	2.05747633697358e-05	loss
Fvb1	5227103	5227202	100	*	58	76	0.763157894736842	15	37	0.405405405405405	5	CHG	-1	0.000390327974335827	loss
Fvb1	5253703	5253802	100	*	93	121	0.768595041322314	47	86	0.546511627906977	10	CHG	-1	0.000834864966132445	loss
Fvb1	5253903	5254002	100	*	55	66	0.833333333333333	25	59	0.423728813559322	7	CHG	-1	1.63934574325031e-05	loss
Fvb1	5262703	5262802	100	*	17	40	0.425	35	42	0.833333333333333	7	CHG	1	0.000301793171563262	gain
Fvb1	5273403	5273502	100	*	62	70	0.885714285714286	26	43	0.604651162790698	7	CHG	-1	0.000647035905792236	loss
Fvb1	5278203	5278302	100	*	36	49	0.73469387755102	14	42	0.333333333333333	7	CHG	-1	0.000302425205640291	loss
Fvb1	5278303	5278402	100	*	44	52	0.846153846153846	14	30	0.466666666666667	6	CHG	-1	0.000472673622062604	loss
Fvb1	5353803	5353902	100	*	25	26	0.961538461538462	9	20	0.45	5	CHG	-1	0.000248834489101818	loss
Fvb1	5376903	5377002	100	*	51	74	0.689189189189189	25	62	0.403225806451613	15	CHG	-1	0.000874134700352953	loss
Fvb1	5490203	5490302	100	*	12	75	0.16	16	35	0.457142857142857	7	CHG	1	0.000894440897133283	gain
Fvb1	5812303	5812402	100	*	13	16	0.8125	3	16	0.1875	4	CHG	-1	0.000593488299682218	loss
Fvb1	6036003	6036102	100	*	12	36	0.333333333333333	1	42	0.0238095238095238	5	CHG	-1	0.000455047438885599	loss
Fvb1	7623903	7624002	100	*	113	143	0.79020979020979	77	131	0.587786259541985	14	CHG	-1	0.000480391393695216	loss
Fvb1	7624003	7624102	100	*	106	135	0.785185185185185	68	126	0.53968253968254	9	CHG	-1	0.00010597295962518	loss
Fvb1	8007503	8007602	100	*	2	43	0.0465116279069767	17	51	0.333333333333333	5	CHG	1	0.000700320011169052	gain
Fvb1	8313503	8313602	100	*	36	59	0.610169491525424	68	79	0.860759493670886	7	CHG	1	0.000806142558502653	gain
Fvb1	8500503	8500602	100	*	103	128	0.8046875	66	112	0.589285714285714	14	CHG	-1	0.000462226948806164	loss
Fvb1	9097403	9097502	100	*	241	276	0.873188405797101	58	90	0.644444444444444	21	CHG	-1	1.09131440023099e-05	loss
Fvb1	9183503	9183602	100	*	66	71	0.929577464788732	33	56	0.589285714285714	14	CHG	-1	2.94624365843191e-05	loss
Fvb1	9183603	9183702	100	*	102	124	0.82258064516129	24	93	0.258064516129032	19	CHG	-1	5.54305176369807e-15	loss
Fvb1	9357203	9357302	100	*	46	94	0.48936170212766	64	79	0.810126582278481	9	CHG	1	6.41225402297376e-05	gain
Fvb1	9518103	9518202	100	*	37	110	0.336363636363636	44	70	0.628571428571429	9	CHG	1	0.000297385934550064	gain
Fvb1	10038303	10038402	100	*	15	20	0.75	43	43	1	4	CHG	1	0.000747335211092224	gain
Fvb1	10110403	10110502	100	*	45	47	0.957446808510638	37	55	0.672727272727273	6	CHG	-1	0.000504045467152719	loss
Fvb1	10385803	10385902	100	*	163	189	0.862433862433862	51	88	0.579545454545455	22	CHG	-1	2.30227067334738e-06	loss
Fvb1	10549403	10549502	100	*	28	52	0.538461538461538	48	56	0.857142857142857	7	CHG	1	0.000488701882261168	gain
Fvb1	10564703	10564802	100	*	30	89	0.337078651685393	59	100	0.59	7	CHG	1	0.000665699247179995	gain
Fvb1	10733803	10733902	100	*	25	72	0.347222222222222	72	108	0.666666666666667	10	CHG	1	0.000104491536239936	gain
Fvb1	10766203	10766302	100	*	27	35	0.771428571428571	13	40	0.325	4	CHG	-1	0.000283811523880193	loss
Fvb1	11042203	11042302	100	*	41	56	0.732142857142857	88	94	0.936170212765957	8	CHG	1	0.000658828179383217	gain
Fvb1	11247203	11247302	100	*	1	49	0.0204081632653061	16	58	0.275862068965517	5	CHG	1	0.000515655777848917	gain
Fvb1	11447303	11447402	100	*	45	46	0.978260869565217	48	68	0.705882352941177	8	CHG	-1	0.000433246156261929	loss
Fvb1	11663403	11663502	100	*	65	107	0.607476635514019	80	91	0.879120879120879	10	CHG	1	8.00740484900082e-05	gain
Fvb1	12190003	12190102	100	*	126	153	0.823529411764706	75	122	0.614754098360656	20	CHG	-1	0.000276564242330992	loss
Fvb1	12190103	12190202	100	*	75	104	0.721153846153846	51	108	0.472222222222222	12	CHG	-1	0.000426776706969277	loss
Fvb1	12242003	12242102	100	*	43	71	0.605633802816901	39	43	0.906976744186046	9	CHG	1	0.000673154638455533	gain
Fvb1	12244803	12244902	100	*	56	73	0.767123287671233	34	75	0.453333333333333	14	CHG	-1	0.000254501886347057	loss
Fvb1	12264403	12264502	100	*	74	104	0.711538461538462	24	58	0.413793103448276	11	CHG	-1	0.00040339642295953	loss
Fvb1	12284803	12284902	100	*	28	101	0.277227722772277	57	114	0.5	10	CHG	1	0.000890237239284527	gain
Fvb1	12312803	12312902	100	*	2	57	0.0350877192982456	11	36	0.305555555555556	5	CHG	1	0.000449089884174726	gain
