group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NK42D	Fvb1	1	50000	50000	*	854	21878	0.0390346466770271	CHG
1	NK42D	Fvb1	50001	100000	50000	*	2666	22829	0.116781286959569	CHG
1	NK42D	Fvb1	100001	150000	50000	*	208	26766	0.0077710528282149	CHG
1	NK42D	Fvb1	150001	200000	50000	*	1248	20285	0.0615232930736998	CHG
1	NK42D	Fvb1	200001	250000	50000	*	466	23435	0.0198847877106891	CHG
1	NK42D	Fvb1	250001	300000	50000	*	1752	22156	0.0790756454233616	CHG
1	NK42D	Fvb1	300001	350000	50000	*	292	26440	0.0110438729198185	CHG
1	NK42D	Fvb1	350001	400000	50000	*	858	26228	0.0327131310050328	CHG
1	NK42D	Fvb1	400001	450000	50000	*	494	23071	0.0214121624550301	CHG
1	NK42D	Fvb1	450001	500000	50000	*	1131	22161	0.0510356030865033	CHG
1	NK42D	Fvb1	500001	550000	50000	*	484	16238	0.0298066264318266	CHG
1	NK42D	Fvb1	550001	600000	50000	*	344	21041	0.0163490328406445	CHG
1	NK42D	Fvb1	600001	650000	50000	*	191	18611	0.0102627478373005	CHG
1	NK42D	Fvb1	650001	700000	50000	*	204	10214	0.0199725866457803	CHG
1	NK42D	Fvb1	700001	750000	50000	*	932	16055	0.0580504515727188	CHG
1	NK42D	Fvb1	750001	800000	50000	*	1463	18222	0.0802875644824937	CHG
1	NK42D	Fvb1	800001	850000	50000	*	758	19387	0.0390983648836849	CHG
1	NK42D	Fvb1	850001	900000	50000	*	516	10739	0.0480491665890679	CHG
1	NK42D	Fvb1	900001	950000	50000	*	121	22714	0.00532711103284318	CHG
1	NK42D	Fvb1	950001	1000000	50000	*	1014	20762	0.0488392255081399	CHG
1	NK42D	Fvb1	1000001	1050000	50000	*	296	18334	0.0161448674593651	CHG
1	NK42D	Fvb1	1050001	1100000	50000	*	213	17509	0.0121651721971557	CHG
1	NK42D	Fvb1	1100001	1150000	50000	*	618	18183	0.0339877907935984	CHG
1	NK42D	Fvb1	1150001	1200000	50000	*	714	22080	0.0323369565217391	CHG
1	NK42D	Fvb1	1200001	1250000	50000	*	139	7169	0.0193890361277724	CHG
1	NK42D	Fvb1	1250001	1300000	50000	*	732	914	0.800875273522976	CHG
