seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tss	score	phase
contig_1	13001	13100	100	*	83	167	0.497005988023952	53	191	0.277486910994764	14	CG	-1	9.52697178531315e-05	loss	NA	NA	NA	NA	NA
contig_10	3304	3403	100	*	357	387	0.922480620155039	73	113	0.646017699115044	22	CG	-1	2.01914263652168e-11	loss	NA	NA	NA	NA	NA
contig_12	8101	8200	100	*	63	92	0.684782608695652	40	105	0.380952380952381	19	CG	-1	9.80793909037953e-05	loss	NA	NA	NA	NA	NA
contig_12	20801	20900	100	*	70	101	0.693069306930693	38	86	0.441860465116279	17	CG	-1	0.000746626927611671	loss	NA	NA	NA	NA	NA
contig_12	31301	31400	100	*	160	217	0.737327188940092	32	64	0.5	16	CG	-1	0.000580814162911131	loss	NA	NA	NA	NA	NA
contig_20	4302	4401	100	*	176	279	0.630824372759857	62	147	0.421768707482993	18	CG	-1	0.000138427483567113	loss	NA	NA	NA	NA	NA
contig_20	4402	4501	100	*	60	98	0.612244897959184	29	91	0.318681318681319	18	CG	-1	0.00019311596516514	loss	NA	NA	NA	NA	NA
contig_7	8601	8700	100	*	85	151	0.562913907284768	34	115	0.295652173913043	20	CG	-1	7.58517854437732e-05	loss	NA	NA	NA	NA	NA
contig_7	39801	39900	100	*	41	89	0.460674157303371	20	78	0.256410256410256	18	CG	-1	0.00623600127819107	loss	NA	NA	NA	NA	NA
contig_7	39901	40000	100	*	55	121	0.454545454545455	22	94	0.234042553191489	18	CG	-1	0.000948505943154946	loss	NA	NA	NA	NA	NA
contig_9	9103	9202	100	*	60	110	0.545454545454545	29	89	0.325842696629214	16	CG	-1	0.00195274092744393	loss	NA	NA	NA	NA	NA
Fvb1	461203	461302	100	*	14	38	0.368421052631579	28	37	0.756756756756757	4	CG	1	0.000871451054895152	gain	NA	NA	NA	NA	NA
Fvb1	1002403	1002502	100	*	37	45	0.822222222222222	21	44	0.477272727272727	6	CG	-1	0.000827142502303655	loss	NA	NA	NA	NA	NA
Fvb1	1172303	1172402	100	*	145	173	0.838150289017341	55	87	0.632183908045977	10	CG	-1	0.000425663215581437	loss	NA	NA	NA	NA	NA
Fvb1	1875703	1875802	100	*	58	77	0.753246753246753	88	91	0.967032967032967	10	CG	1	0.000156560624991461	gain	NA	NA	NA	NA	NA
Fvb1	2240403	2240502	100	*	66	67	0.985074626865672	24	31	0.774193548387097	4	CG	-1	0.000627522121955033	loss	NA	NA	NA	NA	NA
Fvb1	2254903	2255002	100	*	58	116	0.5	51	68	0.75	16	CG	1	0.000977939029420796	gain	NA	NA	NA	NA	NA
Fvb1	2667003	2667102	100	*	10	42	0.238095238095238	21	31	0.67741935483871	5	CG	1	0.000385042403832563	gain	NA	NA	NA	NA	NA
Fvb1	3611303	3611402	100	*	85	97	0.876288659793814	43	65	0.661538461538462	10	CG	-1	0.00105576871425355	loss	NA	NA	NA	NA	NA
Fvb1	3814603	3814702	100	*	73	82	0.890243902439024	30	47	0.638297872340426	10	CG	-1	0.000793450280961644	loss	EVM	SO:0001952	FvH4_1g07210	1	NA
Fvb1	4222903	4223002	100	*	9	16	0.5625	27	28	0.964285714285714	4	CG	1	0.000989157519028013	gain	NA	NA	NA	NA	NA
Fvb1	5152103	5152202	100	*	27	41	0.658536585365854	8	31	0.258064516129032	4	CG	-1	0.000914019014742032	loss	EVM	SO:0001952	FvH4_1g09620	1	NA
Fvb1	5494603	5494702	100	*	15	48	0.3125	0	34	0	6	CG	-1	0.000563695346220429	loss	NA	NA	NA	NA	NA
Fvb1	6727003	6727102	100	*	54	105	0.514285714285714	17	84	0.202380952380952	7	CG	-1	6.58117225734516e-05	loss	NA	NA	NA	NA	NA
