,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb3,context,group
1,Fvb3,1,50000,50000,*,11188,229225,0.00668393585611961,CHH,AK_FK
2,Fvb3,50001,100000,50000,*,4279,293118,0.00229393971779778,CHH,AK_FK
3,Fvb3,100001,150000,50000,*,4307,250521,0.00230884058317633,CHH,AK_FK
4,Fvb3,150001,200000,50000,*,2955,269912,0.00217887394485928,CHH,AK_FK
5,Fvb3,200001,250000,50000,*,4723,241131,0.00362066144325627,CHH,AK_FK
6,Fvb3,250001,300000,50000,*,2835,250276,0.00239139368717497,CHH,AK_FK
7,Fvb3,300001,350000,50000,*,8427,248042,-0.0317673506429547,CHH,AK_FK
8,Fvb3,350001,400000,50000,*,13495,226138,-0.0559030710354298,CHH,AK_FK
9,Fvb3,400001,450000,50000,*,3853,236099,0.00380834267386124,CHH,AK_FK
10,Fvb3,450001,500000,50000,*,6431,268192,0.00634767662655754,CHH,AK_FK
11,Fvb3,500001,550000,50000,*,5465,257934,0.00216025557924595,CHH,AK_FK
12,Fvb3,550001,600000,50000,*,10497,247685,0.00213002208798869,CHH,AK_FK
13,Fvb3,600001,650000,50000,*,25593,217723,-0.000572892340553147,CHH,AK_FK
14,Fvb3,650001,700000,50000,*,25264,268050,0.0139993655052586,CHH,AK_FK
15,Fvb3,700001,750000,50000,*,6804,250046,-0.00286358309393105,CHH,AK_FK
16,Fvb3,750001,800000,50000,*,5860,250417,0.00181441695413643,CHH,AK_FK
17,Fvb3,800001,850000,50000,*,13207,229990,0.00420977033561808,CHH,AK_FK
18,Fvb3,850001,900000,50000,*,4050,271837,0.00238499364677348,CHH,AK_FK
19,Fvb3,900001,950000,50000,*,6248,224339,-0.000716458325426786,CHH,AK_FK
20,Fvb3,950001,1000000,50000,*,3458,268330,0.000193564638198458,CHH,AK_FK
21,Fvb3,1000001,1050000,50000,*,5396,237278,-0.00140449545178232,CHH,AK_FK
22,Fvb3,1050001,1100000,50000,*,3269,207482,0.00290206906444836,CHH,AK_FK
23,Fvb3,1100001,1150000,50000,*,2963,112593,0.00848985927578207,CHH,AK_FK
24,Fvb3,1150001,1200000,50000,*,4428,254469,0.00332049284317433,CHH,AK_FK
25,Fvb3,1200001,1250000,50000,*,2367,247290,0.00116182766835234,CHH,AK_FK
26,Fvb3,1250001,1300000,50000,*,7023,246058,0.00384148386292219,CHH,AK_FK
27,Fvb3,1300001,1350000,50000,*,9765,255939,0.0148903464318496,CHH,AK_FK
28,Fvb3,1350001,1400000,50000,*,3436,264267,0.00259217942605379,CHH,AK_FK
29,Fvb3,1400001,1450000,50000,*,3458,216074,0.00721249844012048,CHH,AK_FK
30,Fvb3,1450001,1500000,50000,*,3415,134217,-0.00269958682525943,CHH,AK_FK
31,Fvb3,1500001,1550000,50000,*,4676,131828,-0.0217351790151811,CHH,AK_FK
32,Fvb3,1550001,1600000,50000,*,3209,233789,0.00435754331356889,CHH,AK_FK
33,Fvb3,1600001,1650000,50000,*,3915,208936,-0.00480245340210549,CHH,AK_FK
34,Fvb3,1650001,1700000,50000,*,8647,200673,0.000729794080370785,CHH,AK_FK
35,Fvb3,1700001,1750000,50000,*,8176,256553,0.00718291769048425,CHH,AK_FK
36,Fvb3,1750001,1800000,50000,*,6073,233338,0.00198418171847952,CHH,AK_FK
37,Fvb3,1800001,1850000,50000,*,7511,252280,0.0160188076945756,CHH,AK_FK
38,Fvb3,1850001,1900000,50000,*,3428,238567,0.00305630653501501,CHH,AK_FK
39,Fvb3,1900001,1950000,50000,*,3744,169145,0.00666942449564158,CHH,AK_FK
40,Fvb3,1950001,2000000,50000,*,5639,230173,0.000449015961883459,CHH,AK_FK
41,Fvb3,2000001,2050000,50000,*,7212,194013,-0.00279548826699608,CHH,AK_FK
42,Fvb3,2050001,2100000,50000,*,3990,245965,0.00250811044676927,CHH,AK_FK
43,Fvb3,2100001,2150000,50000,*,6652,227427,0.00300057444431159,CHH,AK_FK
44,Fvb3,2150001,2200000,50000,*,9139,228911,0.00873521527894003,CHH,AK_FK
45,Fvb3,2200001,2250000,50000,*,6504,232600,-0.000116895019018803,CHH,AK_FK
46,Fvb3,2250001,2300000,50000,*,4651,225555,-0.00216360626069806,CHH,AK_FK
47,Fvb3,2300001,2350000,50000,*,7212,254562,0.00206124724869764,CHH,AK_FK
