seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tes	score	phase
contig_10	13304	13403	100	*	51	109	0.467889908256881	28	117	0.239316239316239	26	CHG	-1	0.000620385832505569	loss	NA	NA	NA	NA	NA
contig_10	13404	13503	100	*	108	205	0.526829268292683	51	219	0.232876712328767	27	CHG	-1	6.19327055794278e-08	loss	NA	NA	NA	NA	NA
contig_12	21501	21600	100	*	9	317	0.028391167192429	35	139	0.251798561151079	26	CHG	1	4.45176371417137e-11	gain	NA	NA	NA	NA	NA
contig_17	76006	76105	100	*	33	76	0.434210526315789	8	48	0.166666666666667	7	CHG	-1	0.00204125759222458	loss	NA	NA	NA	NA	NA
contig_2	33403	33502	100	*	93	139	0.669064748201439	75	85	0.882352941176471	5	CHG	1	0.000644321449230674	gain	EVM	SO:0005836	FvH4_c2g00052	1	NA
contig_2	38003	38102	100	*	51	189	0.26984126984127	47	94	0.5	5	CHG	1	0.000371626798880398	gain	NA	NA	NA	NA	NA
contig_2	41803	41902	100	*	42	126	0.333333333333333	40	67	0.597014925373134	4	CHG	1	0.000714556088499518	gain	NA	NA	NA	NA	NA
contig_21	22804	22903	100	*	18	82	0.219512195121951	38	68	0.558823529411765	5	CHG	1	0.000122609159462557	gain	NA	NA	NA	NA	NA
contig_21	24904	25003	100	*	13	71	0.183098591549296	16	31	0.516129032258065	6	CHG	1	0.000847145787862384	gain	NA	NA	NA	NA	NA
contig_21	34304	34403	100	*	28	65	0.430769230769231	43	57	0.754385964912281	6	CHG	1	0.000608869845392005	gain	NA	NA	NA	NA	NA
contig_21	34404	34503	100	*	39	92	0.423913043478261	56	66	0.848484848484849	8	CHG	1	2.84437953691411e-06	gain	NA	NA	NA	NA	NA
contig_21	39504	39603	100	*	30	45	0.666666666666667	39	41	0.951219512195122	10	CHG	1	0.00104776534832216	gain	NA	NA	NA	NA	NA
contig_22	27702	27801	100	*	89	136	0.654411764705882	52	122	0.426229508196721	26	CHG	-1	0.00053761090854123	loss	NA	NA	NA	NA	NA
contig_22	27802	27901	100	*	101	212	0.476415094339623	41	152	0.269736842105263	24	CHG	-1	0.00026187067510621	loss	NA	NA	NA	NA	NA
contig_22	42902	43001	100	*	94	351	0.267806267806268	143	286	0.5	24	CHG	1	1.66560300192899e-07	gain	NA	NA	NA	NA	NA
contig_22	44002	44101	100	*	12	155	0.0774193548387097	47	140	0.335714285714286	24	CHG	1	1.51352594268229e-06	gain	NA	NA	NA	NA	NA
contig_4	11202	11301	100	*	39	70	0.557142857142857	11	61	0.180327868852459	8	CHG	-1	8.66811648946501e-05	loss	NA	NA	NA	NA	NA
contig_4	13802	13901	100	*	12	78	0.153846153846154	25	67	0.373134328358209	8	CHG	1	0.00253243943969252	gain	NA	NA	NA	NA	NA
contig_5	16104	16203	100	*	80	144	0.555555555555556	93	115	0.808695652173913	23	CHG	1	0.000118477571939875	gain	NA	NA	NA	NA	NA
contig_6	61606	61705	100	*	19	41	0.463414634146341	28	35	0.8	6	CHG	1	0.00260706133716174	gain	NA	NA	NA	NA	NA
contig_6	61906	62005	100	*	49	103	0.475728155339806	33	41	0.804878048780488	6	CHG	1	0.000620385832505569	gain	NA	NA	NA	NA	NA
contig_7	37001	37100	100	*	89	212	0.419811320754717	59	94	0.627659574468085	6	CHG	1	0.000959509684910717	gain	NA	NA	NA	NA	NA
contig_7	39701	39800	100	*	83	233	0.356223175965665	11	197	0.0558375634517767	25	CHG	-1	3.8404978028588e-11	loss	NA	NA	NA	NA	NA
contig_7	41001	41100	100	*	16	69	0.231884057971014	41	94	0.436170212765957	12	CHG	1	0.00688650959380417	gain	NA	NA	NA	NA	NA
Fvb1	55803	55902	100	*	0	68	0	20	65	0.307692307692308	6	CHG	1	1.43338673238504e-05	gain	NA	NA	NA	NA	NA
Fvb1	745303	745402	100	*	40	59	0.677966101694915	10	33	0.303030303030303	7	CHG	-1	0.000799288711421589	loss	NA	NA	NA	NA	NA
Fvb1	746003	746102	100	*	69	121	0.570247933884298	14	48	0.291666666666667	7	CHG	-1	0.00113950499503217	loss	NA	NA	NA	NA	NA
Fvb1	760403	760502	100	*	41	63	0.650793650793651	16	51	0.313725490196078	7	CHG	-1	0.000642907561827135	loss	EVM	SO:0005836	FvH4_1g01452	1	NA
Fvb1	1162003	1162102	100	*	4	87	0.0459770114942529	9	32	0.28125	8	CHG	1	0.000569135245029541	gain	NA	NA	NA	NA	NA
Fvb1	1958903	1959002	100	*	4	87	0.0459770114942529	16	41	0.390243902439024	5	CHG	1	1.21364193859256e-05	gain	NA	NA	NA	NA	NA
Fvb1	2092803	2092902	100	*	6	102	0.0588235294117647	21	78	0.269230769230769	6	CHG	1	0.000307639827691284	gain	EVM	SO:0005836	FvH4_1g03930,FvH4_1g03940	2	NA
Fvb1	2126303	2126402	100	*	81	122	0.663934426229508	98	107	0.91588785046729	16	CHG	1	4.90681013848474e-05	gain	NA	NA	NA	NA	NA
Fvb1	2245603	2245702	100	*	27	44	0.613636363636364	31	33	0.939393939393939	4	CHG	1	0.00110038801427721	gain	NA	NA	NA	NA	NA
Fvb1	2432103	2432202	100	*	33	80	0.4125	49	71	0.690140845070423	15	CHG	1	0.00086466869667741	gain	NA	NA	NA	NA	NA
Fvb1	2645803	2645902	100	*	5	66	0.0757575757575758	11	33	0.333333333333333	7	CHG	1	0.00110038801427721	gain	NA	NA	NA	NA	NA
Fvb1	3008203	3008302	100	*	19	86	0.22093023255814	33	53	0.622641509433962	6	CHG	1	2.84078885563117e-05	gain	EVM	SO:0005836	FvH4_1g05680	1	NA
Fvb1	3590803	3590902	100	*	86	135	0.637037037037037	24	72	0.333333333333333	12	CHG	-1	0.00016623181114735	loss	NA	NA	NA	NA	NA
Fvb1	3870903	3871002	100	*	36	132	0.272727272727273	48	89	0.539325842696629	7	CHG	1	0.000251836420242728	gain	NA	NA	NA	NA	NA
Fvb1	3871103	3871202	100	*	60	170	0.352941176470588	74	121	0.611570247933884	9	CHG	1	0.000104580610342311	gain	NA	NA	NA	NA	NA
Fvb1	4494203	4494302	100	*	10	52	0.192307692307692	16	27	0.592592592592593	5	CHG	1	0.000627792190759378	gain	NA	NA	NA	NA	NA
Fvb1	4495203	4495302	100	*	29	87	0.333333333333333	43	62	0.693548387096774	11	CHG	1	0.000109951295492801	gain	NA	NA	NA	NA	NA
Fvb1	4501303	4501402	100	*	75	134	0.559701492537313	51	63	0.80952380952381	10	CHG	1	0.000882662117471266	gain	NA	NA	NA	NA	NA
Fvb1	4504403	4504502	100	*	8	55	0.145454545454545	24	48	0.5	7	CHG	1	0.000337139802478619	gain	NA	NA	NA	NA	NA
