seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb1	1	50000	50000	*	1937	41697	0.0464541813559729	CHG
Fvb1	50001	100000	50000	*	5156	43138	0.119523390050535	CHG
Fvb1	100001	150000	50000	*	429	50234	0.00854003264721105	CHG
Fvb1	150001	200000	50000	*	2676	38959	0.0686875946507867	CHG
Fvb1	200001	250000	50000	*	1092	44120	0.0247506799637353	CHG
Fvb1	250001	300000	50000	*	4367	41710	0.104699112922561	CHG
Fvb1	300001	350000	50000	*	652	47069	0.013852004504026	CHG
Fvb1	350001	400000	50000	*	1623	46447	0.0349430533726613	CHG
Fvb1	400001	450000	50000	*	1016	42066	0.0241525222269767	CHG
Fvb1	450001	500000	50000	*	2085	37601	0.0554506529081673	CHG
Fvb1	500001	550000	50000	*	788	27853	0.0282913869242092	CHG
Fvb1	550001	600000	50000	*	671	38865	0.0172648912903641	CHG
Fvb1	600001	650000	50000	*	434	32167	0.0134920881648895	CHG
Fvb1	650001	700000	50000	*	460	17430	0.0263912794033276	CHG
Fvb1	700001	750000	50000	*	1870	27959	0.0668836510604814	CHG
Fvb1	750001	800000	50000	*	2766	32121	0.0861118894181377	CHG
Fvb1	800001	850000	50000	*	1776	33679	0.0527331571602482	CHG
Fvb1	850001	900000	50000	*	1079	19890	0.0542483660130719	CHG
Fvb1	900001	950000	50000	*	264	41801	0.00631563838185689	CHG
Fvb1	950001	1000000	50000	*	2179	35775	0.0609084556254368	CHG
Fvb1	1000001	1050000	50000	*	697	33202	0.0209927112824529	CHG
Fvb1	1050001	1100000	50000	*	414	29053	0.0142498192957698	CHG
Fvb1	1100001	1150000	50000	*	1470	32555	0.0451543541698664	CHG
Fvb1	1150001	1200000	50000	*	1557	38507	0.0404342067676007	CHG
Fvb1	1200001	1250000	50000	*	546	12370	0.0441390460792239	CHG
Fvb1	1250001	1300000	50000	*	1118	1540	0.725974025974026	CHG
Fvb1	1300001	1350000	50000	*	501	12861	0.0389549801726149	CHG
Fvb1	1350001	1400000	50000	*	699	33240	0.021028880866426	CHG
Fvb1	1400001	1450000	50000	*	1734	36421	0.0476098953900222	CHG
Fvb1	1450001	1500000	50000	*	1118	46097	0.0242532051977352	CHG
Fvb1	1500001	1550000	50000	*	521	30930	0.016844487552538	CHG
Fvb1	1550001	1600000	50000	*	1170	36717	0.0318653484761827	CHG
Fvb1	1600001	1650000	50000	*	844	27441	0.0307568966145549	CHG
Fvb1	1650001	1700000	50000	*	5438	35257	0.154238874549735	CHG
Fvb1	1700001	1750000	50000	*	1322	32808	0.0402950499878078	CHG
Fvb1	1750001	1800000	50000	*	352	34950	0.010071530758226	CHG
Fvb1	1800001	1850000	50000	*	439	38088	0.0115259399285864	CHG
Fvb1	1850001	1900000	50000	*	1408	39827	0.0353529012981143	CHG
Fvb1	1900001	1950000	50000	*	851	40003	0.0212734044946629	CHG
Fvb1	1950001	2000000	50000	*	1076	36301	0.0296410567202005	CHG
Fvb1	2000001	2050000	50000	*	627	34173	0.0183478184531648	CHG
Fvb1	2050001	2100000	50000	*	1383	36696	0.0376880313930674	CHG
Fvb1	2100001	2150000	50000	*	724	37930	0.0190877933034537	CHG
Fvb1	2150001	2200000	50000	*	510	37967	0.0134327178865857	CHG
Fvb1	2200001	2250000	50000	*	1333	39088	0.0341025378632829	CHG
Fvb1	2250001	2300000	50000	*	563	25022	0.0225001998241547	CHG
Fvb1	2300001	2350000	50000	*	1025	40349	0.0254033557213314	CHG
Fvb1	2350001	2400000	50000	*	1472	33363	0.0441207325480323	CHG
Fvb1	2400001	2450000	50000	*	719	20264	0.0354816423213581	CHG
Fvb1	2450001	2500000	50000	*	1253	28684	0.0436828894157021	CHG
Fvb1	2500001	2550000	50000	*	1395	37221	0.0374788425888611	CHG
Fvb1	2550001	2600000	50000	*	660	14017	0.0470856816722551	CHG
Fvb1	2600001	2650000	50000	*	583	19550	0.0298209718670077	CHG
Fvb1	2650001	2700000	50000	*	811	36071	0.0224834354467578	CHG
Fvb1	2700001	2750000	50000	*	762	46583	0.0163578988042848	CHG
Fvb1	2750001	2800000	50000	*	494	36274	0.0136185697744941	CHG
Fvb1	2800001	2850000	50000	*	544	44094	0.012337279448451	CHG
Fvb1	2850001	2900000	50000	*	3322	38785	0.0856516694598427	CHG
Fvb1	2900001	2950000	50000	*	208	25400	0.00818897637795276	CHG
Fvb1	2950001	3000000	50000	*	3042	33188	0.0916596360130168	CHG
Fvb1	3000001	3050000	50000	*	1053	48709	0.0216181814449075	CHG
Fvb1	3050001	3100000	50000	*	3938	22764	0.172992444210156	CHG
Fvb1	3100001	3150000	50000	*	1690	36533	0.0462595461637424	CHG
Fvb1	3150001	3200000	50000	*	433	31005	0.0139654894371876	CHG
Fvb1	3200001	3250000	50000	*	689	39644	0.017379679144385	CHG
Fvb1	3250001	3300000	50000	*	3259	38337	0.0850092599838276	CHG
Fvb1	3300001	3350000	50000	*	746	36207	0.0206037506559505	CHG
Fvb1	3350001	3400000	50000	*	3494	32211	0.108472261028841	CHG
Fvb1	3400001	3450000	50000	*	2041	41863	0.0487542698803239	CHG
Fvb1	3450001	3500000	50000	*	1070	35134	0.0304548300791256	CHG
Fvb1	3500001	3550000	50000	*	1964	39108	0.0502199038559885	CHG
Fvb1	3550001	3600000	50000	*	467	35797	0.0130457859597173	CHG
Fvb1	3600001	3650000	50000	*	2201	36148	0.0608885692154476	CHG
Fvb1	3650001	3700000	50000	*	413	37591	0.0109866723417839	CHG
Fvb1	3700001	3750000	50000	*	218	22003	0.00990773985365632	CHG
Fvb1	3750001	3800000	50000	*	1022	34452	0.0296644606989435	CHG
Fvb1	3800001	3850000	50000	*	518	43783	0.0118310759883973	CHG
Fvb1	3850001	3900000	50000	*	240	2218	0.108205590622182	CHG
Fvb1	3900001	3950000	50000	*	1003	36647	0.0273692253117581	CHG
Fvb1	3950001	4000000	50000	*	4445	29137	0.152555170401895	CHG
Fvb1	4000001	4050000	50000	*	1068	37994	0.0281097015318208	CHG
Fvb1	4050001	4100000	50000	*	1829	42065	0.0434803280637109	CHG
Fvb1	4100001	4150000	50000	*	1114	24488	0.0454916693890885	CHG
Fvb1	4150001	4200000	50000	*	625	35670	0.0175217269414073	CHG
Fvb1	4200001	4250000	50000	*	917	40549	0.022614614417125	CHG
Fvb1	4250001	4300000	50000	*	728	39546	0.0184089414858646	CHG
Fvb1	4300001	4350000	50000	*	664	38788	0.0171186965040734	CHG
Fvb1	4350001	4400000	50000	*	3194	36728	0.0869636244826835	CHG
Fvb1	4400001	4450000	50000	*	1567	19580	0.0800306435137896	CHG
Fvb1	4450001	4500000	50000	*	1261	37765	0.0333907056798623	CHG
Fvb1	4500001	4550000	50000	*	2981	34403	0.0866494201087114	CHG
Fvb1	4550001	4600000	50000	*	528	38631	0.013667779762367	CHG
Fvb1	4600001	4650000	50000	*	4548	23502	0.193515445494001	CHG
