seqnames	start	end	methdiff
Fvb1	20303	20352	-0.22826087
Fvb1	31153	31202	0.23582996
Fvb1	61203	61252	-0.317948718
Fvb1	162153	162202	0.275362319
Fvb1	226203	226252	0.327588201
Fvb1	226253	226302	0.255759526
Fvb1	271903	271952	-0.305799935
Fvb1	273253	273302	-0.222160305
Fvb1	273503	273552	-0.254028014
Fvb1	273553	273602	-0.267461106
Fvb1	275203	275252	0.201364926
Fvb1	277653	277702	-0.260168303
Fvb1	394703	394752	-0.215392304
Fvb1	448553	448602	-0.312196812
Fvb1	476903	476952	-0.230769231
Fvb1	504003	504052	-0.212430996
Fvb1	752603	752652	0.256263702
Fvb1	762803	762852	0.215179252
Fvb1	762853	762902	0.301853891
Fvb1	762953	763002	0.308151132
Fvb1	763003	763052	0.361536154
Fvb1	805653	805702	-0.211688312
Fvb1	806753	806802	-0.217630854
Fvb1	807803	807852	-0.213882455
Fvb1	807853	807902	-0.252523988
Fvb1	808753	808802	-0.202984293
Fvb1	817053	817102	-0.373217726
Fvb1	817103	817152	-0.349350649
Fvb1	960853	960902	-0.209893575
Fvb1	1159553	1159602	-0.204657455
Fvb1	1162103	1162152	0.238165138
Fvb1	1162203	1162252	0.209369734
Fvb1	1200553	1200602	0.319112248
Fvb1	1200603	1200652	0.392931393
Fvb1	1200653	1200702	0.245398773
Fvb1	1460853	1460902	-0.23030723
Fvb1	1503353	1503402	0.203947368
Fvb1	1519753	1519802	-0.206356736
Fvb1	1557353	1557402	0.211415062
Fvb1	1559903	1559952	0.213333333
Fvb1	1667203	1667252	-0.236363636
Fvb1	1714053	1714102	-0.278824834
Fvb1	1767803	1767852	-0.230755925
Fvb1	1884703	1884752	-0.217148061
Fvb1	1888653	1888702	0.210688592
Fvb1	1993153	1993202	0.200828157
Fvb1	2077703	2077752	0.373519164
Fvb1	2100003	2100052	-0.204633205
Fvb1	2102153	2102202	-0.329824561
Fvb1	2102203	2102252	-0.337777778
Fvb1	2135753	2135802	-0.2249001
Fvb1	2166403	2166452	0.226317757
Fvb1	2245053	2245102	-0.226247987
Fvb1	2320203	2320252	-0.216652136
Fvb1	2336653	2336702	0.259493671
Fvb1	2362853	2362902	-0.298850575
Fvb1	2502653	2502702	-0.224681422
Fvb1	2529103	2529152	0.294736842
Fvb1	2649803	2649852	-0.219047619
Fvb1	2674103	2674152	-0.252252252
Fvb1	2675003	2675052	0.282477876
Fvb1	2720453	2720502	-0.26375989
Fvb1	2755403	2755452	-0.323313783
Fvb1	2829053	2829102	-0.331238215
Fvb1	2865953	2866002	-0.277272727
Fvb1	2875753	2875802	-0.298418972
Fvb1	2970953	2971002	0.258874113
Fvb1	3055853	3055902	-0.202641509
Fvb1	3070103	3070152	0.288938492
Fvb1	3071953	3072002	-0.371595502
Fvb1	3072003	3072052	-0.233333333
Fvb1	3072403	3072452	0.205055612
Fvb1	3072803	3072852	-0.215623119
Fvb1	3072853	3072902	-0.279723062
Fvb1	3215903	3215952	0.208939709
Fvb1	3217253	3217302	-0.436710859
Fvb1	3288603	3288652	0.290869328
Fvb1	3289253	3289302	0.262881602
Fvb1	3289303	3289352	0.297979798
Fvb1	3289853	3289902	0.332833583
Fvb1	3289953	3290002	0.211050725
Fvb1	3356103	3356152	0.213236187
Fvb1	3357953	3358002	0.25134353
Fvb1	3368353	3368402	-0.283841808
Fvb1	3421203	3421252	-0.30321552
Fvb1	3434103	3434152	-0.283284457
Fvb1	3469253	3469302	0.476808176
Fvb1	3470953	3471002	-0.213076923
Fvb1	3471053	3471102	-0.263532764
Fvb1	3525903	3525952	-0.34443657
Fvb1	3574403	3574452	0.27049458
Fvb1	3622003	3622052	-0.337209302
Fvb1	3923903	3923952	0.271978022
Fvb1	3926203	3926252	-0.218614719
Fvb1	3928653	3928702	-0.272941176
Fvb1	3950653	3950702	-0.212617702
Fvb1	3951103	3951152	-0.203723987
Fvb1	3997703	3997752	-0.214705882
Fvb1	4002503	4002552	-0.287929125
Fvb1	4090453	4090502	-0.202374223
Fvb1	4188903	4188952	-0.232259754
Fvb1	4214603	4214652	-0.300925926
Fvb1	4304853	4304902	-0.210667972
Fvb1	4317553	4317602	-0.256480971
Fvb1	4409253	4409302	0.208313817
Fvb1	4412853	4412902	-0.25290116
Fvb1	4450703	4450752	-0.209824928
Fvb1	4486853	4486902	0.322404372
Fvb1	4493903	4493952	-0.28151397
Fvb1	4500953	4501002	-0.330511811
Fvb1	4548653	4548702	0.216891554
Fvb1	4636153	4636202	-0.232876712
Fvb1	4653453	4653502	-0.208830924
Fvb1	4684053	4684102	0.277777778
Fvb1	4686553	4686602	-0.221225071
Fvb1	4699803	4699852	-0.208538588
Fvb1	4717403	4717452	0.215280595
Fvb1	4726903	4726952	0.220825274
Fvb1	4791753	4791802	0.231049996
Fvb1	4796503	4796552	-0.203519062
Fvb1	4891253	4891302	-0.220328789
Fvb1	4891303	4891352	-0.264809903
Fvb1	4891353	4891402	0.425
Fvb1	4922603	4922652	-0.216424682
Fvb1	4924353	4924402	-0.305555556
Fvb1	4928203	4928252	-0.261904762
Fvb1	4928303	4928352	-0.393537415
Fvb1	5017353	5017402	-0.268787976
Fvb1	5020003	5020052	0.205882353
Fvb1	5020303	5020352	-0.20823277
Fvb1	5030153	5030202	-0.259863946
Fvb1	5198153	5198202	0.219641993
Fvb1	5198803	5198852	0.324010057
Fvb1	5331553	5331602	-0.351425627
Fvb1	5364403	5364452	-0.30952381
Fvb1	5453003	5453052	-0.281593407
Fvb1	5464003	5464052	0.298737728
Fvb1	5491753	5491802	-0.386407767
Fvb1	5519553	5519602	0.260952381
Fvb1	5544353	5544402	-0.237684729
Fvb1	5622753	5622802	-0.254202671
Fvb1	5714903	5714952	-0.260447761
Fvb1	5794553	5794602	0.294232649
Fvb1	5815753	5815802	-0.225274725
Fvb1	5898503	5898552	-0.258928571
Fvb1	5898603	5898652	-0.294386943
Fvb1	5948853	5948902	-0.515217391
Fvb1	5969953	5970002	-0.282828283
Fvb1	5993303	5993352	0.241221855
Fvb1	5993353	5993402	0.215910568
Fvb1	6000303	6000352	-0.44375
Fvb1	6000353	6000402	-0.211111111
Fvb1	6206403	6206452	-0.215153268
Fvb1	6208753	6208802	0.328045437
Fvb1	6245653	6245702	-0.209677419
Fvb1	6354053	6354102	-0.327131783
Fvb1	6379603	6379652	-0.213528082
Fvb1	6465453	6465502	-0.319845179
Fvb1	6534553	6534602	0.357781753
Fvb1	6538103	6538152	-0.296103896
Fvb1	6589053	6589102	-0.265714286
Fvb1	6589103	6589152	-0.411428571
Fvb1	6629353	6629402	0.201477833
Fvb1	6701603	6701652	0.335714286
Fvb1	6783053	6783102	-0.212166373
Fvb1	6881603	6881652	-0.301101591
Fvb1	6900453	6900502	-0.207539354
Fvb1	6904603	6904652	-0.254750899
Fvb1	6909953	6910002	0.231671554
Fvb1	6910003	6910052	0.326451613
Fvb1	6952503	6952552	-0.262676325
Fvb1	7141853	7141902	-0.245295056
Fvb1	7259303	7259352	-0.201124145
Fvb1	7264703	7264752	-0.278189232
Fvb1	7304803	7304852	-0.369453044
Fvb1	7322153	7322202	-0.332323232
Fvb1	7367503	7367552	-0.246225319
Fvb1	7403703	7403752	0.239082366
Fvb1	7403753	7403802	0.216871364
Fvb1	7508203	7508252	-0.205949657
Fvb1	7561753	7561802	0.253787879
Fvb1	7574103	7574152	-0.335423197
Fvb1	7574153	7574202	-0.276104905
Fvb1	7811403	7811452	0.204304954
Fvb1	7811453	7811502	0.372456576
Fvb1	7811503	7811552	0.242654509
Fvb1	7811553	7811602	0.220152976
Fvb1	7817203	7817252	-0.316113582
Fvb1	7872353	7872402	-0.214871795
Fvb1	7922953	7923002	-0.200977824
Fvb1	7969053	7969102	-0.200334355
Fvb1	7977403	7977452	0.318120805
Fvb1	8087253	8087302	-0.247126437
Fvb1	8093653	8093702	-0.358850575
Fvb1	8093753	8093802	0.337978142
Fvb1	8119003	8119052	-0.260169492
Fvb1	8160353	8160402	-0.24644984
Fvb1	8189703	8189752	-0.215550156
Fvb1	8379153	8379202	-0.23793911
Fvb1	8387453	8387502	-0.308206958
Fvb1	8411653	8411702	-0.296103896
Fvb1	8411903	8411952	0.299361605
Fvb1	8436553	8436602	0.262409289
Fvb1	8438453	8438502	0.357557848
Fvb1	8442153	8442202	-0.257297297
Fvb1	8492903	8492952	-0.25583524
Fvb1	8579753	8579802	-0.203678001
Fvb1	8583103	8583152	0.417853231
Fvb1	8583403	8583452	-0.264957265
Fvb1	8704803	8704852	0.226505304
Fvb1	8705703	8705752	-0.240936977
Fvb1	8710603	8710652	-0.270409099
Fvb1	8724203	8724252	-0.314130435
Fvb1	8730503	8730552	-0.479166667
Fvb1	8829503	8829552	-0.379962894
Fvb1	8831103	8831152	0.384511603
Fvb1	8891453	8891502	-0.249040512
Fvb1	8937403	8937452	-0.4826424
Fvb1	9001453	9001502	-0.224242424
Fvb1	9091303	9091352	-0.210271318
Fvb1	9223653	9223702	0.308287796
Fvb1	9224053	9224102	-0.380232519
Fvb1	9224103	9224152	-0.242718447
Fvb1	9231853	9231902	-0.200918485
Fvb1	9238453	9238502	-0.2625
