seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tes	score	phase
contig_10	404	503	100	*	3652	9714	0.375952233889232	500	3375	0.148148148148148	19	CHG	-1	2.14891241447699e-129	loss	NA	NA	NA	NA	NA
contig_10	504	603	100	*	3303	10943	0.30183679064242	370	3740	0.0989304812834225	19	CHG	-1	1.25378166596367e-131	loss	NA	NA	NA	NA	NA
contig_10	604	703	100	*	2776	6058	0.458237041928029	234	1551	0.150870406189555	25	CHG	-1	3.70007025767515e-105	loss	NA	NA	NA	NA	NA
contig_10	704	803	100	*	638	1832	0.34825327510917	40	411	0.097323600973236	20	CHG	-1	2.88727962424165e-21	loss	NA	NA	NA	NA	NA
contig_10	1804	1903	100	*	237	431	0.549883990719258	4	106	0.0377358490566038	25	CHG	-1	3.9369765532499e-19	loss	NA	NA	NA	NA	NA
contig_10	1904	2003	100	*	412	726	0.567493112947658	13	246	0.0528455284552846	25	CHG	-1	2.52038889194045e-42	loss	NA	NA	NA	NA	NA
contig_10	2004	2103	100	*	213	669	0.318385650224215	16	240	0.0666666666666667	25	CHG	-1	1.37168538091278e-12	loss	NA	NA	NA	NA	NA
contig_10	13504	13603	100	*	208	582	0.357388316151203	10	166	0.0602409638554217	26	CHG	-1	9.69917015735240e-12	loss	NA	NA	NA	NA	NA
contig_10	13604	13703	100	*	341	786	0.433842239185751	29	228	0.12719298245614	27	CHG	-1	3.42774207950572e-15	loss	NA	NA	NA	NA	NA
contig_10	29904	30003	100	*	330	542	0.608856088560886	39	179	0.217877094972067	23	CHG	-1	1.87078914000756e-17	loss	NA	NA	NA	NA	NA
contig_10	30004	30103	100	*	196	571	0.343257443082312	7	189	0.037037037037037	19	CHG	-1	2.02658015448727e-14	loss	NA	NA	NA	NA	NA
contig_10	30204	30303	100	*	3019	5675	0.531982378854626	432	1392	0.310344827586207	22	CHG	-1	7.01365773749613e-47	loss	NA	NA	NA	NA	NA
contig_10	30304	30403	100	*	2206	5068	0.435280189423836	244	1155	0.211255411255411	23	CHG	-1	2.52038889194045e-42	loss	NA	NA	NA	NA	NA
contig_10	30604	30703	100	*	1462	3478	0.420356526739505	133	714	0.186274509803922	25	CHG	-1	2.58508092977033e-29	loss	NA	NA	NA	NA	NA
contig_10	30704	30803	100	*	761	1493	0.509711989283322	26	195	0.133333333333333	27	CHG	-1	7.51723087933262e-21	loss	NA	NA	NA	NA	NA
