,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHH.Fvb2,context,group
1,Fvb2,1,50000,50000,*,3298,59445,-0.0165561626805496,CHH,AL_FL
2,Fvb2,50001,100000,50000,*,3613,102788,-0.00809366428612686,CHH,AL_FL
3,Fvb2,100001,150000,50000,*,5574,98080,-0.00979737189972074,CHH,AL_FL
4,Fvb2,150001,200000,50000,*,8449,179439,-0.00622920395453863,CHH,AL_FL
5,Fvb2,200001,250000,50000,*,5067,165709,-0.0038670204199079,CHH,AL_FL
6,Fvb2,250001,300000,50000,*,5471,173744,-0.00425367011218536,CHH,AL_FL
7,Fvb2,300001,350000,50000,*,6384,155901,-0.0147249369669836,CHH,AL_FL
8,Fvb2,350001,400000,50000,*,6816,195284,-0.0120291530608128,CHH,AL_FL
9,Fvb2,400001,450000,50000,*,4934,181404,0.00153171976248048,CHH,AL_FL
10,Fvb2,450001,500000,50000,*,9913,160707,-0.00837034697220713,CHH,AL_FL
11,Fvb2,500001,550000,50000,*,1674,149657,-0.00041956949188676,CHH,AL_FL
12,Fvb2,550001,600000,50000,*,2353,192313,0.00682890395922551,CHH,AL_FL
13,Fvb2,600001,650000,50000,*,4498,161591,-0.00254059058884763,CHH,AL_FL
14,Fvb2,650001,700000,50000,*,6836,146146,-0.0311797076311249,CHH,AL_FL
15,Fvb2,700001,750000,50000,*,5693,132540,-0.0026952823079382,CHH,AL_FL
16,Fvb2,750001,800000,50000,*,3434,190320,-0.00465594202864823,CHH,AL_FL
17,Fvb2,800001,850000,50000,*,5645,164827,-0.00682304915889115,CHH,AL_FL
18,Fvb2,850001,900000,50000,*,3834,122217,-0.00505054720154269,CHH,AL_FL
19,Fvb2,900001,950000,50000,*,7518,140696,-0.0205249607193279,CHH,AL_FL
20,Fvb2,950001,1000000,50000,*,1392,94801,-0.00699556079099953,CHH,AL_FL
21,Fvb2,1000001,1050000,50000,*,583,85770,-0.00217562381447161,CHH,AL_FL
22,Fvb2,1050001,1100000,50000,*,3064,85318,-0.00406689629014776,CHH,AL_FL
23,Fvb2,1100001,1150000,50000,*,3676,161238,-0.00837055656956086,CHH,AL_FL
24,Fvb2,1150001,1200000,50000,*,1993,129060,-0.00269370035294919,CHH,AL_FL
25,Fvb2,1200001,1250000,50000,*,2304,142398,-0.00581584559956169,CHH,AL_FL
26,Fvb2,1250001,1300000,50000,*,2001,210899,-0.0012958891447049,CHH,AL_FL
27,Fvb2,1300001,1350000,50000,*,4467,180285,-0.00841130140124077,CHH,AL_FL
