seqnames	start	end	methdiff
Fvb1	220103	220202	-0.292857143
Fvb1	1081403	1081502	0.321969697
Fvb1	1137203	1137302	0.272044818
Fvb1	1655403	1655502	-0.299596955
Fvb1	1795703	1795802	0.242916667
Fvb1	2026903	2027002	0.476982097
Fvb1	2166503	2166602	0.288961039
Fvb1	2691003	2691102	0.273395722
Fvb1	3074003	3074102	-0.254077094
Fvb1	3262903	3263002	0.281997589
Fvb1	3380603	3380702	0.298316498
Fvb1	3563703	3563802	-0.349431818
Fvb1	3817803	3817902	-0.217124529
Fvb1	3922003	3922102	-0.33900626
Fvb1	4787203	4787302	-0.223529412
Fvb1	4891603	4891702	0.344117647
Fvb1	5549203	5549302	-0.279417879
Fvb1	5840903	5841002	-0.221473159
Fvb1	6135603	6135702	0.233254717
Fvb1	6435903	6436002	-0.225373134
Fvb1	6462003	6462102	0.253561254
Fvb1	6474003	6474102	0.358823529
Fvb1	6800703	6800802	-0.245283019
Fvb1	6800803	6800902	-0.321428571
Fvb1	7138303	7138402	-0.241928721
Fvb1	7343303	7343402	0.244827586
Fvb1	7362403	7362502	0.20722135
Fvb1	7678403	7678502	0.25
Fvb1	8308603	8308702	-0.202831403
Fvb1	8352503	8352602	0.436392915
Fvb1	8384003	8384102	0.30360854
Fvb1	8509203	8509302	-0.239130435
Fvb1	9282103	9282202	0.206599713
Fvb1	9291803	9291902	0.205162738
Fvb1	9417203	9417302	0.204958272
Fvb1	9518103	9518202	0.251315789
Fvb1	9518203	9518302	0.352384759
Fvb1	9600003	9600102	-0.342532468
Fvb1	10155903	10156002	0.285714286
Fvb1	10564703	10564802	0.343333333
Fvb1	11242703	11242802	-0.229117877
Fvb1	11650403	11650502	-0.388528139
Fvb1	11783603	11783702	0.216346154
Fvb1	12000303	12000402	0.232999128
Fvb1	12285003	12285102	-0.472906404
Fvb1	12501603	12501702	0.217750258
Fvb1	12514203	12514302	-0.246346063
Fvb1	12998503	12998602	0.272222222
Fvb1	13064303	13064402	-0.221771467
Fvb1	13097803	13097902	0.218952554
Fvb1	13189203	13189302	0.231357049
Fvb1	13204403	13204502	-0.292121212
Fvb1	13770103	13770202	-0.256140351
Fvb1	14363803	14363902	-0.313668601
Fvb1	15407203	15407302	-0.245320856
Fvb1	15582503	15582602	-0.306267806
Fvb1	15666403	15666502	-0.239069767
Fvb1	15697003	15697102	0.218955513
Fvb1	16038203	16038302	0.237840931
Fvb1	16241603	16241702	0.310450038
Fvb1	16242403	16242502	0.31352598
Fvb1	16513503	16513602	0.345299145
Fvb1	16645303	16645402	0.210869565
Fvb1	18429203	18429302	0.22522742
Fvb1	19383303	19383402	0.202898551
Fvb1	19635903	19636002	-0.5
Fvb1	20255603	20255702	-0.217213115
Fvb1	20283603	20283702	0.312266791
Fvb1	20283703	20283802	0.223232323
Fvb1	20436503	20436602	0.257532281
Fvb1	20922403	20922502	-0.206896552
Fvb1	20928903	20929002	-0.342147436
Fvb1	20979603	20979702	0.39
Fvb1	21216103	21216202	-0.200644271
Fvb1	21562903	21563002	-0.409749671
Fvb1	21640203	21640302	0.215517241
Fvb1	21720803	21720902	-0.291341991
Fvb1	22060703	22060802	0.203703704
Fvb1	22187903	22188002	0.344444444
Fvb1	22966203	22966302	-0.259259259
Fvb1	23248303	23248402	-0.213517665
Fvb1	24078503	24078602	-0.33931523
Fvb2	487101	487200	-0.293859649
Fvb2	1093501	1093600	-0.205911543
Fvb2	1142301	1142400	-0.233342043
Fvb2	1188201	1188300	0.3
Fvb2	1193401	1193500	0.333095747
Fvb2	2016401	2016500	0.241758242
Fvb2	3542701	3542800	-0.321321321
Fvb2	3569701	3569800	0.287719298
Fvb2	3995001	3995100	-0.236842105
Fvb2	4072001	4072100	-0.23733386
Fvb2	4358901	4359000	-0.251535191
Fvb2	4359001	4359100	-0.407572947
Fvb2	4561001	4561100	0.207280899
Fvb2	4570501	4570600	0.261324042
Fvb2	4917201	4917300	0.225961538
Fvb2	5197101	5197200	-0.305690073
Fvb2	5215201	5215300	-0.331893985
Fvb2	5424001	5424100	0.284722222
Fvb2	6148201	6148300	-0.348746082
Fvb2	6768801	6768900	-0.258333333
Fvb2	6800401	6800500	-0.269183773
Fvb2	8020401	8020500	-0.231628805
Fvb2	8590001	8590100	-0.228571429
Fvb2	8942501	8942600	0.289047619
Fvb2	11282401	11282500	-0.275252525
Fvb2	11403601	11403700	0.20800242
Fvb2	11488101	11488200	0.389087809
Fvb2	12029101	12029200	0.222222222
Fvb2	12720301	12720400	-0.25609473
Fvb2	13130601	13130700	0.25142909
Fvb2	13150201	13150300	0.504056795
Fvb2	13802101	13802200	0.253526886
Fvb2	13888601	13888700	0.221819646
Fvb2	14275801	14275900	0.27719328
Fvb2	14630501	14630600	0.333333333
Fvb2	14688801	14688900	-0.240758145
Fvb2	14861701	14861800	0.272727273
Fvb2	15159701	15159800	-0.291375114
Fvb2	15295601	15295700	-0.345918367
Fvb2	15705901	15706000	0.364456786
Fvb2	15796301	15796400	0.215332853
Fvb2	15960701	15960800	-0.313238771
Fvb2	17060701	17060800	0.290582918
Fvb2	17102701	17102800	0.303571429
Fvb2	17143001	17143100	-0.202764977
Fvb2	17403601	17403700	-0.265205725
Fvb2	17451101	17451200	-0.231900452
Fvb2	17752101	17752200	-0.331068931
Fvb2	17918801	17918900	0.390625
Fvb2	18361701	18361800	-0.386913229
Fvb2	18521701	18521800	0.241176471
Fvb2	18581101	18581200	-0.271523179
Fvb2	19549801	19549900	-0.240740741
Fvb2	20215201	20215300	-0.303409091
Fvb2	20766101	20766200	0.236516661
Fvb2	20828401	20828500	0.288888889
Fvb2	21880301	21880400	-0.243393009
Fvb2	22178401	22178500	-0.264493408
Fvb2	23454201	23454300	-0.220588235
Fvb2	24298601	24298700	0.302667269
Fvb2	24369901	24370000	-0.228587635
Fvb2	24420101	24420200	-0.222222222
Fvb2	24703801	24703900	0.226744186
Fvb2	24861001	24861100	-0.240131579
Fvb2	25195901	25196000	0.274886701
Fvb2	25196001	25196100	0.313059034
Fvb2	25196101	25196200	0.279169526
Fvb2	25321401	25321500	-0.246717172
Fvb2	25440301	25440400	0.356470588
Fvb2	25549501	25549600	0.448304384
Fvb2	25596501	25596600	0.301298701
Fvb2	26549101	26549200	0.243721461
Fvb2	26961901	26962000	0.224411232
Fvb2	26967001	26967100	-0.32490566
Fvb2	26996201	26996300	-0.283302064
Fvb2	27093501	27093600	-0.244252874
Fvb2	27562401	27562500	-0.291356731
Fvb2	27796801	27796900	-0.223614458
Fvb2	27918101	27918200	0.222463768
Fvb2	28021401	28021500	0.249321267
Fvb2	28136201	28136300	-0.380952381
Fvb2	28868301	28868400	-0.253289474
Fvb2	28889901	28890000	0.377474984
Fvb2	28914801	28914900	-0.207602339
Fvb2	29278601	29278700	-0.274832322
Fvb3	213003	213102	0.226358579
Fvb3	405403	405502	-0.26481715
Fvb3	1131303	1131402	0.26119403
Fvb3	1168203	1168302	0.308092636
Fvb3	1695203	1695302	-0.359141184
Fvb3	2259703	2259802	-0.222222222
Fvb3	2830003	2830102	0.412955466
Fvb3	3086103	3086202	0.349038462
Fvb3	3251003	3251102	-0.40833989
Fvb3	3566603	3566702	-0.217255717
Fvb3	4289603	4289702	0.2
Fvb3	4393003	4393102	0.237429947
Fvb3	4709603	4709702	0.334312573
Fvb3	4940903	4941002	0.302926198
Fvb3	5446603	5446702	0.222222222
Fvb3	5449203	5449302	-0.352941176
Fvb3	5999103	5999202	-0.246956522
Fvb3	6933003	6933102	-0.251058531
Fvb3	7126903	7127002	-0.269076305
Fvb3	7128603	7128702	-0.215943711
Fvb3	7130303	7130402	-0.242803504
Fvb3	7140403	7140502	-0.271007752
Fvb3	7438103	7438202	-0.396358543
Fvb3	7839903	7840002	0.23630137
Fvb3	7943503	7943602	0.398954704
Fvb3	7984803	7984902	0.261093911
Fvb3	8231703	8231802	0.422275641
Fvb3	8268003	8268102	-0.286842105
Fvb3	8363803	8363902	0.391986063
Fvb3	10177103	10177202	-0.273281596
Fvb3	11085103	11085202	-0.21602728
Fvb3	11336903	11337002	-0.238237491
Fvb3	11364203	11364302	-0.293939394
Fvb3	11776803	11776902	-0.3375
Fvb3	12033403	12033502	0.214545455
Fvb3	12332603	12332702	0.223041475
Fvb3	13059603	13059702	-0.316549571
Fvb3	13177803	13177902	-0.329411765
Fvb3	13495603	13495702	0.265625
Fvb3	13628803	13628902	-0.280566281
Fvb3	14097003	14097102	-0.308333333
Fvb3	14113503	14113602	-0.271186441
Fvb3	15225303	15225402	0.222988506
Fvb3	15508703	15508802	0.488888889
Fvb3	15798703	15798802	-0.329401089
Fvb3	16180003	16180102	0.320020222
Fvb3	16433703	16433802	0.283496732
Fvb3	16775303	16775402	0.374201788
Fvb3	16808503	16808602	0.302352941
Fvb3	16931103	16931202	0.215517241
Fvb3	16944903	16945002	-0.226666667
Fvb3	17224403	17224502	0.248964803
Fvb3	17405003	17405102	-0.346256684
Fvb3	17560503	17560602	-0.275862069
Fvb3	17807503	17807602	-0.227263894
Fvb3	17844303	17844402	0.235562718
Fvb3	17844403	17844502	0.31987013
Fvb3	18308403	18308502	-0.205614035
Fvb3	18409703	18409802	-0.412837838
Fvb3	18646203	18646302	-0.4475
Fvb3	19051303	19051402	0.404705882
Fvb3	19977403	19977502	-0.412024757
Fvb3	20236503	20236602	0.202702703
Fvb3	21614603	21614702	0.228070175
Fvb3	21850703	21850802	-0.242141591
Fvb3	22384603	22384702	0.236397749
Fvb3	22442803	22442902	-0.245908347
Fvb3	23174103	23174202	-0.217479675
Fvb3	23564303	23564402	0.204562453
Fvb3	23617603	23617702	-0.206896552
Fvb3	24023603	24023702	-0.24137931
Fvb3	25168403	25168502	-0.251075731
Fvb3	27178203	27178302	-0.321510297
Fvb3	27666103	27666202	-0.225
Fvb3	28122103	28122202	0.223655914
Fvb3	28188603	28188702	-0.312631579
Fvb3	28251203	28251302	0.250223243
Fvb3	28310803	28310902	-0.219512195
Fvb3	28535003	28535102	0.275862069
Fvb3	28941903	28942002	0.212121212
Fvb3	29338803	29338902	0.238553114
Fvb3	29514203	29514302	0.228764479
Fvb3	29543803	29543902	0.349639134
Fvb3	29543903	29544002	0.236130536
Fvb3	29782903	29783002	0.227604903
Fvb3	29989103	29989202	0.276604069
Fvb3	30459103	30459202	-0.223447841
Fvb3	31023903	31024002	-0.240784314
Fvb3	31297503	31297602	0.239884393
Fvb3	31486703	31486802	-0.257834758
Fvb3	31610803	31610902	-0.204166667
Fvb3	31814403	31814502	0.214285714
Fvb3	31825103	31825202	-0.405982906
Fvb3	33278803	33278902	-0.222222222
Fvb3	33619003	33619102	0.339066339
Fvb3	33640603	33640702	-0.358560794
Fvb3	33687103	33687202	0.229406351
Fvb3	33721003	33721102	-0.227759563
Fvb3	33938003	33938102	-0.267692308
Fvb3	33956403	33956502	-0.228658537
Fvb3	33995103	33995202	0.281167109
Fvb3	34204903	34205002	0.503703704
Fvb3	34463603	34463702	0.364145658
Fvb3	34576803	34576902	-0.435897436
Fvb3	35394303	35394402	0.287279367
Fvb3	35744303	35744402	-0.223880597
Fvb3	36134603	36134702	0.23024055
Fvb3	36172503	36172602	-0.3
Fvb3	36825503	36825602	-0.298534799
Fvb4	461003	461102	0.286848073
Fvb4	553403	553502	0.312292359
Fvb4	619103	619202	0.222222222
Fvb4	1610703	1610802	-0.2414307
Fvb4	1612003	1612102	-0.394799054
Fvb4	1612103	1612202	-0.221751412
Fvb4	1657803	1657902	-0.220338983
Fvb4	2222803	2222902	0.255991285
Fvb4	2222903	2223002	0.268677059
Fvb4	2444103	2444202	0.3375
Fvb4	2553203	2553302	0.203171999
Fvb4	3414203	3414302	0.239878543
Fvb4	3723903	3724002	-0.221846062
Fvb4	4077103	4077202	-0.301229132
Fvb4	4138203	4138302	0.203354839
Fvb4	4591503	4591602	0.290853659
Fvb4	5039503	5039602	-0.333606557
Fvb4	5137503	5137602	0.213675214
Fvb4	6086303	6086402	0.207404255
Fvb4	6347703	6347802	0.21320922
Fvb4	7306203	7306302	0.292715903
Fvb4	8772903	8773002	-0.203659412
Fvb4	10469703	10469802	-0.362962963
Fvb4	11252703	11252802	0.254120879
Fvb4	11344303	11344402	-0.335081585
Fvb4	11381303	11381402	-0.241428571
Fvb4	11934803	11934902	0.210737179
Fvb4	13347203	13347302	-0.202630256
Fvb4	14189603	14189702	-0.208386821
Fvb4	14410903	14411002	0.218219462
Fvb4	15105303	15105402	0.227272727
Fvb4	15140703	15140802	0.303030303
Fvb4	16086103	16086202	-0.275
Fvb4	16428603	16428702	-0.399038462
Fvb4	17860603	17860702	-0.253787879
Fvb4	18041103	18041202	-0.41263799
Fvb4	18563103	18563202	0.407269338
Fvb4	18623103	18623202	0.211167138
Fvb4	18801603	18801702	-0.403174603
Fvb4	18817803	18817902	0.271915584
Fvb4	18817903	18818002	0.216134859
Fvb4	18842203	18842302	-0.264788017
Fvb4	19245603	19245702	0.210238095
Fvb4	19922203	19922302	0.234996738
Fvb4	20034903	20035002	-0.303030303
Fvb4	20759103	20759202	-0.234432234
Fvb4	21897603	21897702	0.270833333
Fvb4	22715903	22716002	0.238859386
Fvb4	23105503	23105602	-0.354887218
Fvb4	23285003	23285102	0.310344828
Fvb4	24523703	24523802	0.324738676
Fvb4	24526403	24526502	0.312701252
Fvb4	24770103	24770202	-0.322822231
Fvb4	25308703	25308802	0.234234234
Fvb4	25428203	25428302	0.209315287
Fvb4	25634803	25634902	0.266666667
Fvb4	26356203	26356302	0.254515599
