seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tes	score	phase
contig_10	1904	2003	100	*	38	205	0.185365853658537	211	489	0.431492842535787	25	CHG	1	3.72591846457319e-08	gain	NA	NA	NA	NA	NA
contig_16	19301	19400	100	*	39	129	0.302325581395349	222	436	0.509174311926605	27	CHG	1	0.000144343468749088	gain	NA	NA	NA	NA	NA
contig_2	28003	28102	100	*	31	43	0.720930232558139	27	68	0.397058823529412	8	CHG	-1	0.000889049533027577	loss	NA	NA	NA	NA	NA
contig_20	4302	4401	100	*	31	182	0.17032967032967	171	309	0.553398058252427	22	CHG	1	9.29673044854421e-15	gain	NA	NA	NA	NA	NA
contig_22	12302	12401	100	*	61	194	0.314432989690722	132	256	0.515625	25	CHG	1	0.00010180480791367	gain	NA	NA	NA	NA	NA
contig_22	12402	12501	100	*	215	584	0.368150684931507	513	864	0.59375	24	CHG	1	5.12683687268013e-15	gain	NA	NA	NA	NA	NA
contig_22	12502	12601	100	*	158	458	0.344978165938865	426	754	0.564986737400531	27	CHG	1	9.29863571416173e-12	gain	NA	NA	NA	NA	NA
contig_22	43202	43301	100	*	77	329	0.234042553191489	385	692	0.55635838150289	26	CHG	1	1.41167115904065e-19	gain	NA	NA	NA	NA	NA
contig_22	43302	43401	100	*	317	909	0.348734873487349	1097	1930	0.56839378238342	25	CHG	1	6.38065334879488e-25	gain	NA	NA	NA	NA	NA
contig_5	9104	9203	100	*	36	38	0.947368421052632	49	67	0.73134328358209	8	CHG	-1	0.00674930980517392	loss	NA	NA	NA	NA	NA
contig_5	26904	27003	100	*	36	51	0.705882352941177	72	79	0.911392405063291	12	CHG	1	0.00228205518670015	gain	NA	NA	NA	NA	NA
contig_7	39701	39800	100	*	135	591	0.228426395939086	559	1212	0.461221122112211	25	CHG	1	3.4458015219344e-19	gain	NA	NA	NA	NA	NA
contig_9	9303	9402	100	*	77	186	0.413978494623656	306	464	0.65948275862069	26	CHG	1	2.96010378700534e-07	gain	NA	NA	NA	NA	NA
contig_9	21303	21402	100	*	70	92	0.760869565217391	110	252	0.436507936507937	23	CHG	-1	2.12227484636772e-06	loss	NA	NA	NA	NA	NA
contig_9	31203	31302	100	*	80	329	0.243161094224924	243	490	0.495918367346939	25	CHG	1	3.08690028274331e-11	gain	NA	NA	NA	NA	NA
contig_9	42003	42102	100	*	34	75	0.453333333333333	116	173	0.670520231213873	16	CHG	1	0.0013158589556108	gain	NA	NA	NA	NA	NA
contig_9	53303	53402	100	*	70	145	0.482758620689655	416	563	0.738898756660746	26	CHG	1	1.25415678046785e-07	gain	NA	NA	NA	NA	NA
Fvb1	36803	36902	100	*	0	18	0	18	37	0.486486486486487	4	CHG	1	0.000513532288561431	gain	NA	NA	NA	NA	NA
Fvb1	381103	381202	100	*	4	31	0.129032258064516	29	47	0.617021276595745	6	CHG	1	0.00010180480791367	gain	NA	NA	NA	NA	NA
Fvb1	762903	763002	100	*	24	51	0.470588235294118	95	130	0.730769230769231	10	CHG	1	0.000915193690478302	gain	NA	NA	NA	NA	NA
Fvb1	763203	763302	100	*	56	68	0.823529411764706	36	70	0.514285714285714	10	CHG	-1	0.00030836363102785	loss	NA	NA	NA	NA	NA
Fvb1	889603	889702	100	*	11	32	0.34375	53	75	0.706666666666667	6	CHG	1	0.000597489945518577	gain	EVM	SO:0005836	FvH4_1g01660	1	NA
Fvb1	1135403	1135502	100	*	19	44	0.431818181818182	7	76	0.0921052631578947	6	CHG	-1	8.43359506403474e-05	loss	NA	NA	NA	NA	NA
Fvb1	1200603	1200702	100	*	6	192	0.03125	91	292	0.311643835616438	16	CHG	1	4.72936433849772e-12	gain	NA	NA	NA	NA	NA
