seqnames	start	end	methdiff
Fvb1	5903	5952	-0.248916707
Fvb1	19653	19702	0.341372549
Fvb1	20653	20702	0.295537341
Fvb1	31303	31352	-0.221616541
Fvb1	51953	52002	-0.236111111
Fvb1	180103	180152	0.208646617
Fvb1	226103	226152	-0.211632744
Fvb1	226153	226202	-0.238152473
Fvb1	226253	226302	-0.278165584
Fvb1	226303	226352	-0.365542763
Fvb1	267803	267852	0.228200371
Fvb1	268103	268152	0.266739927
Fvb1	273403	273452	-0.465358608
Fvb1	385353	385402	0.291055206
Fvb1	444603	444652	-0.321002941
Fvb1	448603	448652	-0.419380723
Fvb1	448653	448702	-0.405782313
Fvb1	473153	473202	-0.269458858
Fvb1	575003	575052	-0.3
Fvb1	583403	583452	0.246742329
Fvb1	583453	583502	0.238529227
Fvb1	744453	744502	-0.233333333
Fvb1	744503	744552	-0.257851813
Fvb1	744553	744602	-0.216465353
Fvb1	747103	747152	-0.220633174
Fvb1	763003	763052	-0.256894049
Fvb1	806153	806202	-0.201556321
Fvb1	806253	806302	-0.247222222
Fvb1	808003	808052	-0.20015726
Fvb1	808103	808152	-0.275705645
Fvb1	857603	857652	-0.218101823
Fvb1	970603	970652	0.223748474
Fvb1	1003003	1003052	-0.217683466
Fvb1	1003053	1003102	0.266708701
Fvb1	1100353	1100402	0.258416945
Fvb1	1104403	1104452	0.251111111
Fvb1	1131903	1131952	0.253374413
Fvb1	1156653	1156702	0.254098361
Fvb1	1199053	1199102	0.262400871
Fvb1	1413853	1413902	0.419117647
Fvb1	1440253	1440302	0.212943872
Fvb1	1460953	1461002	0.300125313
Fvb1	1461003	1461052	0.240973312
Fvb1	1461503	1461552	-0.309019608
Fvb1	1668703	1668752	0.230136986
Fvb1	1725603	1725652	-0.21986249
Fvb1	1872403	1872452	0.240430622
Fvb1	1883453	1883502	-0.25959596
Fvb1	1978053	1978102	0.228479853
Fvb1	1992903	1992952	-0.281894934
Fvb1	2081053	2081102	0.35959596
Fvb1	2081103	2081152	0.278669941
Fvb1	2081153	2081202	0.260981912
Fvb1	2081203	2081252	0.222482436
Fvb1	2336653	2336702	0.262944831
Fvb1	2365903	2365952	0.203389831
Fvb1	2385903	2385952	-0.229411765
Fvb1	2386053	2386102	-0.220779221
Fvb1	2398403	2398452	-0.247855664
Fvb1	2469153	2469202	0.265312701
Fvb1	2486003	2486052	0.24540851
Fvb1	2486053	2486102	0.241230487
Fvb1	2553453	2553502	0.259259259
Fvb1	2634903	2634952	-0.233766234
Fvb1	2702053	2702102	0.218018915
Fvb1	2757653	2757702	0.232261493
Fvb1	2826653	2826702	0.21026572
Fvb1	2852853	2852902	-0.243030132
Fvb1	2870003	2870052	0.216346154
Fvb1	2873053	2873102	-0.202197802
Fvb1	2873803	2873852	-0.317647059
Fvb1	2873903	2873952	-0.450677887
Fvb1	2874803	2874852	0.236904762
Fvb1	2972753	2972802	0.22081448
Fvb1	3053003	3053052	-0.223931624
Fvb1	3067253	3067302	-0.239780144
Fvb1	3069953	3070002	-0.23655914
Fvb1	3127803	3127852	-0.251111111
Fvb1	3129103	3129152	-0.24789916
Fvb1	3154003	3154052	-0.360714286
Fvb1	3175353	3175402	-0.25886918
Fvb1	3289003	3289052	-0.306667835
Fvb1	3289103	3289152	-0.248400853
Fvb1	3289253	3289302	-0.234394125
Fvb1	3293003	3293052	0.214338235
Fvb1	3311053	3311102	0.211802346
Fvb1	3311103	3311152	0.312661082
Fvb1	3311153	3311202	0.214893617
Fvb1	3409903	3409952	0.212450593
Fvb1	3470153	3470202	-0.424041812
Fvb1	3502753	3502802	-0.234169654
Fvb1	3517153	3517202	0.227459016
Fvb1	3527853	3527902	-0.303320683
Fvb1	3605853	3605902	0.286215979
Fvb1	3608703	3608752	-0.244239631
Fvb1	3608853	3608902	0.208705357
Fvb1	3609303	3609352	0.248888889
Fvb1	3921053	3921102	0.395655383
Fvb1	3921103	3921152	0.25094697
Fvb1	3948003	3948052	0.273906675
Fvb1	3999603	3999652	-0.293238994
Fvb1	4059103	4059152	0.221161741
Fvb1	4199703	4199752	0.2
Fvb1	4203853	4203902	0.22972973
Fvb1	4203903	4203952	0.306410256
Fvb1	4222303	4222352	-0.28713575
Fvb1	4357803	4357852	0.259976176
Fvb1	4396603	4396652	-0.246052038
Fvb1	4445303	4445352	0.212121212
Fvb1	4493903	4493952	-0.215873016
Fvb1	4500703	4500752	-0.202469136
Fvb1	4514553	4514602	-0.368670886
Fvb1	4573103	4573152	0.205128205
Fvb1	4583653	4583702	0.254934761
Fvb1	4631853	4631902	-0.222222222
Fvb1	4633553	4633602	-0.215609756
Fvb1	4642853	4642902	0.279059829
Fvb1	4654353	4654402	0.490580848
Fvb1	4736503	4736552	-0.339260906
Fvb1	4788753	4788802	-0.203188406
Fvb1	4891153	4891202	-0.292440318
Fvb1	4922503	4922552	-0.264399206
Fvb1	4922653	4922702	0.252798925
Fvb1	4964403	4964452	-0.228992433
Fvb1	4966503	4966552	0.277265745
Fvb1	4966953	4967002	-0.216221524
Fvb1	4975753	4975802	-0.271084337
Fvb1	4975803	4975852	-0.240599593
Fvb1	5022253	5022302	-0.284220355
Fvb1	5028903	5028952	-0.299137675
Fvb1	5052053	5052102	0.2090301
Fvb1	5113553	5113602	0.22475856
Fvb1	5141153	5141202	-0.320730117
Fvb1	5141203	5141252	-0.285544554
Fvb1	5141253	5141302	-0.355244755
Fvb1	5355553	5355602	-0.281484258
Fvb1	5431253	5431302	-0.256684492
Fvb1	5443603	5443652	-0.257347915
Fvb1	5443653	5443702	-0.276010929
Fvb1	5542703	5542752	0.365129836
Fvb1	5669903	5669952	-0.224375624
Fvb1	5670003	5670052	-0.263348416
Fvb1	5674303	5674352	-0.212654321
Fvb1	5675403	5675452	-0.211593786
Fvb1	5817603	5817652	-0.206324111
Fvb1	5898253	5898302	0.333333333
Fvb1	5948803	5948852	0.229699666
Fvb1	5993503	5993552	0.336348684
Fvb1	5994853	5994902	-0.253378378
Fvb1	5995103	5995152	-0.235966524
Fvb1	6001403	6001452	0.226950355
Fvb1	6001553	6001602	0.274164324
Fvb1	6024903	6024952	0.3
Fvb1	6051353	6051402	0.266122449
Fvb1	6126603	6126652	-0.306578667
Fvb1	6145903	6145952	0.243952651
Fvb1	6164703	6164752	0.236439752
Fvb1	6167703	6167752	0.360457516
Fvb1	6203303	6203352	-0.238970588
Fvb1	6242603	6242652	-0.286944046
Fvb1	6251753	6251802	0.265389877
Fvb1	6252003	6252052	-0.259259259
Fvb1	6252053	6252102	-0.282121378
Fvb1	6252153	6252202	0.20545977
Fvb1	6267153	6267202	-0.221491228
Fvb1	6310553	6310602	0.313586957
Fvb1	6470703	6470752	0.325134328
Fvb1	6502053	6502102	0.210526316
Fvb1	6589153	6589202	-0.299319728
Fvb1	6613603	6613652	0.305970149
Fvb1	6639103	6639152	-0.2725
Fvb1	6639403	6639452	-0.26702509
Fvb1	6647703	6647752	-0.2090301
Fvb1	6650053	6650102	-0.225
Fvb1	6725253	6725302	-0.215860735
Fvb1	6764753	6764802	0.266516517
Fvb1	6768303	6768352	0.270833333
Fvb1	6783053	6783102	0.297701149
Fvb1	6783103	6783152	0.21968122
Fvb1	6791003	6791052	0.206289979
Fvb1	6859653	6859702	-0.212672811
Fvb1	6864203	6864252	-0.265044814
Fvb1	6881553	6881602	0.201704545
Fvb1	6899603	6899652	-0.220139494
Fvb1	6902403	6902452	0.216781214
Fvb1	6904553	6904602	0.26969697
Fvb1	6911353	6911402	-0.215034965
Fvb1	6912653	6912702	-0.202307692
Fvb1	7129503	7129552	0.271153846
Fvb1	7348853	7348902	-0.300420168
Fvb1	7436503	7436552	0.2
Fvb1	7501953	7502002	-0.255923345
Fvb1	7508053	7508102	-0.334733894
Fvb1	7508103	7508152	-0.339841539
Fvb1	7560253	7560302	-0.278461538
Fvb1	7646753	7646802	0.23120915
Fvb1	7650453	7650502	0.24122449
Fvb1	7674653	7674702	-0.231074261
Fvb1	7770703	7770752	0.205783866
Fvb1	7870653	7870702	0.326923077
Fvb1	7915153	7915202	-0.267857143
Fvb1	7923003	7923052	0.225225225
Fvb1	7923153	7923202	0.228174603
Fvb1	7923753	7923802	-0.292942177
Fvb1	7929403	7929452	0.224683094
Fvb1	7929453	7929502	0.212221222
Fvb1	7929503	7929552	0.37442076
Fvb1	7941903	7941952	-0.225506073
Fvb1	7942353	7942402	-0.234052111
Fvb1	8093403	8093452	0.223837209
Fvb1	8093453	8093502	0.246130031
Fvb1	8124803	8124852	0.245933219
Fvb1	8129103	8129152	0.294900222
Fvb1	8206753	8206802	-0.274210904
Fvb1	8291353	8291402	-0.274099576
Fvb1	8293553	8293602	-0.256699738
