group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	NL0H	Fvb1	1	50000	50000	*	9718	23115	0.420419640925806	CG
1	NL0H	Fvb1	50001	100000	50000	*	8114	25314	0.320534091806905	CG
1	NL0H	Fvb1	100001	150000	50000	*	6455	32866	0.196403578165886	CG
1	NL0H	Fvb1	150001	200000	50000	*	8292	31822	0.260574445352272	CG
1	NL0H	Fvb1	200001	250000	50000	*	6019	30804	0.195396701727048	CG
1	NL0H	Fvb1	250001	300000	50000	*	17922	32093	0.558439535101112	CG
1	NL0H	Fvb1	300001	350000	50000	*	6923	28752	0.240783249860879	CG
1	NL0H	Fvb1	350001	400000	50000	*	7143	36321	0.196663087470059	CG
1	NL0H	Fvb1	400001	450000	50000	*	8049	27422	0.293523448326161	CG
1	NL0H	Fvb1	450001	500000	50000	*	8200	23065	0.355517017125515	CG
1	NL0H	Fvb1	500001	550000	50000	*	5241	22525	0.232674805771365	CG
1	NL0H	Fvb1	550001	600000	50000	*	6904	27951	0.247003685020214	CG
1	NL0H	Fvb1	600001	650000	50000	*	6061	28591	0.211989786995908	CG
1	NL0H	Fvb1	650001	700000	50000	*	4088	21495	0.190183763665969	CG
1	NL0H	Fvb1	700001	750000	50000	*	13792	37712	0.365719134493	CG
1	NL0H	Fvb1	750001	800000	50000	*	20090	32885	0.610916831382089	CG
1	NL0H	Fvb1	800001	850000	50000	*	12339	26198	0.470990151919994	CG
1	NL0H	Fvb1	850001	900000	50000	*	3575	27638	0.129350893697084	CG
1	NL0H	Fvb1	900001	950000	50000	*	6234	29346	0.2124309957064	CG
1	NL0H	Fvb1	950001	1000000	50000	*	6353	27164	0.233875717861876	CG
1	NL0H	Fvb1	1000001	1050000	50000	*	5297	34424	0.153875203346502	CG
1	NL0H	Fvb1	1050001	1100000	50000	*	4949	26277	0.188339612588956	CG
1	NL0H	Fvb1	1100001	1150000	50000	*	3834	13925	0.275332136445242	CG
1	NL0H	Fvb1	1150001	1200000	50000	*	6884	22610	0.304467049977886	CG
1	NL0H	Fvb1	1200001	1250000	50000	*	8032	31071	0.258504715007563	CG
1	NL0H	Fvb1	1250001	1300000	50000	*	9650	21839	0.441870048994917	CG
1	NL0H	Fvb1	1300001	1350000	50000	*	5021	25807	0.194559615608168	CG
1	NL0H	Fvb1	1350001	1400000	50000	*	10260	27532	0.372657271538573	CG
1	NL0H	Fvb1	1400001	1450000	50000	*	6774	29355	0.230761369443025	CG
1	NL0H	Fvb1	1450001	1500000	50000	*	7377	33494	0.220248402698991	CG
1	NL0H	Fvb1	1500001	1550000	50000	*	7557	29275	0.258138343296328	CG
1	NL0H	Fvb1	1550001	1600000	50000	*	8076	31262	0.258332800204721	CG
1	NL0H	Fvb1	1600001	1650000	50000	*	5917	31331	0.188854489164087	CG
1	NL0H	Fvb1	1650001	1700000	50000	*	6135	27490	0.223172062568207	CG
1	NL0H	Fvb1	1700001	1750000	50000	*	6774	28658	0.236373787424105	CG
1	NL0H	Fvb1	1750001	1800000	50000	*	5283	27983	0.18879319586892	CG
1	NL0H	Fvb1	1800001	1850000	50000	*	5606	25324	0.221371031432633	CG
1	NL0H	Fvb1	1850001	1900000	50000	*	6944	35325	0.19657466383581	CG
1	NL0H	Fvb1	1900001	1950000	50000	*	5780	33598	0.172034049645812	CG
1	NL0H	Fvb1	1950001	2000000	50000	*	4719	26302	0.179416013991331	CG
1	NL0H	Fvb1	2000001	2050000	50000	*	6004	25024	0.239929667519182	CG
1	NL0H	Fvb1	2050001	2100000	50000	*	5903	28971	0.203755479617549	CG
1	NL0H	Fvb1	2100001	2150000	50000	*	7649	27758	0.275560198861589	CG
1	NL0H	Fvb1	2150001	2200000	50000	*	3370	36432	0.0925010979358805	CG
1	NL0H	Fvb1	2200001	2250000	50000	*	8677	26682	0.325200509706918	CG
1	NL0H	Fvb1	2250001	2300000	50000	*	9170	22633	0.405160606194495	CG
1	NL0H	Fvb1	2300001	2350000	50000	*	9202	30281	0.303886925795053	CG
1	NL0H	Fvb1	2350001	2400000	50000	*	3966	22160	0.178971119133574	CG
1	NL0H	Fvb1	2400001	2450000	50000	*	4161	16134	0.257902566009669	CG
1	NL0H	Fvb1	2450001	2500000	50000	*	11905	24846	0.479151573693955	CG
1	NL0H	Fvb1	2500001	2550000	50000	*	5156	32293	0.159663084879076	CG
1	NL0H	Fvb1	2550001	2600000	50000	*	11506	21926	0.52476511903676	CG
1	NL0H	Fvb1	2600001	2650000	50000	*	8925	24173	0.369213585405204	CG
1	NL0H	Fvb1	2650001	2700000	50000	*	6040	34497	0.175087688784532	CG
1	NL0H	Fvb1	2700001	2750000	50000	*	7590	31915	0.237819207269309	CG
1	NL0H	Fvb1	2750001	2800000	50000	*	4738	28943	0.163701067615658	CG
1	NL0H	Fvb1	2800001	2850000	50000	*	6909	26968	0.25619252447345	CG
1	NL0H	Fvb1	2850001	2900000	50000	*	4448	26953	0.165028011724112	CG
1	NL0H	Fvb1	2900001	2950000	50000	*	2864	34005	0.0842229083958242	CG
1	NL0H	Fvb1	2950001	3000000	50000	*	7258	20105	0.361004725192738	CG
1	NL0H	Fvb1	3000001	3050000	50000	*	7830	35032	0.223509933774834	CG
1	NL0H	Fvb1	3050001	3100000	50000	*	27445	37450	0.732843791722296	CG
1	NL0H	Fvb1	3100001	3150000	50000	*	9406	25041	0.375623976678248	CG
1	NL0H	Fvb1	3150001	3200000	50000	*	5770	20428	0.282455453299393	CG
1	NL0H	Fvb1	3200001	3250000	50000	*	5805	28376	0.204574288130815	CG
1	NL0H	Fvb1	3250001	3300000	50000	*	5479	21715	0.252314068616164	CG
1	NL0H	Fvb1	3300001	3350000	50000	*	6076	31644	0.192011123751738	CG
1	NL0H	Fvb1	3350001	3400000	50000	*	8968	26973	0.332480628776925	CG
1	NL0H	Fvb1	3400001	3450000	50000	*	5188	26795	0.193618212353051	CG
1	NL0H	Fvb1	3450001	3500000	50000	*	7819	25071	0.311874277053169	CG
1	NL0H	Fvb1	3500001	3550000	50000	*	5954	30370	0.196048732301613	CG
1	NL0H	Fvb1	3550001	3600000	50000	*	16351	30133	0.542627683934557	CG
1	NL0H	Fvb1	3600001	3650000	50000	*	11181	26067	0.428933133847393	CG
