seqnames	start	end	methdiff
Fvb1	7053	7102	0.212445175
Fvb1	30953	31002	0.210784314
Fvb1	150353	150402	0.286931818
Fvb1	157453	157502	0.298315559
Fvb1	157503	157552	0.293088268
Fvb1	157653	157702	0.415614237
Fvb1	162403	162452	-0.205207329
Fvb1	162453	162502	-0.219486169
Fvb1	163903	163952	0.34629981
Fvb1	176503	176552	-0.364929902
Fvb1	268403	268452	0.204607602
Fvb1	270053	270102	0.214337524
Fvb1	272903	272952	0.254837446
Fvb1	273003	273052	0.224233661
Fvb1	273053	273102	0.297827903
Fvb1	275303	275352	0.211687648
Fvb1	276003	276052	0.217376995
Fvb1	276053	276102	0.287106447
Fvb1	322553	322602	0.333333333
Fvb1	384753	384802	0.271463758
Fvb1	384853	384902	0.247480106
Fvb1	384953	385002	0.291410392
Fvb1	385003	385052	0.289491449
Fvb1	385053	385102	0.322172035
Fvb1	472653	472702	-0.206989247
Fvb1	583903	583952	0.317073171
Fvb1	633103	633152	0.215375789
Fvb1	652803	652852	-0.253518124
Fvb1	710503	710552	0.205479452
Fvb1	716253	716302	0.247252747
Fvb1	743153	743202	0.305238752
Fvb1	743203	743252	0.249806531
Fvb1	743353	743402	0.307588305
Fvb1	743703	743752	0.201491353
Fvb1	743953	744002	0.249897274
Fvb1	744953	745002	0.232842105
Fvb1	745003	745052	0.218796992
Fvb1	745053	745102	0.363081395
Fvb1	745153	745202	0.269823543
Fvb1	746503	746552	-0.22275641
Fvb1	746553	746602	-0.204597264
Fvb1	750653	750702	0.257357143
Fvb1	750703	750752	0.269080997
Fvb1	750753	750802	0.348895225
Fvb1	752103	752152	0.207012772
Fvb1	752953	753002	-0.209692029
Fvb1	756153	756202	0.518031189
Fvb1	756253	756302	0.442169837
Fvb1	756303	756352	0.336460165
Fvb1	756953	757002	0.204318937
Fvb1	760703	760752	0.408681498
Fvb1	760753	760802	0.248611111
Fvb1	763303	763352	0.218844985
Fvb1	817203	817252	0.240753745
Fvb1	950753	950802	-0.302065648
Fvb1	1159603	1159652	0.202482877
Fvb1	1159903	1159952	0.244871795
Fvb1	1200703	1200752	0.223880597
Fvb1	1215653	1215702	-0.214425269
Fvb1	1215803	1215852	-0.214285714
Fvb1	1291853	1291902	0.274813896
Fvb1	1395553	1395602	-0.240659341
Fvb1	1520803	1520852	-0.215909091
Fvb1	1521903	1521952	0.241477273
Fvb1	1524503	1524552	0.228192371
Fvb1	1524553	1524602	0.467883705
Fvb1	1524603	1524652	0.359877913
Fvb1	1524653	1524702	0.253420398
Fvb1	1524853	1524902	-0.2093619
Fvb1	1631203	1631252	0.292022792
Fvb1	1694053	1694102	0.455429819
Fvb1	1712403	1712452	-0.242234685
Fvb1	1719753	1719802	0.24227318
Fvb1	1730803	1730852	-0.26969697
Fvb1	1766653	1766702	-0.314616756
Fvb1	1886553	1886602	0.259337861
Fvb1	1887953	1888002	0.214539007
Fvb1	2026803	2026852	-0.287114846
Fvb1	2028553	2028602	-0.256119951
Fvb1	2100203	2100252	-0.287587413
Fvb1	2112453	2112502	0.211219512
Fvb1	2231003	2231052	-0.247252747
Fvb1	2231453	2231502	0.2
Fvb1	2264103	2264152	-0.227095517
Fvb1	2451853	2451902	-0.277559342
Fvb1	2469353	2469402	-0.229437229
Fvb1	2514103	2514152	0.290788447
Fvb1	2553553	2553602	0.214513788
Fvb1	2554353	2554402	0.20890411
Fvb1	2606203	2606252	0.408653846
Fvb1	2626353	2626402	0.251287001
Fvb1	2736303	2736352	0.308622079
Fvb1	2744403	2744452	-0.306776557
Fvb1	2755403	2755452	-0.4
Fvb1	2773553	2773602	-0.224647887
Fvb1	2774003	2774052	0.208333333
Fvb1	2873053	2873102	-0.232213439
Fvb1	2927003	2927052	-0.423809524
Fvb1	2973153	2973202	0.227860313
Fvb1	3054603	3054652	0.295383547
Fvb1	3054853	3054902	0.313888889
Fvb1	3055303	3055352	-0.249812734
Fvb1	3055403	3055452	-0.294642857
Fvb1	3055953	3056002	0.402481998
Fvb1	3056203	3056252	-0.241209495
Fvb1	3057603	3057652	0.262012497
Fvb1	3059553	3059602	-0.211351351
Fvb1	3059653	3059702	0.39122807
Fvb1	3063503	3063552	0.345905539
Fvb1	3063553	3063602	0.304193834
Fvb1	3063603	3063652	0.283493103
Fvb1	3063653	3063702	0.221464646
Fvb1	3063803	3063852	-0.22106373
Fvb1	3064103	3064152	0.250934714
Fvb1	3066453	3066502	0.365331492
Fvb1	3066503	3066552	0.411764706
Fvb1	3066553	3066602	0.319900031
Fvb1	3066603	3066652	0.328647366
Fvb1	3066653	3066702	0.297773287
Fvb1	3066703	3066752	0.240770941
Fvb1	3067903	3067952	0.207484865
Fvb1	3069153	3069202	-0.209562191
Fvb1	3069503	3069552	0.278723536
Fvb1	3069553	3069602	0.33642614
Fvb1	3069603	3069652	0.252471349
Fvb1	3069653	3069702	0.20304249
Fvb1	3070153	3070202	0.240676352
Fvb1	3070203	3070252	0.21
Fvb1	3070253	3070302	0.272781482
Fvb1	3070303	3070352	0.230639731
Fvb1	3070353	3070402	0.21278826
Fvb1	3070503	3070552	0.240895669
Fvb1	3070553	3070602	0.314685315
Fvb1	3070603	3070652	0.308508159
Fvb1	3070653	3070702	0.343246592
Fvb1	3070803	3070852	0.291836735
