seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb1	1	50000	50000	*	1039	26135	0.0397551176583126	CHG
Fvb1	50001	100000	50000	*	3581	29118	0.122982347688715	CHG
Fvb1	100001	150000	50000	*	274	34507	0.00794041788622598	CHG
Fvb1	150001	200000	50000	*	1563	26668	0.0586095695215239	CHG
Fvb1	200001	250000	50000	*	712	29946	0.0237761303679957	CHG
Fvb1	250001	300000	50000	*	2663	29294	0.0909059875742473	CHG
Fvb1	300001	350000	50000	*	356	33825	0.0105247597930525	CHG
Fvb1	350001	400000	50000	*	1042	32627	0.0319367395102216	CHG
Fvb1	400001	450000	50000	*	807	30649	0.0263303859832295	CHG
Fvb1	450001	500000	50000	*	1507	28161	0.0535137246546643	CHG
Fvb1	500001	550000	50000	*	562	21086	0.0266527553827184	CHG
Fvb1	550001	600000	50000	*	462	28714	0.0160897123354461	CHG
Fvb1	600001	650000	50000	*	242	23767	0.0101821853830942	CHG
Fvb1	650001	700000	50000	*	241	11989	0.0201017599466177	CHG
Fvb1	700001	750000	50000	*	1248	20421	0.0611135595710298	CHG
Fvb1	750001	800000	50000	*	1692	22916	0.0738348751963693	CHG
Fvb1	800001	850000	50000	*	1251	25139	0.0497633159632444	CHG
Fvb1	850001	900000	50000	*	816	14404	0.0566509302971397	CHG
Fvb1	900001	950000	50000	*	154	29482	0.0052235262193881	CHG
Fvb1	950001	1000000	50000	*	1289	26968	0.0477973894986651	CHG
Fvb1	1000001	1050000	50000	*	467	24605	0.0189798821377769	CHG
Fvb1	1050001	1100000	50000	*	265	22520	0.0117673179396092	CHG
Fvb1	1100001	1150000	50000	*	947	24251	0.0390499360851099	CHG
Fvb1	1150001	1200000	50000	*	996	28516	0.034927759854117	CHG
Fvb1	1200001	1250000	50000	*	268	9250	0.028972972972973	CHG
Fvb1	1250001	1300000	50000	*	718	1026	0.699805068226121	CHG
Fvb1	1300001	1350000	50000	*	331	9338	0.0354465624330692	CHG
Fvb1	1350001	1400000	50000	*	396	23808	0.016633064516129	CHG
Fvb1	1400001	1450000	50000	*	1158	27235	0.0425188176978153	CHG
Fvb1	1450001	1500000	50000	*	684	34367	0.0199028137457445	CHG
Fvb1	1500001	1550000	50000	*	338	22012	0.0153552607668544	CHG
Fvb1	1550001	1600000	50000	*	809	28510	0.0283760084180989	CHG
Fvb1	1600001	1650000	50000	*	652	21444	0.0304047752285021	CHG
Fvb1	1650001	1700000	50000	*	3689	25385	0.145322040575143	CHG
Fvb1	1700001	1750000	50000	*	979	24332	0.0402350813743219	CHG
Fvb1	1750001	1800000	50000	*	228	25536	0.00892857142857143	CHG
Fvb1	1800001	1850000	50000	*	350	28322	0.0123578843302027	CHG
Fvb1	1850001	1900000	50000	*	983	30772	0.0319446249837515	CHG
Fvb1	1900001	1950000	50000	*	590	29981	0.01967913011574	CHG
Fvb1	1950001	2000000	50000	*	766	27724	0.0276294906939836	CHG
Fvb1	2000001	2050000	50000	*	381	24362	0.0156391100894836	CHG
Fvb1	2050001	2100000	50000	*	798	25490	0.0313063946645743	CHG
Fvb1	2100001	2150000	50000	*	448	27252	0.0164391604285924	CHG
Fvb1	2150001	2200000	50000	*	326	28486	0.0114442182124552	CHG
Fvb1	2200001	2250000	50000	*	865	32561	0.0265655231718928	CHG
Fvb1	2250001	2300000	50000	*	433	20294	0.0213363555730758	CHG
Fvb1	2300001	2350000	50000	*	706	31425	0.0224661893396977	CHG
Fvb1	2350001	2400000	50000	*	914	25423	0.0359516972819887	CHG
Fvb1	2400001	2450000	50000	*	470	15289	0.0307410556609327	CHG
Fvb1	2450001	2500000	50000	*	869	22463	0.0386858389351378	CHG
Fvb1	2500001	2550000	50000	*	907	28066	0.0323166821064633	CHG
Fvb1	2550001	2600000	50000	*	409	9559	0.0427869023956481	CHG
Fvb1	2600001	2650000	50000	*	368	13254	0.0277652029575977	CHG
Fvb1	2650001	2700000	50000	*	496	25405	0.0195237158039756	CHG
Fvb1	2700001	2750000	50000	*	442	32198	0.013727560718057	CHG
Fvb1	2750001	2800000	50000	*	276	26042	0.0105982643422164	CHG
