seqnames	start	end	methdiff
Fvb1	18403	18502	0.241187384
Fvb1	20703	20802	-0.3125
Fvb1	109503	109602	-0.26091954
Fvb1	401003	401102	0.203215097
Fvb1	439003	439102	0.326923077
Fvb1	463803	463902	-0.261503928
Fvb1	466303	466402	-0.226611227
Fvb1	633403	633502	0.230616661
Fvb1	1035303	1035402	0.383642248
Fvb1	1035403	1035502	0.284055728
Fvb1	1085503	1085602	0.263157895
Fvb1	1171903	1172002	0.206367347
Fvb1	1207703	1207802	-0.281030445
Fvb1	1408203	1408302	0.244567803
Fvb1	1444903	1445002	0.232300038
Fvb1	1503303	1503402	0.252573932
Fvb1	1509503	1509602	0.216825397
Fvb1	1509603	1509702	0.425863991
Fvb1	1647203	1647302	-0.202265137
Fvb1	1707403	1707502	0.342105263
Fvb1	1791403	1791502	0.21359447
Fvb1	1891603	1891702	0.253036437
Fvb1	1904003	1904102	-0.562553926
Fvb1	1917603	1917702	0.275721364
Fvb1	1938503	1938602	0.329684211
Fvb1	1938603	1938702	0.223392884
Fvb1	2092803	2092902	0.292962357
Fvb1	2234903	2235002	0.290780142
Fvb1	2236003	2236102	-0.291965567
Fvb1	2275303	2275402	0.317851959
Fvb1	2385603	2385702	0.230099502
Fvb1	2392403	2392502	0.24563253
Fvb1	2608503	2608602	-0.329406329
Fvb1	2691003	2691102	0.286411411
Fvb1	2709803	2709902	0.350931677
Fvb1	2732503	2732602	0.215501238
Fvb1	2803503	2803602	0.266398159
Fvb1	2805803	2805902	0.453846154
Fvb1	2806003	2806102	0.272727273
Fvb1	2806103	2806202	0.201675776
Fvb1	2869903	2870002	0.30995671
Fvb1	2957603	2957702	-0.221014493
Fvb1	3027503	3027602	0.214117647
Fvb1	3103103	3103202	-0.232062056
Fvb1	3248203	3248302	0.253815407
Fvb1	3307003	3307102	0.3
Fvb1	3357203	3357302	0.221917808
Fvb1	3414103	3414202	0.28855472
Fvb1	3468103	3468202	0.271440064
Fvb1	3468203	3468302	0.206659013
Fvb1	3468503	3468602	0.306574781
Fvb1	3496703	3496802	-0.226111111
Fvb1	3505103	3505202	-0.271296296
Fvb1	3507003	3507102	-0.528011204
Fvb1	3530603	3530702	0.27878985
Fvb1	3816903	3817002	0.306522941
Fvb1	3830603	3830702	0.425
Fvb1	3848603	3848702	0.316781443
Fvb1	3870903	3871002	0.310979768
Fvb1	3875603	3875702	-0.432820513
Fvb1	3927603	3927702	0.281288805
Fvb1	4070603	4070702	-0.241351351
Fvb1	4380603	4380702	0.202521008
Fvb1	4699803	4699902	0.283390411
Fvb1	4724703	4724802	0.285714286
Fvb1	4872903	4873002	0.295190713
Fvb1	5031903	5032002	-0.302325581
Fvb1	5363903	5364002	0.335672515
Fvb1	5528703	5528802	0.275466197
Fvb1	5616603	5616702	-0.207058824
Fvb1	5717603	5717702	-0.248084291
Fvb1	5735203	5735302	0.271497585
Fvb1	5765503	5765602	0.332307692
Fvb1	5798503	5798602	0.280707196
Fvb1	5948903	5949002	0.433841219
Fvb1	5975403	5975502	0.220889749
Fvb1	6054203	6054302	-0.279918864
Fvb1	6229703	6229802	0.303809524
Fvb1	6562403	6562502	0.204301075
Fvb1	6601903	6602002	0.414278178
Fvb1	6650603	6650702	0.45
Fvb1	6890503	6890602	0.251960086
Fvb1	7042003	7042102	-0.202222222
Fvb1	7070003	7070102	0.260185185
Fvb1	7341703	7341802	-0.38
Fvb1	7362403	7362502	0.404357298
Fvb1	7431903	7432002	-0.267857143
Fvb1	7601703	7601802	0.364912281
Fvb1	7844003	7844102	0.241642442
Fvb1	7958503	7958602	0.371052632
Fvb1	8003803	8003902	0.252761044
Fvb1	8140903	8141002	-0.221428571
Fvb1	8361503	8361602	0.200129955
Fvb1	8468003	8468102	-0.236425339
Fvb1	8490803	8490902	0.361904762
Fvb1	9000903	9001002	0.354648303
Fvb1	9001003	9001102	0.217054264
Fvb1	9007503	9007602	0.24176661
Fvb1	9109803	9109902	0.323345259
Fvb1	9109903	9110002	-0.328571429
Fvb1	9224903	9225002	0.258171604
Fvb1	9225003	9225102	0.408074195
Fvb1	9293703	9293802	0.536324786
Fvb1	9294603	9294702	0.413525499
Fvb1	9300503	9300602	0.247245565
Fvb1	9300603	9300702	0.371794872
Fvb1	9443903	9444002	0.219872219
Fvb1	9494203	9494302	-0.211111111
Fvb1	9593603	9593702	0.204545455
Fvb1	9812303	9812402	0.280822969
Fvb1	9814503	9814602	0.317251462
Fvb1	9834803	9834902	0.217741935
Fvb1	9922103	9922202	-0.217391304
Fvb1	10026603	10026702	0.380878352
Fvb1	10071803	10071902	-0.221840659
Fvb1	10110103	10110202	0.213916892
Fvb1	10145303	10145402	-0.38415493
Fvb1	10172903	10173002	0.231060606
Fvb1	10188703	10188802	-0.362393162
Fvb1	10389003	10389102	0.385714286
Fvb1	10411603	10411702	-0.251322751
Fvb1	10513103	10513202	0.213256956
Fvb1	10612103	10612202	0.215811966
Fvb1	10844203	10844302	0.228693458
Fvb1	10844403	10844502	0.339726027
Fvb1	10926303	10926402	0.332089552
Fvb1	10965103	10965202	0.236885246
Fvb1	11000103	11000202	-0.29253366
Fvb1	11082103	11082202	-0.430976431
Fvb1	11082203	11082302	-0.398373984
Fvb1	11133803	11133902	0.233293979
Fvb1	11134103	11134202	0.251557163
Fvb1	11247403	11247502	0.322222222
Fvb1	11255203	11255302	0.340089316
Fvb1	11429703	11429802	0.229511867
Fvb1	11524703	11524802	-0.347926267
Fvb1	11559003	11559102	0.224016563
Fvb1	11662903	11663002	0.209521011
Fvb1	11861103	11861202	0.244061303
Fvb1	11899803	11899902	-0.251937984
Fvb1	11929603	11929702	0.324509804
Fvb1	11987103	11987202	0.233200707
Fvb1	12058803	12058902	0.341463415
Fvb1	12059003	12059102	0.295849802
Fvb1	12059603	12059702	-0.249817979
Fvb1	12093403	12093502	0.276190476
Fvb1	12108903	12109002	0.436551724
Fvb1	12284703	12284802	0.336013986
Fvb1	12293403	12293502	-0.214285714
Fvb1	12307203	12307302	0.252244898
Fvb1	12380503	12380602	0.230695318
Fvb1	12501703	12501802	0.350446429
Fvb1	12519003	12519102	0.299455535
Fvb1	12579803	12579902	-0.245171462
Fvb1	12582303	12582402	0.257694314
Fvb1	12601403	12601502	0.304347826
Fvb1	12631703	12631802	0.240044095
Fvb1	12632303	12632402	0.408060245
Fvb1	12632403	12632502	0.478512397
Fvb1	12632503	12632602	0.316137566
Fvb1	12684803	12684902	-0.452363091
Fvb1	12915103	12915202	-0.412878788
Fvb1	13184703	13184802	-0.316176471
Fvb1	13189203	13189302	0.41804747
Fvb1	13189303	13189402	0.215033253
Fvb1	13202503	13202602	0.663043478
Fvb1	13223803	13223902	0.387937333
Fvb1	13253903	13254002	0.428571429
Fvb1	13324603	13324702	0.202880944
Fvb1	13378703	13378802	0.388123249
Fvb1	13378803	13378902	0.474789916
Fvb1	13447803	13447902	0.212765957
Fvb1	13770903	13771002	0.209044908
Fvb1	13864103	13864202	-0.35
Fvb1	13895803	13895902	0.282407407
Fvb1	13895903	13896002	0.483415435
Fvb1	13963603	13963702	0.219178082
Fvb1	14043603	14043702	0.364979848
Fvb1	14102303	14102402	-0.483660131
Fvb1	14440103	14440202	0.327129859
Fvb1	14768603	14768702	-0.268964189
Fvb1	14989003	14989102	0.312316099
Fvb1	14989103	14989202	0.215846308
Fvb1	14997103	14997202	0.20462544
Fvb1	15177903	15178002	0.295014663
Fvb1	15259903	15260002	0.311882252
Fvb1	15269303	15269402	0.336526181
Fvb1	15311903	15312002	-0.331054131
Fvb1	15460303	15460402	0.270833333
Fvb1	15526003	15526102	0.342721519
Fvb1	15620103	15620202	-0.218971631
Fvb1	15628903	15629002	0.300821018
Fvb1	15641503	15641602	0.211009174
Fvb1	15671903	15672002	0.215757576
Fvb1	15873403	15873502	-0.28125
Fvb1	15942603	15942702	0.259363673
Fvb1	16086703	16086802	0.224358974
Fvb1	16188803	16188902	0.260691071
Fvb1	16242403	16242502	0.269927827
Fvb1	16361203	16361302	0.317171717
Fvb1	16439703	16439802	0.236962269
Fvb1	16513503	16513602	0.368817204
Fvb1	16580303	16580402	-0.237762238
Fvb1	16597103	16597202	-0.207070707
Fvb1	16685903	16686002	0.2
Fvb1	16950103	16950202	-0.302841303
Fvb1	17143103	17143202	0.517788725
Fvb1	17216203	17216302	0.227884615
