,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
1,Fvb1,1,50000,50000,*,11650,27946,0.100524085763311,CG,AL_FL
2,Fvb1,50001,100000,50000,*,8028,27720,0.014441733668511,CG,AL_FL
3,Fvb1,100001,150000,50000,*,7183,33965,0.0300842377436655,CG,AL_FL
4,Fvb1,150001,200000,50000,*,9280,36657,0.0586282388886482,CG,AL_FL
5,Fvb1,200001,250000,50000,*,8666,35606,0.0743285182839456,CG,AL_FL
6,Fvb1,250001,300000,50000,*,19768,34974,0.0599659885714254,CG,AL_FL
7,Fvb1,300001,350000,50000,*,8453,28941,0.0345427376339109,CG,AL_FL
8,Fvb1,350001,400000,50000,*,9772,42074,0.0531951859226089,CG,AL_FL
9,Fvb1,400001,450000,50000,*,9655,28160,0.104896831079662,CG,AL_FL
10,Fvb1,450001,500000,50000,*,9297,23319,0.075356871627653,CG,AL_FL
11,Fvb1,500001,550000,50000,*,5612,23509,0.0525578554062196,CG,AL_FL
12,Fvb1,550001,600000,50000,*,8667,30720,0.036225208591641,CG,AL_FL
13,Fvb1,600001,650000,50000,*,5820,19234,-0.0282582294050054,CG,AL_FL
14,Fvb1,650001,700000,50000,*,2722,14486,0.0676144681024097,CG,AL_FL
15,Fvb1,700001,750000,50000,*,15855,41213,0.163601488589661,CG,AL_FL
16,Fvb1,750001,800000,50000,*,23887,39507,0.19435121823096,CG,AL_FL
17,Fvb1,800001,850000,50000,*,16514,30186,0.189862290699123,CG,AL_FL
18,Fvb1,850001,900000,50000,*,7285,33498,-0.0706502565815802,CG,AL_FL
19,Fvb1,900001,950000,50000,*,7299,31779,0.0369466795152549,CG,AL_FL
20,Fvb1,950001,1000000,50000,*,6877,28446,0.023075125959065,CG,AL_FL
21,Fvb1,1000001,1050000,50000,*,6518,37663,0.0201363813165974,CG,AL_FL
22,Fvb1,1050001,1100000,50000,*,6492,28716,-0.0016715419974927,CG,AL_FL
23,Fvb1,1100001,1150000,50000,*,5384,17387,0.0908335690908909,CG,AL_FL
