seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tss	score	phase
contig_10	31304	31403	100	*	8	75	0.106666666666667	90	267	0.337078651685393	17	CG	1	0.0002105297497259	gain	NA	NA	NA	NA	NA
contig_10	31404	31503	100	*	18	251	0.0717131474103586	197	722	0.272853185595568	18	CG	1	4.39517400413438e-10	gain	NA	NA	NA	NA	NA
contig_12	21401	21500	100	*	9	219	0.0410958904109589	97	393	0.246819338422392	19	CG	1	1.17981283907628e-09	gain	NA	NA	NA	NA	NA
contig_17	22606	22705	100	*	1	36	0.0277777777777778	12	41	0.292682926829268	7	CG	1	0.00196707925371404	gain	NA	NA	NA	NA	NA
contig_17	28206	28305	100	*	23	88	0.261363636363636	59	126	0.468253968253968	6	CG	1	0.00218960700123726	gain	NA	NA	NA	NA	NA
contig_20	4502	4601	100	*	53	630	0.0841269841269841	482	1472	0.327445652173913	18	CG	1	5.36096467365614e-30	gain	NA	NA	NA	NA	NA
contig_20	4602	4701	100	*	16	103	0.155339805825243	253	426	0.593896713615023	18	CG	1	2.62710502891968e-14	gain	NA	NA	NA	NA	NA
contig_20	4702	4801	100	*	37	208	0.177884615384615	419	845	0.49585798816568	18	CG	1	2.32517601300639e-15	gain	NA	NA	NA	NA	NA
contig_20	4802	4901	100	*	13	95	0.136842105263158	159	449	0.354120267260579	16	CG	1	0.000105556518036586	gain	NA	NA	NA	NA	NA
contig_20	4902	5001	100	*	44	305	0.144262295081967	339	776	0.436855670103093	20	CG	1	3.35601966215959e-18	gain	NA	NA	NA	NA	NA
contig_20	5002	5101	100	*	69	381	0.181102362204724	393	979	0.401430030643514	18	CG	1	2.03922222940527e-13	gain	NA	NA	NA	NA	NA
contig_22	12402	12501	100	*	13	125	0.104	123	272	0.452205882352941	18	CG	1	1.38874920839178e-10	gain	NA	NA	NA	NA	NA
contig_22	12502	12601	100	*	31	103	0.300970873786408	148	248	0.596774193548387	16	CG	1	3.01039948396193e-06	gain	NA	NA	NA	NA	NA
contig_22	20502	20601	100	*	46	268	0.171641791044776	169	452	0.373893805309735	18	CG	1	8.53044819835095e-08	gain	NA	NA	NA	NA	NA
contig_22	20602	20701	100	*	47	372	0.126344086021505	291	743	0.391655450874832	18	CG	1	2.59500058240484e-18	gain	NA	NA	NA	NA	NA
contig_22	20702	20801	100	*	25	223	0.112107623318386	199	489	0.406952965235174	22	CG	1	6.37273272116247e-14	gain	NA	NA	NA	NA	NA
contig_9	9803	9902	100	*	42	273	0.153846153846154	180	482	0.37344398340249	18	CG	1	1.91588367442888e-09	gain	NA	NA	NA	NA	NA
