seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	21726	29990	0.724441480493498	CG
Fvb3	50001	100000	50000	*	7963	30260	0.263152676801058	CG
Fvb3	100001	150000	50000	*	7578	27855	0.27205169628433	CG
Fvb3	150001	200000	50000	*	9232	30299	0.304696524637777	CG
Fvb3	200001	250000	50000	*	5329	39878	0.13363257936707	CG
Fvb3	250001	300000	50000	*	7742	26484	0.292327442984443	CG
Fvb3	300001	350000	50000	*	8491	31616	0.268566548582996	CG
Fvb3	350001	400000	50000	*	9782	35886	0.272585409351836	CG
Fvb3	400001	450000	50000	*	4111	33263	0.123590776538496	CG
Fvb3	450001	500000	50000	*	10697	44912	0.238176879230495	CG
Fvb3	500001	550000	50000	*	8996	39512	0.227677667544037	CG
Fvb3	550001	600000	50000	*	13857	38661	0.358423217195623	CG
Fvb3	600001	650000	50000	*	19861	36730	0.540729648788456	CG
Fvb3	650001	700000	50000	*	18164	51589	0.352090561941499	CG
Fvb3	700001	750000	50000	*	10486	29361	0.357140424372467	CG
Fvb3	750001	800000	50000	*	8556	22594	0.378684606532708	CG
Fvb3	800001	850000	50000	*	21074	33537	0.628380594567194	CG
Fvb3	850001	900000	50000	*	5374	40709	0.13201012061215	CG
Fvb3	900001	950000	50000	*	6642	23643	0.280928816140084	CG
Fvb3	950001	1000000	50000	*	4289	36442	0.117693869710773	CG
Fvb3	1000001	1050000	50000	*	10770	23818	0.452179024267361	CG
Fvb3	1050001	1100000	50000	*	5636	31027	0.181648241853869	CG
Fvb3	1100001	1150000	50000	*	4046	19029	0.212622838824951	CG
Fvb3	1150001	1200000	50000	*	13551	33901	0.399722722043598	CG
Fvb3	1200001	1250000	50000	*	9204	32509	0.283121597096189	CG
Fvb3	1250001	1300000	50000	*	7935	33847	0.23443732088516	CG
Fvb3	1300001	1350000	50000	*	11987	39751	0.301552162209756	CG
Fvb3	1350001	1400000	50000	*	3474	29320	0.118485675306958	CG
Fvb3	1400001	1450000	50000	*	4725	24151	0.195644072709205	CG
Fvb3	1450001	1500000	50000	*	2138	23928	0.0893513874958208	CG
Fvb3	1500001	1550000	50000	*	7426	15551	0.477525561057167	CG
