seqnames	start	end	methdiff
Fvb1	55803	55902	0.307692308
Fvb1	745303	745402	-0.374935799
Fvb1	746003	746102	-0.278581267
Fvb1	760403	760502	-0.337068161
Fvb1	1162003	1162102	0.235272989
Fvb1	1958903	1959002	0.344266891
Fvb1	2092803	2092902	0.21040724
Fvb1	2126303	2126402	0.251953424
Fvb1	2245603	2245702	0.325757576
Fvb1	2432103	2432202	0.277640845
Fvb1	2645803	2645902	0.257575758
Fvb1	3008203	3008302	0.401711277
Fvb1	3590803	3590902	-0.303703704
Fvb1	3870903	3871002	0.26659857
Fvb1	3871103	3871202	0.258629071
Fvb1	4494203	4494302	0.4002849
Fvb1	4495203	4495302	0.360215054
Fvb1	4501303	4501402	0.249822317
Fvb1	4504403	4504502	0.354545455
Fvb1	4504503	4504602	0.481065919
Fvb1	4685903	4686002	0.333333333
Fvb1	4697203	4697302	0.226391407
Fvb1	4975303	4975402	0.282352941
Fvb1	5215003	5215102	0.212232416
Fvb1	5246303	5246402	0.280446123
Fvb1	5273103	5273202	-0.300593765
Fvb1	5363903	5364002	0.303038524
Fvb1	5521803	5521902	-0.257440476
Fvb1	6311003	6311102	0.316666667
Fvb1	6316803	6316902	0.311943426
Fvb1	6383903	6384002	0.266875981
Fvb1	7273503	7273602	0.230473752
Fvb1	7367003	7367102	0.381168831
Fvb1	7433803	7433902	-0.405405405
Fvb1	7464103	7464202	0.214285714
Fvb1	7487803	7487902	0.282070803
Fvb1	7728803	7728902	0.265312701
Fvb1	7954403	7954502	-0.222222222
Fvb1	8140903	8141002	-0.335421888
Fvb1	8355903	8356002	0.260204082
Fvb1	8464503	8464602	0.245098039
Fvb1	8490803	8490902	0.316118936
Fvb1	8492703	8492802	-0.211111111
Fvb1	8580003	8580102	-0.419607843
Fvb1	8580103	8580202	-0.237802854
Fvb1	8781903	8782002	0.302695418
Fvb1	8883103	8883202	0.281094527
Fvb1	9134703	9134802	0.20316237
Fvb1	9389603	9389702	-0.368107984
Fvb1	9437803	9437902	0.262626263
Fvb1	9531203	9531302	0.318442623
Fvb1	9574303	9574402	0.419413919
Fvb1	9743503	9743602	0.252682589
Fvb1	9791603	9791702	0.329720854
Fvb1	10026503	10026602	0.230179028
Fvb1	10472803	10472902	-0.207729008
Fvb1	10475003	10475102	0.271608242
Fvb1	10622603	10622702	-0.243589744
Fvb1	10628903	10629002	0.270119863
Fvb1	10940703	10940802	-0.434848485
Fvb1	11204003	11204102	0.338383838
Fvb1	11359703	11359802	0.222575517
Fvb1	11396503	11396602	-0.225115359
Fvb1	11622403	11622502	-0.395605775
Fvb1	11622503	11622602	-0.268108595
Fvb1	11886003	11886102	0.288223813
Fvb1	12285003	12285102	0.222793296
Fvb1	12306903	12307002	0.229505842
Fvb1	12422503	12422602	0.271978022
Fvb1	12631603	12631702	0.255952381
Fvb1	12670703	12670802	0.262290341
Fvb1	12927903	12928002	-0.509661836
Fvb1	13239903	13240002	-0.212737727
Fvb1	13245603	13245702	0.327131783
Fvb1	13263703	13263802	0.33245614
Fvb1	13307303	13307402	0.525839793
Fvb1	13378703	13378802	0.248663102
Fvb1	13378803	13378902	0.41902687
Fvb1	13390503	13390602	-0.324237089
Fvb1	13411003	13411102	0.272695773
Fvb1	13434703	13434802	0.289621318
Fvb1	13437903	13438002	-0.347465887
Fvb1	13895903	13896002	0.355447606
Fvb1	13963503	13963602	0.253450656
Fvb1	13974203	13974302	0.356299213
Fvb1	13982003	13982102	0.369582348
Fvb1	14080803	14080902	0.330401319
Fvb1	14205703	14205802	-0.247877984
Fvb1	14377703	14377802	0.210909091
Fvb1	14482303	14482402	0.223577236
Fvb1	14740603	14740702	0.425
Fvb1	14741103	14741202	0.364522417
Fvb1	14836003	14836102	-0.305050505
Fvb1	14978403	14978502	0.374741201
Fvb1	15071403	15071502	0.244710532
Fvb1	15140403	15140502	0.275928442
Fvb1	15246803	15246902	0.20473339
Fvb1	15259903	15260002	0.286670918
Fvb1	15281603	15281702	0.209230769
Fvb1	15407203	15407302	-0.233284024
Fvb1	15424903	15425002	0.266580693
Fvb1	15509203	15509302	-0.269980507
Fvb1	15655103	15655202	-0.283267457
Fvb1	15662203	15662302	0.361360544
Fvb1	15860203	15860302	0.336956522
Fvb1	16180303	16180402	-0.266491228
Fvb1	16346303	16346402	0.209340659
