seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
contig_10	13604	13653	50	*	218	343	0.635568513119534	12	75	0.16	18	CHH	-1	2.71984736832947e-12	loss
contig_10	13954	14003	50	*	93	247	0.376518218623482	0	58	0	14	CHH	-1	1.76043853345221e-07	loss
contig_10	31254	31303	50	*	68	136	0.5	24	101	0.237623762376238	20	CHH	-1	9.34373021181254e-05	loss
contig_10	31404	31453	50	*	573	1374	0.417030567685589	81	721	0.112343966712899	18	CHH	-1	3.89430890412664e-43	loss
contig_10	31454	31503	50	*	403	1223	0.329517579721995	66	837	0.0788530465949821	17	CHH	-1	2.24875120651683e-37	loss
contig_10	31504	31553	50	*	518	1447	0.35798203178991	57	930	0.0612903225806452	20	CHH	-1	1.5025453870448e-57	loss
contig_10	31554	31603	50	*	289	1176	0.245748299319728	18	730	0.0246575342465753	15	CHH	-1	2.74847701942556e-34	loss
contig_12	7651	7700	50	*	91	214	0.425233644859813	12	84	0.142857142857143	16	CHH	-1	1.38878176806445e-05	loss
contig_12	7701	7750	50	*	105	215	0.488372093023256	4	82	0.0487804878048781	20	CHH	-1	5.96393250733657e-11	loss
contig_12	8651	8700	50	*	85	282	0.301418439716312	0	83	0	16	CHH	-1	1.0428411628839e-07	loss
contig_12	8751	8800	50	*	124	252	0.492063492063492	26	106	0.245283018867925	16	CHH	-1	4.21246210669289e-05	loss
contig_12	21251	21300	50	*	124	352	0.352272727272727	5	142	0.0352112676056338	22	CHH	-1	1.34773327887604e-11	loss
contig_12	21301	21350	50	*	178	356	0.5	26	162	0.160493827160494	16	CHH	-1	8.39107251662287e-12	loss
contig_12	31651	31700	50	*	148	309	0.478964401294498	9	106	0.0849056603773585	19	CHH	-1	1.75431712930788e-11	loss
contig_12	31701	31750	50	*	171	275	0.621818181818182	4	72	0.0555555555555556	18	CHH	-1	1.14717353964124e-15	loss
contig_12	31801	31850	50	*	195	425	0.458823529411765	14	116	0.120689655172414	20	CHH	-1	6.96171131540588e-10	loss
contig_12	31901	31950	50	*	107	256	0.41796875	14	114	0.12280701754386	20	CHH	-1	1.91618634005435e-07	loss
contig_16	44651	44700	50	*	50	140	0.357142857142857	7	82	0.0853658536585366	18	CHH	-1	2.35870897826956e-05	loss
contig_16	44701	44750	50	*	110	313	0.351437699680511	8	209	0.0382775119617225	20	CHH	-1	4.38568999678437e-15	loss
contig_16	44751	44800	50	*	50	200	0.25	1	154	0.00649350649350649	19	CHH	-1	1.75574317417009e-09	loss
contig_17	6856	6905	50	*	5	53	0.0943396226415094	16	49	0.326530612244898	12	CHH	1	0.00408385137971949	gain
contig_17	19606	19655	50	*	21	92	0.228260869565217	1	61	0.0163934426229508	10	CHH	-1	0.000411710995542839	loss
contig_17	20156	20205	50	*	18	106	0.169811320754717	45	112	0.401785714285714	13	CHH	1	0.000280182816073334	gain
contig_17	21356	21405	50	*	99	220	0.45	54	263	0.20532319391635	14	CHH	-1	8.33200742429475e-08	loss
contig_17	21656	21705	50	*	78	128	0.609375	50	125	0.4	9	CHH	-1	0.00115128402650382	loss
contig_17	21706	21755	50	*	95	140	0.678571428571429	52	118	0.440677966101695	12	CHH	-1	0.000223649094413553	loss
contig_17	22806	22855	50	*	49	107	0.457943925233645	31	121	0.256198347107438	11	CHH	-1	0.0017722275224194	loss
contig_17	34206	34255	50	*	126	329	0.382978723404255	38	236	0.161016949152542	18	CHH	-1	9.36985911219449e-08	loss
