seqnames	start	end	methdiff
Fvb1	20653	20702	0.219191271
Fvb1	73053	73102	-0.278330845
Fvb1	162103	162152	0.37403436
Fvb1	184403	184452	0.215384615
Fvb1	184453	184502	0.201472471
Fvb1	205653	205702	0.235641026
Fvb1	215153	215202	0.364492381
Fvb1	268353	268402	-0.245823156
Fvb1	268803	268852	-0.238429523
Fvb1	269053	269102	-0.203363914
Fvb1	269103	269152	-0.224121232
Fvb1	269203	269252	-0.223106396
Fvb1	269253	269302	-0.203667923
Fvb1	270453	270502	-0.294431122
Fvb1	270503	270552	-0.234314791
Fvb1	272753	272802	-0.201673031
Fvb1	275353	275402	-0.325183054
Fvb1	276203	276252	0.22697672
Fvb1	276353	276402	-0.225095785
Fvb1	277603	277652	0.333806818
Fvb1	277903	277952	0.320429408
Fvb1	323553	323602	-0.244534413
Fvb1	323803	323852	-0.296808511
Fvb1	343703	343752	0.407526306
Fvb1	381303	381352	0.285174227
Fvb1	448653	448702	-0.27275339
Fvb1	470953	471002	0.328431373
Fvb1	476953	477002	0.205498164
Fvb1	489603	489652	-0.218406593
Fvb1	540953	541002	0.222073429
Fvb1	570353	570402	-0.2
Fvb1	592203	592252	-0.203539823
Fvb1	710753	710802	0.203671329
Fvb1	743703	743752	0.244496086
Fvb1	743803	743852	0.22552224
Fvb1	743853	743902	0.240943267
Fvb1	744353	744402	-0.202190258
Fvb1	744603	744652	-0.245024876
Fvb1	744653	744702	-0.300416639
Fvb1	745703	745752	-0.220141844
Fvb1	745853	745902	-0.218543573
Fvb1	745903	745952	-0.307467794
Fvb1	745953	746002	-0.246301337
Fvb1	746303	746352	-0.249042483
Fvb1	746453	746502	-0.231228913
Fvb1	748453	748502	-0.215292949
Fvb1	760053	760102	0.211190933
Fvb1	760653	760702	-0.264902998
Fvb1	760703	760752	-0.204400529
Fvb1	762853	762902	0.242979604
Fvb1	763553	763602	-0.224595142
Fvb1	765253	765302	-0.211544992
Fvb1	772553	772602	0.285243742
Fvb1	806353	806402	-0.211587825
Fvb1	806403	806452	-0.374193548
