seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	gene	score	phase
contig_10	404	503	100	*	4482	11245	0.398577145397955	672	3922	0.171341152473228	23	CG	-1	1.56346884826397e-144	loss	NA	NA	NA	NA	NA
contig_10	504	603	100	*	4018	13169	0.305110486749184	468	4509	0.103792415169661	24	CG	-1	5.11342046223389e-155	loss	NA	NA	NA	NA	NA
contig_10	604	703	100	*	2201	4831	0.455599254812668	196	1315	0.149049429657795	22	CG	-1	6.28919360430859e-88	loss	NA	NA	NA	NA	NA
contig_10	704	803	100	*	446	1318	0.338391502276176	37	338	0.109467455621302	22	CG	-1	1.45436898377598e-14	loss	NA	NA	NA	NA	NA
contig_10	1804	1903	100	*	159	274	0.58029197080292	0	81	0	18	CG	-1	4.69657362652536e-18	loss	NA	NA	NA	NA	NA
contig_10	1904	2003	100	*	289	551	0.524500907441016	14	201	0.0696517412935323	18	CG	-1	6.06091017644172e-27	loss	NA	NA	NA	NA	NA
contig_10	2004	2103	100	*	147	471	0.312101910828025	15	171	0.087719298245614	18	CG	-1	2.04872233736053e-07	loss	NA	NA	NA	NA	NA
contig_10	4404	4503	100	*	238	287	0.829268292682927	84	145	0.579310344827586	11	CG	-1	4.71892577294986e-07	loss	NA	NA	NA	NA	NA
contig_10	13504	13603	100	*	140	349	0.401146131805158	17	104	0.163461538461538	18	CG	-1	5.99235028882234e-05	loss	NA	NA	NA	NA	NA
contig_10	13604	13703	100	*	208	486	0.42798353909465	26	162	0.160493827160494	18	CG	-1	2.85060281238172e-08	loss	NA	NA	NA	NA	NA
contig_10	29904	30003	100	*	348	565	0.615929203539823	51	208	0.245192307692308	24	CG	-1	9.13802838997831e-18	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30004	30103	100	*	170	473	0.359408033826638	13	161	0.0807453416149068	20	CG	-1	7.53699827904977e-10	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30204	30303	100	*	2461	4503	0.546524539196091	325	1131	0.28735632183908	22	CG	-1	5.02609927942533e-52	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30304	30403	100	*	1525	3551	0.429456491129259	148	822	0.180048661800487	20	CG	-1	1.77407731004916e-37	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30404	30503	100	*	704	1937	0.363448631905008	59	447	0.131991051454139	18	CG	-1	5.8611470226699e-19	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30604	30703	100	*	878	2173	0.404049700874367	76	493	0.154158215010142	18	CG	-1	3.57224094282706e-23	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	30704	30803	100	*	441	916	0.481441048034934	15	143	0.104895104895105	16	CG	-1	3.73988038214242e-15	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_10	31304	31403	100	*	295	1131	0.260831122900088	16	367	0.0435967302452316	17	CG	-1	7.09324880842437e-17	loss	EVM	SO:0000704	FvH4_c10g00010	1	NA
contig_12	8601	8700	100	*	109	267	0.408239700374532	11	73	0.150684931506849	18	CG	-1	0.000202831791838123	loss	NA	NA	NA	NA	NA
contig_12	8701	8800	100	*	256	440	0.581818181818182	22	123	0.178861788617886	18	CG	-1	2.37362825388499e-13	loss	NA	NA	NA	NA	NA
contig_20	4502	4601	100	*	94	317	0.296529968454259	2	135	0.0148148148148148	18	CG	-1	9.3690664316248e-10	loss	NA	NA	NA	NA	NA
contig_20	4602	4701	100	*	361	810	0.445679012345679	10	267	0.0374531835205993	18	CG	-1	1.56942240791956e-31	loss	NA	NA	NA	NA	NA
contig_20	4702	4801	100	*	184	580	0.317241379310345	11	163	0.0674846625766871	18	CG	-1	5.94183291472176e-09	loss	NA	NA	NA	NA	NA
contig_20	5002	5101	100	*	198	381	0.519685039370079	31	105	0.295238095238095	18	CG	-1	0.000203394277620893	loss	NA	NA	NA	NA	NA
contig_22	43402	43501	100	*	264	726	0.363636363636364	18	126	0.142857142857143	18	CG	-1	1.41326519925004e-05	loss	NA	NA	NA	NA	NA
contig_6	27306	27405	100	*	42	64	0.65625	30	33	0.909090909090909	4	CG	1	0.00698851457818838	gain	EVM	SO:0000704	FvH4_c6g00040	1	NA
contig_6	49006	49105	100	*	65	149	0.436241610738255	15	78	0.192307692307692	14	CG	-1	0.000684756088379454	loss	NA	NA	NA	NA	NA
contig_6	64506	64605	100	*	6	56	0.107142857142857	11	28	0.392857142857143	4	CG	1	0.00273839968166913	gain	NA	NA	NA	NA	NA
contig_7	23001	23100	100	*	830	891	0.931537598204265	253	350	0.722857142857143	12	CG	-1	7.15129015390702e-21	loss	NA	NA	NA	NA	NA
contig_7	23101	23200	100	*	329	341	0.964809384164223	85	114	0.745614035087719	6	CG	-1	8.34482559270419e-11	loss	NA	NA	NA	NA	NA
contig_7	24901	25000	100	*	389	435	0.894252873563218	83	142	0.584507042253521	18	CG	-1	1.07956817703043e-14	loss	NA	NA	NA	NA	NA
contig_7	39301	39400	100	*	162	482	0.336099585062241	3	145	0.0206896551724138	18	CG	-1	2.71022654514707e-12	loss	NA	NA	NA	NA	NA
contig_7	39401	39500	100	*	132	305	0.432786885245902	4	100	0.04	18	CG	-1	3.31246313534168e-11	loss	NA	NA	NA	NA	NA
contig_7	39501	39600	100	*	144	277	0.51985559566787	0	78	0	18	CG	-1	1.45436898377598e-14	loss	NA	NA	NA	NA	NA
contig_7	40101	40200	100	*	117	342	0.342105263157895	11	95	0.115789473684211	18	CG	-1	0.00011049603257593	loss	NA	NA	NA	NA	NA
