seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tes	score	phase
contig_10	3304	3403	100	*	204	225	0.906666666666667	55	80	0.6875	15	CHG	-1	2.26118435757537e-05	loss	NA	NA	NA	NA	NA
contig_10	3404	3503	100	*	104	161	0.645962732919255	49	119	0.411764705882353	10	CHG	-1	0.000188547205730277	loss	NA	NA	NA	NA	NA
contig_12	8101	8200	100	*	98	130	0.753846153846154	50	143	0.34965034965035	21	CHG	-1	3.57826611915525e-09	loss	NA	NA	NA	NA	NA
contig_12	20801	20900	100	*	91	128	0.7109375	52	123	0.422764227642276	24	CHG	-1	2.83424068094508e-05	loss	NA	NA	NA	NA	NA
contig_12	34401	34500	100	*	21	65	0.323076923076923	37	53	0.69811320754717	11	CHG	1	0.000140407828720285	gain	NA	NA	NA	NA	NA
contig_17	16506	16605	100	*	19	27	0.703703703703704	32	32	1	6	CHG	1	0.000940812755308017	gain	NA	NA	NA	NA	NA
contig_17	76306	76405	100	*	29	59	0.491525423728814	29	36	0.805555555555556	8	CHG	1	0.00233340657046089	gain	NA	NA	NA	NA	NA
contig_19	15905	16004	100	*	34	35	0.971428571428571	28	41	0.682926829268293	8	CHG	-1	0.00123622890523757	loss	NA	NA	NA	NA	NA
contig_20	4302	4401	100	*	221	337	0.655786350148368	67	181	0.370165745856354	22	CHG	-1	3.91553261207144e-08	loss	NA	NA	NA	NA	NA
contig_20	4402	4501	100	*	95	169	0.562130177514793	43	153	0.281045751633987	25	CHG	-1	6.52603174369624e-06	loss	NA	NA	NA	NA	NA
contig_22	12302	12401	100	*	65	171	0.380116959064327	86	146	0.589041095890411	25	CHG	1	0.000260405376330869	gain	NA	NA	NA	NA	NA
contig_22	29102	29201	100	*	62	64	0.96875	22	29	0.758620689655172	6	CHG	-1	0.00150700014585	loss	NA	NA	NA	NA	NA
contig_4	12702	12801	100	*	28	65	0.430769230769231	5	54	0.0925925925925926	8	CHG	-1	0.000127542813104344	loss	NA	NA	NA	NA	NA
contig_4	31102	31201	100	*	7	50	0.14	18	45	0.4	4	CHG	1	0.00405983528500796	gain	NA	NA	NA	NA	NA
contig_5	22404	22503	100	*	26	95	0.273684210526316	2	77	0.025974025974026	18	CHG	-1	5.88993770811759e-05	loss	NA	NA	NA	NA	NA
contig_7	20801	20900	100	*	20	27	0.740740740740741	7	24	0.291666666666667	5	CHG	-1	0.00135339483614012	loss	EVM	SO:0005836	FvH4_c7g00010	1	NA
contig_7	39801	39900	100	*	72	136	0.529411764705882	24	122	0.19672131147541	28	CHG	-1	1.15490676754285e-06	loss	NA	NA	NA	NA	NA
contig_7	39901	40000	100	*	87	170	0.511764705882353	31	131	0.236641221374046	26	CHG	-1	1.33596854977413e-05	loss	NA	NA	NA	NA	NA
contig_9	10103	10202	100	*	131	190	0.689473684210526	86	94	0.914893617021277	22	CHG	1	0.000100443356575258	gain	NA	NA	NA	NA	NA
