seqnames	start	end	methdiff
Fvb1	433803	433902	0.272727273
Fvb1	463703	463802	0.34940601
Fvb1	643103	643202	-0.353324641
Fvb1	703403	703502	-0.222355769
Fvb1	731903	732002	-0.255319149
Fvb1	1079803	1079902	-0.573333333
Fvb1	1200503	1200602	0.285714286
Fvb1	1200603	1200702	0.260964912
Fvb1	1509703	1509802	0.5
Fvb1	1779203	1779302	0.233631841
Fvb1	3039803	3039902	-0.469087635
Fvb1	3709603	3709702	0.535948922
Fvb1	3916703	3916802	-0.575268817
Fvb1	4511203	4511302	-0.433333333
Fvb1	4755803	4755902	-0.293028322
Fvb1	4966303	4966402	-0.357828534
Fvb1	5089503	5089602	-0.345238095
Fvb1	6884303	6884402	0.452498241
Fvb1	7348203	7348302	-0.358125
Fvb1	9320203	9320302	0.401190476
Fvb1	9638903	9639002	-0.234615385
Fvb1	10351603	10351702	-0.380701754
Fvb1	11405203	11405302	-0.442728443
Fvb1	11623203	11623302	0.200898876
Fvb1	12384303	12384402	0.258064516
Fvb1	12942803	12942902	0.414285714
Fvb1	13282303	13282402	-0.424418605
Fvb1	15560603	15560702	0.220829678
Fvb1	16726003	16726102	0.301530612
Fvb1	17832503	17832602	0.647058824
Fvb1	18296803	18296902	-0.470588235
Fvb1	19181003	19181102	0.212121212
Fvb1	19381603	19381702	0.4375
Fvb1	23723803	23723902	0.362934363
Fvb2	316901	317000	0.264957265
Fvb2	1049101	1049200	-0.217391304
Fvb2	1515401	1515500	-0.341275797
Fvb2	1771501	1771600	-0.298172757
Fvb2	1834501	1834600	-0.319444444
Fvb2	2427601	2427700	0.309393525
Fvb2	4860301	4860400	-0.20526849
Fvb2	6282301	6282400	-0.625874126
Fvb2	10532801	10532900	0.237362194
Fvb2	10532901	10533000	0.298184438
Fvb2	11094501	11094600	0.296296296
Fvb2	11917201	11917300	0.388746803
Fvb2	13743501	13743600	0.302938197
Fvb2	17404301	17404400	0.337951112
Fvb2	17404401	17404500	0.233252623
Fvb2	17404501	17404600	0.275862069
Fvb2	18203001	18203100	0.369047619
Fvb2	18203101	18203200	0.390967242
Fvb2	20880701	20880800	-0.219634747
Fvb2	22259601	22259700	-0.471980676
Fvb2	22466201	22466300	-0.452991453
Fvb2	22879301	22879400	-0.52173913
Fvb2	22985801	22985900	0.242723881
Fvb2	24619201	24619300	0.272476558
Fvb2	25394101	25394200	0.377777778
Fvb2	25572201	25572300	-0.55
Fvb2	25757001	25757100	0.315631494
Fvb2	25999001	25999100	-0.55
Fvb2	26769601	26769700	0.362962963
Fvb2	26971001	26971100	0.681034483
Fvb2	26975901	26976000	0.307692308
Fvb2	26991201	26991300	0.382370821
Fvb2	28493001	28493100	-0.323214286
Fvb2	29060501	29060600	0.490662139
Fvb3	110103	110202	0.320855615
Fvb3	452603	452702	0.352345416
Fvb3	566603	566702	0.348554033
Fvb3	1007603	1007702	-0.392834695
Fvb3	1180203	1180302	0.503759398
Fvb3	1703003	1703102	0.31826087
Fvb3	1703503	1703602	-0.293422025
Fvb3	1985103	1985202	-0.272727273
Fvb3	2706703	2706802	0.264150943
Fvb3	3955003	3955102	0.469101124
Fvb3	4940903	4941002	0.296964725
Fvb3	6551303	6551402	0.292491143
Fvb3	7754803	7754902	0.224675325
Fvb3	9838803	9838902	-0.377358491
Fvb3	9852703	9852802	-0.365286444
Fvb3	11711603	11711702	0.342857143
Fvb3	11727403	11727502	0.238687628
Fvb3	13228203	13228302	0.204819277
Fvb3	15154503	15154602	0.334474886
Fvb3	15987503	15987602	0.208708709
Fvb3	16382403	16382502	-0.329096045
Fvb3	17669803	17669902	0.416666667
Fvb3	18564303	18564402	0.270616771
Fvb3	20385103	20385202	-0.318604651
Fvb3	20944203	20944302	-0.453629032
Fvb3	21047603	21047702	0.254237288
Fvb3	21564803	21564902	-0.286101212
Fvb3	23459203	23459302	-0.286806248
Fvb3	23616103	23616202	-0.615581098
Fvb3	26647703	26647802	-0.317923456
Fvb3	28419603	28419702	0.238095238
Fvb3	28615303	28615402	-0.275058275
Fvb3	28891403	28891502	-0.258240059
Fvb3	29400303	29400402	0.470588235
Fvb3	30538903	30539002	0.426724138
Fvb3	30919203	30919302	0.279734915
Fvb3	31639403	31639502	-0.350176263
Fvb3	31782303	31782402	0.245057428
Fvb3	33282303	33282402	-0.294058553
Fvb3	34232703	34232802	0.5
Fvb3	34232803	34232902	0.556725146
Fvb3	36679503	36679602	-0.247712418
Fvb3	36692103	36692202	0.356824264
Fvb4	138903	139002	-0.207070707
Fvb4	996803	996902	-0.27173913
Fvb4	1045403	1045502	0.28245614
Fvb4	1622103	1622202	-0.401052632
Fvb4	6373303	6373402	-0.638888889
Fvb4	7027003	7027102	-0.391341991
Fvb4	7306203	7306302	0.590643275
Fvb4	7572603	7572702	0.202169421
Fvb4	7785203	7785302	-0.390950226
Fvb4	8001303	8001402	0.209795918
Fvb4	10450803	10450902	-0.25
Fvb4	11487503	11487602	-0.226890756
Fvb4	11795303	11795402	-0.229166667
Fvb4	11832903	11833002	0.324961948
