seqnames	start	end	methdiff
Fvb1	157603	157702	-0.206433154
Fvb1	267903	268002	-0.279694815
Fvb1	272803	272902	-0.221186035
Fvb1	273403	273502	-0.297297297
Fvb1	274403	274502	-0.293646694
Fvb1	274503	274602	-0.352105122
Fvb1	275003	275102	-0.25373494
Fvb1	275203	275302	-0.283072546
Fvb1	748903	749002	-0.245073892
Fvb1	756003	756102	-0.293333333
Fvb1	761303	761402	-0.358271865
Fvb1	1135503	1135602	-0.368321641
Fvb1	1162903	1163002	-0.360772358
Fvb1	1436403	1436502	-0.30075188
Fvb1	1652003	1652102	-0.45074224
Fvb1	1655403	1655502	-0.302564103
Fvb1	1689503	1689602	-0.249231557
Fvb1	2617503	2617602	0.239090909
Fvb1	3068903	3069002	-0.238314845
Fvb1	3085703	3085802	0.333444333
Fvb1	3360303	3360402	-0.238036935
Fvb1	3598203	3598302	-0.258346749
Fvb1	3601703	3601802	-0.275706215
Fvb1	4128103	4128202	-0.215262831
Fvb1	4431703	4431802	0.224838232
Fvb1	4540103	4540202	-0.2373111
Fvb1	4829403	4829502	-0.42
Fvb1	4859703	4859802	-0.337037037
Fvb1	4977703	4977802	-0.210545723
Fvb1	5218203	5218302	-0.392454955
Fvb1	5219403	5219502	-0.432973806
Fvb1	5227103	5227202	-0.357752489
Fvb1	5253703	5253802	-0.222083413
Fvb1	5253903	5254002	-0.40960452
Fvb1	5262703	5262802	0.408333333
Fvb1	5273403	5273502	-0.281063123
Fvb1	5278203	5278302	-0.401360544
Fvb1	5278303	5278402	-0.379487179
Fvb1	5353803	5353902	-0.511538462
Fvb1	5376903	5377002	-0.285963383
Fvb1	5490203	5490302	0.297142857
Fvb1	5812303	5812402	-0.625
Fvb1	6036003	6036102	-0.30952381
Fvb1	7623903	7624002	-0.202423531
Fvb1	7624003	7624102	-0.245502646
Fvb1	8007503	8007602	0.286821705
Fvb1	8313503	8313602	0.250590002
Fvb1	8500503	8500602	-0.215401786
Fvb1	9097403	9097502	-0.228743961
Fvb1	9183503	9183602	-0.340291751
Fvb1	9183603	9183702	-0.564516129
