seqnames	start	end	methdiff
Fvb1	268103	268202	0.521008403
Fvb1	710503	710602	-0.450510204
Fvb1	1200603	1200702	0.248587571
Fvb1	1691703	1691802	0.296875
Fvb1	2588203	2588302	0.385775862
Fvb1	3055903	3056002	0.462962963
Fvb1	3066403	3066502	0.264354067
Fvb1	3066603	3066702	0.268743169
Fvb1	3068503	3068602	-0.227017544
Fvb1	3070403	3070502	0.331349206
Fvb1	3071903	3072002	0.304909561
Fvb1	3709503	3709602	0.246428571
Fvb1	3709603	3709702	0.363478616
Fvb1	3900403	3900502	-0.260711692
Fvb1	4128103	4128202	-0.209370988
Fvb1	4355003	4355102	0.431266846
Fvb1	5222703	5222802	0.496810207
Fvb1	5232503	5232602	0.45494186
Fvb1	5253303	5253402	0.356060606
Fvb1	5256303	5256402	0.403567447
Fvb1	5264603	5264702	0.261341975
Fvb1	5264703	5264802	0.34928127
Fvb1	5267203	5267302	0.302889577
Fvb1	5722003	5722102	-0.277907656
Fvb1	6721403	6721502	0.238828968
Fvb1	6785003	6785102	-0.235599078
Fvb1	6917003	6917102	0.256443299
Fvb1	7596103	7596202	0.210671769
Fvb1	7702703	7702802	0.217217484
Fvb1	7730403	7730502	0.51
Fvb1	8078703	8078802	-0.230799476
Fvb1	8511003	8511102	-0.270451551
Fvb1	11354903	11355002	-0.471786834
Fvb1	11423803	11423902	0.533333333
Fvb1	11446403	11446502	0.462962963
Fvb1	11463503	11463602	-0.237218045
Fvb1	11633103	11633202	-0.317088608
Fvb1	11674303	11674402	0.207894737
Fvb1	12138603	12138702	0.288084465
Fvb1	12284403	12284502	-0.294494721
Fvb1	12557103	12557202	0.309251559
Fvb1	12592803	12592902	-0.237774253
Fvb1	12669903	12670002	0.267723881
Fvb1	12779503	12779602	-0.240933642
Fvb1	13347003	13347102	0.240506329
Fvb1	13483003	13483102	0.472222222
Fvb1	13796003	13796102	0.246703297
Fvb1	14057903	14058002	0.297044335
Fvb1	14349103	14349202	0.312146166
Fvb1	14505903	14506002	0.244444444
Fvb1	14894903	14895002	-0.300452233
Fvb1	15064803	15064902	0.349099099
Fvb1	15445503	15445602	0.331103679
Fvb1	15487003	15487102	0.324074074
Fvb1	15682503	15682602	-0.426065163
Fvb1	16104103	16104202	0.205370844
Fvb1	16237803	16237902	0.204453441
Fvb1	16583103	16583202	0.336677815
Fvb1	17420703	17420802	0.257655428
Fvb1	17586803	17586902	0.526785714
Fvb1	17586903	17587002	0.234279919
Fvb1	17590103	17590202	0.280365566
Fvb1	18119203	18119302	-0.323188406
Fvb1	18149903	18150002	-0.317307692
Fvb1	18804803	18804902	-0.245
Fvb1	18937203	18937302	0.5
Fvb1	19181003	19181102	0.305787889
Fvb1	19604103	19604202	-0.244179894
Fvb1	19930303	19930402	0.394957983
Fvb1	19958203	19958302	-0.271765272
Fvb1	20351603	20351702	0.201294033
Fvb1	20438703	20438802	0.268476621
Fvb1	20682303	20682402	-0.265945946
Fvb1	20772203	20772302	0.321200511
Fvb1	20788603	20788702	0.285714286
Fvb1	21286503	21286602	-0.286282093
Fvb1	21313003	21313102	-0.24021164
Fvb1	21498403	21498502	0.284375
Fvb1	21590503	21590602	0.254498978
Fvb1	21646003	21646102	0.207540643
Fvb1	21654203	21654302	-0.324553702
Fvb1	21893003	21893102	0.29458042
Fvb1	21898103	21898202	-0.415282392
Fvb1	22136303	22136402	-0.302325581
Fvb1	22390303	22390402	-0.333980044
Fvb1	22482003	22482102	0.395918367
Fvb1	22493403	22493502	-0.276610644
Fvb1	22552303	22552402	0.285245902
Fvb1	22575703	22575802	-0.241731175
Fvb1	22679903	22680002	-0.238053715
Fvb1	22841003	22841102	0.466009852
Fvb1	22932403	22932502	-0.319257263
Fvb1	22946303	22946402	0.414166667
Fvb1	23100703	23100802	0.354700855
Fvb1	23334703	23334802	0.336461292
Fvb1	23335103	23335202	0.304030875
Fvb1	23399103	23399202	0.422653061
Fvb1	23496803	23496902	0.31547619
Fvb1	23532103	23532202	0.264655172
Fvb1	24148403	24148502	-0.361904762
Fvb2	190901	191000	-0.290260197
Fvb2	280601	280700	0.403174603
Fvb2	1112001	1112100	0.208011287
Fvb2	1608501	1608600	0.347845805
Fvb2	1713501	1713600	0.315233786
Fvb2	1943201	1943300	0.456410256
Fvb2	2614201	2614300	0.273373428
Fvb2	2902301	2902400	0.321428571
Fvb2	3759801	3759900	-0.511904762
Fvb2	3759901	3760000	-0.446153846
Fvb2	3875401	3875500	0.343137255
Fvb2	4444901	4445000	-0.418487395
Fvb2	4726501	4726600	0.286324786
Fvb2	5239701	5239800	0.230896226
Fvb2	5395101	5395200	0.302564103
Fvb2	6250301	6250400	0.231111111
Fvb2	6277501	6277600	0.529761905
Fvb2	6304301	6304400	-0.37950938
Fvb2	6478601	6478700	0.274782609
Fvb2	6586401	6586500	0.228723404
Fvb2	6929901	6930000	0.299786629
Fvb2	7284401	7284500	0.448412698
Fvb2	8198601	8198700	0.36
Fvb2	8543301	8543400	0.335386338
Fvb2	8995501	8995600	-0.431446541
Fvb2	10532901	10533000	0.334237935
Fvb2	10533001	10533100	0.222263418
Fvb2	10533801	10533900	0.30265748
Fvb2	10546701	10546800	-0.406395349
Fvb2	10603601	10603700	-0.230267127
Fvb2	11078101	11078200	-0.398373984
Fvb2	11459001	11459100	-0.35630965
Fvb2	12268701	12268800	0.260454002
