group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FK0H	Fvb1	1	50000	50000	*	3690	9982	0.369665397715889	CG
1	FK0H	Fvb1	50001	100000	50000	*	3292	10450	0.315023923444976	CG
1	FK0H	Fvb1	100001	150000	50000	*	2568	13712	0.187281213535589	CG
1	FK0H	Fvb1	150001	200000	50000	*	3242	13247	0.24473465690345	CG
1	FK0H	Fvb1	200001	250000	50000	*	2209	12030	0.183624272651704	CG
1	FK0H	Fvb1	250001	300000	50000	*	6757	12354	0.546948356807512	CG
1	FK0H	Fvb1	300001	350000	50000	*	2774	12297	0.225583475644466	CG
1	FK0H	Fvb1	350001	400000	50000	*	3009	14385	0.209176225234619	CG
1	FK0H	Fvb1	400001	450000	50000	*	3163	11005	0.287414811449341	CG
1	FK0H	Fvb1	450001	500000	50000	*	2959	8914	0.33194974197891	CG
1	FK0H	Fvb1	500001	550000	50000	*	2176	8959	0.242884250474383	CG
1	FK0H	Fvb1	550001	600000	50000	*	2650	11029	0.240275636957113	CG
1	FK0H	Fvb1	600001	650000	50000	*	2495	12144	0.205451251646904	CG
1	FK0H	Fvb1	650001	700000	50000	*	1727	9290	0.185898815931109	CG
1	FK0H	Fvb1	700001	750000	50000	*	5492	15589	0.352299698505356	CG
1	FK0H	Fvb1	750001	800000	50000	*	8176	13964	0.585505585792037	CG
1	FK0H	Fvb1	800001	850000	50000	*	5072	11268	0.450124245651402	CG
1	FK0H	Fvb1	850001	900000	50000	*	1622	12214	0.132798428033404	CG
1	FK0H	Fvb1	900001	950000	50000	*	2730	12862	0.212253148810449	CG
1	FK0H	Fvb1	950001	1000000	50000	*	2700	11926	0.226396109340936	CG
1	FK0H	Fvb1	1000001	1050000	50000	*	2533	15510	0.163313990973565	CG
1	FK0H	Fvb1	1050001	1100000	50000	*	2226	11714	0.190029025098173	CG
1	FK0H	Fvb1	1100001	1150000	50000	*	1376	5909	0.232865121001862	CG
1	FK0H	Fvb1	1150001	1200000	50000	*	3028	9929	0.304965253298419	CG
1	FK0H	Fvb1	1200001	1250000	50000	*	3025	13839	0.218585157887131	CG
1	FK0H	Fvb1	1250001	1300000	50000	*	3840	9641	0.398298931646095	CG
1	FK0H	Fvb1	1300001	1350000	50000	*	1779	10031	0.17735021433556	CG
1	FK0H	Fvb1	1350001	1400000	50000	*	4018	10595	0.379235488437942	CG
1	FK0H	Fvb1	1400001	1450000	50000	*	2730	11802	0.231316725978648	CG
1	FK0H	Fvb1	1450001	1500000	50000	*	2796	13210	0.211657834973505	CG
1	FK0H	Fvb1	1500001	1550000	50000	*	3110	12478	0.249238660041673	CG
1	FK0H	Fvb1	1550001	1600000	50000	*	3037	13217	0.229779829008096	CG
1	FK0H	Fvb1	1600001	1650000	50000	*	2688	14031	0.191575796450716	CG
1	FK0H	Fvb1	1650001	1700000	50000	*	2345	11904	0.196992607526882	CG
1	FK0H	Fvb1	1700001	1750000	50000	*	2999	12381	0.242225991438494	CG
1	FK0H	Fvb1	1750001	1800000	50000	*	1959	11181	0.17520794204454	CG
1	FK0H	Fvb1	1800001	1850000	50000	*	2340	10729	0.21810047534719	CG
1	FK0H	Fvb1	1850001	1900000	50000	*	2523	13856	0.182087182448037	CG
1	FK0H	Fvb1	1900001	1950000	50000	*	2361	13365	0.17665544332211	CG
1	FK0H	Fvb1	1950001	2000000	50000	*	1786	11100	0.160900900900901	CG
1	FK0H	Fvb1	2000001	2050000	50000	*	2457	10126	0.242642701955362	CG
1	FK0H	Fvb1	2050001	2100000	50000	*	2188	11612	0.188425766448502	CG
1	FK0H	Fvb1	2100001	2150000	50000	*	2941	11100	0.264954954954955	CG
1	FK0H	Fvb1	2150001	2200000	50000	*	1475	15944	0.0925112895132965	CG
1	FK0H	Fvb1	2200001	2250000	50000	*	3356	10553	0.318013834928456	CG
1	FK0H	Fvb1	2250001	2300000	50000	*	3682	9031	0.407706787731148	CG
1	FK0H	Fvb1	2300001	2350000	50000	*	3749	12499	0.299943995519642	CG
1	FK0H	Fvb1	2350001	2400000	50000	*	1568	9200	0.170434782608696	CG
1	FK0H	Fvb1	2400001	2450000	50000	*	1637	6951	0.235505682635592	CG
1	FK0H	Fvb1	2450001	2500000	50000	*	4808	10619	0.452773330822111	CG
1	FK0H	Fvb1	2500001	2550000	50000	*	2126	14998	0.141752233631151	CG
1	FK0H	Fvb1	2550001	2600000	50000	*	4472	9237	0.484139872252896	CG
1	FK0H	Fvb1	2600001	2650000	50000	*	3531	9618	0.367124142233313	CG
1	FK0H	Fvb1	2650001	2700000	50000	*	2246	14523	0.154651242856159	CG
1	FK0H	Fvb1	2700001	2750000	50000	*	3017	13557	0.222541860293575	CG
1	FK0H	Fvb1	2750001	2800000	50000	*	1997	12217	0.163460751411967	CG
1	FK0H	Fvb1	2800001	2850000	50000	*	2699	10779	0.250394285184154	CG
1	FK0H	Fvb1	2850001	2900000	50000	*	1853	11256	0.164623312011372	CG
1	FK0H	Fvb1	2900001	2950000	50000	*	1066	14954	0.0712852748428514	CG
1	FK0H	Fvb1	2950001	3000000	50000	*	2838	8198	0.346181995608685	CG
1	FK0H	Fvb1	3000001	3050000	50000	*	3161	14812	0.213408047529031	CG
1	FK0H	Fvb1	3050001	3100000	50000	*	10234	14278	0.716767054209273	CG
1	FK0H	Fvb1	3100001	3150000	50000	*	3742	10809	0.346192987325377	CG
1	FK0H	Fvb1	3150001	3200000	50000	*	2263	8916	0.253813369223867	CG
1	FK0H	Fvb1	3200001	3250000	50000	*	2744	13007	0.210963327439071	CG
1	FK0H	Fvb1	3250001	3300000	50000	*	2234	10129	0.220554842531346	CG
1	FK0H	Fvb1	3300001	3350000	50000	*	2645	14327	0.184616458435123	CG
1	FK0H	Fvb1	3350001	3400000	50000	*	3575	11968	0.298713235294118	CG
1	FK0H	Fvb1	3400001	3450000	50000	*	2175	11673	0.186327422256489	CG
1	FK0H	Fvb1	3450001	3500000	50000	*	3157	10313	0.306118491224668	CG
1	FK0H	Fvb1	3500001	3550000	50000	*	2259	13115	0.172245520396493	CG
1	FK0H	Fvb1	3550001	3600000	50000	*	6355	12338	0.515075376884422	CG
1	FK0H	Fvb1	3600001	3650000	50000	*	4724	10987	0.42996268317102	CG
1	FK0H	Fvb1	3650001	3700000	50000	*	2452	10873	0.2255127379748	CG
1	FK0H	Fvb1	3700001	3750000	50000	*	1832	6744	0.271648873072361	CG
1	FK0H	Fvb1	3750001	3800000	50000	*	2052	11553	0.177616203583485	CG
1	FK0H	Fvb1	3800001	3850000	50000	*	2248	12041	0.186695457187941	CG
1	FK0H	Fvb1	3850001	3900000	50000	*	2417	5337	0.452876147648492	CG
1	FK0H	Fvb1	3900001	3950000	50000	*	3317	13070	0.253787299158378	CG
1	FK0H	Fvb1	3950001	4000000	50000	*	2134	8964	0.238063364569389	CG
1	FK0H	Fvb1	4000001	4050000	50000	*	2532	10857	0.233213594915723	CG
1	FK0H	Fvb1	4050001	4100000	50000	*	2291	10458	0.219066743163129	CG
1	FK0H	Fvb1	4100001	4150000	50000	*	3735	10441	0.357724355904607	CG
1	FK0H	Fvb1	4150001	4200000	50000	*	2729	10067	0.271083738949041	CG
1	FK0H	Fvb1	4200001	4250000	50000	*	3351	9467	0.353966409633464	CG
1	FK0H	Fvb1	4250001	4300000	50000	*	3180	12404	0.256368913253789	CG
1	FK0H	Fvb1	4300001	4350000	50000	*	3168	12575	0.251928429423459	CG
1	FK0H	Fvb1	4350001	4400000	50000	*	2054	10503	0.195563172426926	CG
1	FK0H	Fvb1	4400001	4450000	50000	*	1609	7782	0.206759187869442	CG
1	FK0H	Fvb1	4450001	4500000	50000	*	3143	9814	0.320256776034237	CG
1	FK0H	Fvb1	4500001	4550000	50000	*	2383	13021	0.183012057445665	CG
1	FK0H	Fvb1	4550001	4600000	50000	*	2751	10912	0.252107771260997	CG
1	FK0H	Fvb1	4600001	4650000	50000	*	4336	11893	0.364584209198688	CG
1	FK0H	Fvb1	4650001	4700000	50000	*	1353	12040	0.112375415282392	CG
1	FK0H	Fvb1	4700001	4750000	50000	*	3353	14773	0.226968117511677	CG
1	FK0H	Fvb1	4750001	4800000	50000	*	2556	14494	0.176348834000276	CG
1	FK0H	Fvb1	4800001	4850000	50000	*	4009	8565	0.468067717454758	CG
1	FK0H	Fvb1	4850001	4900000	50000	*	2270	12504	0.181541906589891	CG
1	FK0H	Fvb1	4900001	4950000	50000	*	3158	15064	0.209638874137015	CG
1	FK0H	Fvb1	4950001	5000000	50000	*	3353	13019	0.25754666257009	CG
1	FK0H	Fvb1	5000001	5050000	50000	*	1826	5673	0.321875550854927	CG
1	FK0H	Fvb1	5050001	5100000	50000	*	2271	16105	0.141012108040981	CG
1	FK0H	Fvb1	5100001	5150000	50000	*	3748	12477	0.300392722609602	CG
1	FK0H	Fvb1	5150001	5200000	50000	*	3450	13182	0.261720527992717	CG
1	FK0H	Fvb1	5200001	5250000	50000	*	11318	12538	0.902695804753549	CG
1	FK0H	Fvb1	5250001	5300000	50000	*	11204	13764	0.81400755594304	CG
1	FK0H	Fvb1	5300001	5350000	50000	*	3213	10180	0.315618860510806	CG
1	FK0H	Fvb1	5350001	5400000	50000	*	4794	10825	0.442863741339492	CG
1	FK0H	Fvb1	5400001	5450000	50000	*	3058	15314	0.199686561316442	CG
1	FK0H	Fvb1	5450001	5500000	50000	*	3331	10873	0.306355191759404	CG
1	FK0H	Fvb1	5500001	5550000	50000	*	3103	10436	0.29733614411652	CG
1	FK0H	Fvb1	5550001	5600000	50000	*	2583	10515	0.24564907275321	CG
1	FK0H	Fvb1	5600001	5650000	50000	*	3494	11472	0.304567642956764	CG
1	FK0H	Fvb1	5650001	5700000	50000	*	4859	14285	0.340147007350368	CG
1	FK0H	Fvb1	5700001	5750000	50000	*	3417	11586	0.294924909373382	CG
1	FK0H	Fvb1	5750001	5800000	50000	*	2592	11986	0.216252294343401	CG
1	FK0H	Fvb1	5800001	5850000	50000	*	1374	8645	0.158935801041064	CG
1	FK0H	Fvb1	5850001	5900000	50000	*	1636	11049	0.148067698434247	CG
1	FK0H	Fvb1	5900001	5950000	50000	*	2272	10248	0.221701795472287	CG
1	FK0H	Fvb1	5950001	6000000	50000	*	2937	11618	0.252797383370632	CG
1	FK0H	Fvb1	6000001	6050000	50000	*	2544	11575	0.219784017278618	CG
1	FK0H	Fvb1	6050001	6100000	50000	*	3066	11391	0.269159863049776	CG
1	FK0H	Fvb1	6100001	6150000	50000	*	2514	12077	0.208164279208413	CG
1	FK0H	Fvb1	6150001	6200000	50000	*	2856	10181	0.280522541989981	CG
1	FK0H	Fvb1	6200001	6250000	50000	*	3746	10682	0.350683392623104	CG
1	FK0H	Fvb1	6250001	6300000	50000	*	2333	11140	0.209425493716338	CG
1	FK0H	Fvb1	6300001	6350000	50000	*	2033	9229	0.220283887745151	CG
1	FK0H	Fvb1	6350001	6400000	50000	*	3007	9194	0.32706112682184	CG
1	FK0H	Fvb1	6400001	6450000	50000	*	1453	14592	0.0995751096491228	CG
1	FK0H	Fvb1	6450001	6500000	50000	*	3803	11703	0.324959412116551	CG
1	FK0H	Fvb1	6500001	6550000	50000	*	2004	8886	0.225523295070898	CG
1	FK0H	Fvb1	6550001	6600000	50000	*	2895	11976	0.241733466933868	CG
1	FK0H	Fvb1	6600001	6650000	50000	*	2223	10719	0.207388748950462	CG
1	FK0H	Fvb1	6650001	6700000	50000	*	2916	13662	0.213438735177866	CG
1	FK0H	Fvb1	6700001	6750000	50000	*	2332	11346	0.205534990304953	CG
1	FK0H	Fvb1	6750001	6800000	50000	*	3843	11672	0.32924948594928	CG
1	FK0H	Fvb1	6800001	6850000	50000	*	2207	16789	0.131455119423432	CG
1	FK0H	Fvb1	6850001	6900000	50000	*	3071	13079	0.234803884088998	CG
1	FK0H	Fvb1	6900001	6950000	50000	*	2422	10114	0.239470041526597	CG
1	FK0H	Fvb1	6950001	7000000	50000	*	3254	11807	0.27559922080122	CG
1	FK0H	Fvb1	7000001	7050000	50000	*	1782	10461	0.170347003154574	CG
1	FK0H	Fvb1	7050001	7100000	50000	*	1916	9468	0.202365863962822	CG
1	FK0H	Fvb1	7100001	7150000	50000	*	2989	12900	0.231705426356589	CG
1	FK0H	Fvb1	7150001	7200000	50000	*	1932	14153	0.136508160813962	CG
1	FK0H	Fvb1	7200001	7250000	50000	*	2250	11909	0.18893273994458	CG
1	FK0H	Fvb1	7250001	7300000	50000	*	2671	14097	0.189472937504434	CG
1	FK0H	Fvb1	7300001	7350000	50000	*	3331	13596	0.244998528979112	CG
1	FK0H	Fvb1	7350001	7400000	50000	*	2571	9923	0.259095031744432	CG
1	FK0H	Fvb1	7400001	7450000	50000	*	2626	12141	0.216291903467589	CG
1	FK0H	Fvb1	7450001	7500000	50000	*	5008	19859	0.252177853869782	CG
1	FK0H	Fvb1	7500001	7550000	50000	*	2600	12019	0.216324153423746	CG
1	FK0H	Fvb1	7550001	7600000	50000	*	1882	14407	0.130630943291456	CG
1	FK0H	Fvb1	7600001	7650000	50000	*	2468	13857	0.178104928916793	CG
1	FK0H	Fvb1	7650001	7700000	50000	*	2477	12259	0.20205563259646	CG
1	FK0H	Fvb1	7700001	7750000	50000	*	3017	14295	0.211052815669815	CG
1	FK0H	Fvb1	7750001	7800000	50000	*	5271	16519	0.319087111810642	CG
1	FK0H	Fvb1	7800001	7850000	50000	*	2859	12525	0.228263473053892	CG
1	FK0H	Fvb1	7850001	7900000	50000	*	1180	6453	0.182860684952735	CG
1	FK0H	Fvb1	7900001	7950000	50000	*	1977	4763	0.415074532857443	CG
1	FK0H	Fvb1	7950001	8000000	50000	*	2698	8835	0.305376344086021	CG
1	FK0H	Fvb1	8000001	8050000	50000	*	1828	13489	0.135517829342427	CG
1	FK0H	Fvb1	8050001	8100000	50000	*	3648	11539	0.316145246555161	CG
1	FK0H	Fvb1	8100001	8150000	50000	*	3776	10132	0.372680615870509	CG
1	FK0H	Fvb1	8150001	8200000	50000	*	3593	13220	0.27178517397882	CG
1	FK0H	Fvb1	8200001	8250000	50000	*	2950	8517	0.346366091346718	CG
1	FK0H	Fvb1	8250001	8300000	50000	*	3314	12985	0.255217558721602	CG
1	FK0H	Fvb1	8300001	8350000	50000	*	3276	6657	0.49211356466877	CG
1	FK0H	Fvb1	8350001	8400000	50000	*	5239	9177	0.570883731066797	CG
1	FK0H	Fvb1	8400001	8450000	50000	*	3186	14845	0.214617716402829	CG
1	FK0H	Fvb1	8450001	8500000	50000	*	5105	11212	0.455315733143061	CG
1	FK0H	Fvb1	8500001	8550000	50000	*	3305	9873	0.334751342043958	CG
1	FK0H	Fvb1	8550001	8600000	50000	*	3656	8259	0.442668603947209	CG
1	FK0H	Fvb1	8600001	8650000	50000	*	2534	9378	0.27020686713585	CG
1	FK0H	Fvb1	8650001	8700000	50000	*	2432	12683	0.191752739888039	CG
1	FK0H	Fvb1	8700001	8750000	50000	*	2982	9977	0.298887441114564	CG
1	FK0H	Fvb1	8750001	8800000	50000	*	1772	7187	0.246556282176151	CG
1	FK0H	Fvb1	8800001	8850000	50000	*	1532	12126	0.126340095662213	CG
1	FK0H	Fvb1	8850001	8900000	50000	*	4553	10384	0.438463020030817	CG
1	FK0H	Fvb1	8900001	8950000	50000	*	3148	11123	0.28301717162636	CG
1	FK0H	Fvb1	8950001	9000000	50000	*	3909	10413	0.375396139441083	CG
1	FK0H	Fvb1	9000001	9050000	50000	*	2708	14317	0.189145770762031	CG
1	FK0H	Fvb1	9050001	9100000	50000	*	2620	11429	0.229241403447371	CG
1	FK0H	Fvb1	9100001	9150000	50000	*	4320	14186	0.304525588608487	CG
1	FK0H	Fvb1	9150001	9200000	50000	*	2318	6293	0.368345781026537	CG
1	FK0H	Fvb1	9200001	9250000	50000	*	1046	13405	0.0780305856023872	CG
1	FK0H	Fvb1	9250001	9300000	50000	*	3029	10733	0.282213733345756	CG
1	FK0H	Fvb1	9300001	9350000	50000	*	5563	7952	0.699572434607646	CG
1	FK0H	Fvb1	9350001	9400000	50000	*	8004	14754	0.542496949979667	CG
1	FK0H	Fvb1	9400001	9450000	50000	*	2769	12575	0.220198807157058	CG
1	FK0H	Fvb1	9450001	9500000	50000	*	3338	11834	0.282068615852628	CG
1	FK0H	Fvb1	9500001	9550000	50000	*	4329	11989	0.361080990908333	CG
1	FK0H	Fvb1	9550001	9600000	50000	*	3871	7284	0.531438769906645	CG
1	FK0H	Fvb1	9600001	9650000	50000	*	5783	10897	0.530696521978526	CG
1	FK0H	Fvb1	9650001	9700000	50000	*	1871	8436	0.221787577050735	CG
1	FK0H	Fvb1	9700001	9750000	50000	*	2804	11771	0.238212556282389	CG
1	FK0H	Fvb1	9750001	9800000	50000	*	1604	11026	0.145474333393796	CG
1	FK0H	Fvb1	9800001	9850000	50000	*	1830	13832	0.132301908617698	CG
1	FK0H	Fvb1	9850001	9900000	50000	*	3465	10117	0.342492833844025	CG
1	FK0H	Fvb1	9900001	9950000	50000	*	2609	13813	0.188880040541519	CG
1	FK0H	Fvb1	9950001	10000000	50000	*	2472	8133	0.303946883068978	CG
1	FK0H	Fvb1	10000001	10050000	50000	*	3770	9758	0.386349661815946	CG
1	FK0H	Fvb1	10050001	10100000	50000	*	3262	10770	0.302878365831012	CG
1	FK0H	Fvb1	10100001	10150000	50000	*	1194	12545	0.095177361498605	CG
1	FK0H	Fvb1	10150001	10200000	50000	*	4220	18087	0.233316746834743	CG
1	FK0H	Fvb1	10200001	10250000	50000	*	2242	11493	0.195075263203689	CG
1	FK0H	Fvb1	10250001	10300000	50000	*	4951	11478	0.431346924551316	CG
1	FK0H	Fvb1	10300001	10350000	50000	*	2982	10140	0.294082840236686	CG
1	FK0H	Fvb1	10350001	10400000	50000	*	4022	10435	0.385433636799233	CG
1	FK0H	Fvb1	10400001	10450000	50000	*	3394	14902	0.227754663803516	CG
1	FK0H	Fvb1	10450001	10500000	50000	*	6831	14451	0.472700851152169	CG
1	FK0H	Fvb1	10500001	10550000	50000	*	3316	9283	0.357212108154691	CG
1	FK0H	Fvb1	10550001	10600000	50000	*	2302	13519	0.170278866780087	CG
1	FK0H	Fvb1	10600001	10650000	50000	*	2378	10970	0.216773017319964	CG
1	FK0H	Fvb1	10650001	10700000	50000	*	3143	14497	0.216803476581362	CG
1	FK0H	Fvb1	10700001	10750000	50000	*	3691	11882	0.310637939740784	CG
1	FK0H	Fvb1	10750001	10800000	50000	*	4880	8558	0.570226688478616	CG
1	FK0H	Fvb1	10800001	10850000	50000	*	3085	12197	0.252931048618513	CG
1	FK0H	Fvb1	10850001	10900000	50000	*	4372	8530	0.512543962485346	CG
