seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tss	score	phase
contig_10	4404	4503	100	*	1	22	0.0454545454545455	26	77	0.337662337662338	4	CHG	1	0.00664659846813848	gain	NA	NA	NA	NA	NA
contig_12	21401	21500	100	*	24	295	0.0813559322033898	166	560	0.296428571428571	25	CHG	1	2.5663140306896e-11	gain	NA	NA	NA	NA	NA
contig_17	8606	8705	100	*	45	62	0.725806451612903	55	111	0.495495495495495	8	CHG	-1	0.00327361891819968	loss	NA	NA	NA	NA	NA
contig_17	40106	40205	100	*	5	61	0.0819672131147541	17	56	0.303571428571429	6	CHG	1	0.00219018142886145	gain	NA	NA	NA	NA	NA
contig_17	41806	41905	100	*	0	33	0	13	45	0.288888888888889	4	CHG	1	0.000732849599122657	gain	EVM	SO:0001952	FvH4_c17g00080	1	NA
contig_17	45106	45205	100	*	64	78	0.82051282051282	70	119	0.588235294117647	8	CHG	-1	0.000656743811703928	loss	NA	NA	NA	NA	NA
contig_17	51706	51805	100	*	7	93	0.0752688172043011	54	169	0.319526627218935	10	CHG	1	4.40069234407904e-05	gain	NA	NA	NA	NA	NA
contig_17	57406	57505	100	*	50	113	0.442477876106195	50	244	0.204918032786885	17	CHG	-1	2.50896904246235e-05	loss	NA	NA	NA	NA	NA
contig_17	68006	68105	100	*	20	68	0.294117647058824	6	87	0.0689655172413793	8	CHG	-1	0.000330534206693016	loss	NA	NA	NA	NA	NA
contig_2	21203	21302	100	*	25	75	0.333333333333333	84	150	0.56	12	CHG	1	0.00134874609346145	gain	NA	NA	NA	NA	NA
contig_2	44703	44802	100	*	8	94	0.0851063829787234	27	94	0.287234042553192	7	CHG	1	0.000457955652001491	gain	NA	NA	NA	NA	NA
contig_2	47703	47802	100	*	61	116	0.525862068965517	33	133	0.24812030075188	14	CHG	-1	3.92642981727502e-05	loss	EVM	SO:0001952	FvH4_c2g00053	1	NA
contig_20	4502	4601	100	*	88	977	0.09007164790174	752	2354	0.31945624468989	25	CHG	1	1.14262444563799e-41	gain	NA	NA	NA	NA	NA
contig_20	4602	4701	100	*	33	187	0.176470588235294	430	815	0.52760736196319	27	CHG	1	2.82567403490016e-16	gain	NA	NA	NA	NA	NA
contig_20	4702	4801	100	*	84	336	0.25	653	1427	0.45760336370007	25	CHG	1	1.38731287427434e-10	gain	NA	NA	NA	NA	NA
contig_20	4902	5001	100	*	102	471	0.21656050955414	579	1240	0.466935483870968	24	CHG	1	3.27279558379196e-19	gain	NA	NA	NA	NA	NA
contig_21	24504	24603	100	*	12	56	0.214285714285714	41	83	0.493975903614458	10	CHG	1	0.000875242149084675	gain	NA	NA	NA	NA	NA
contig_21	48704	48803	100	*	1	41	0.024390243902439	20	66	0.303030303030303	8	CHG	1	0.000496124611185255	gain	NA	NA	NA	NA	NA
contig_22	12402	12501	100	*	25	154	0.162337662337662	184	412	0.446601941747573	24	CHG	1	1.32011555326258e-08	gain	NA	NA	NA	NA	NA
contig_22	20602	20701	100	*	76	469	0.162046908315565	399	1008	0.395833333333333	23	CHG	1	2.89005824882636e-17	gain	NA	NA	NA	NA	NA
contig_22	20702	20801	100	*	21	167	0.125748502994012	221	484	0.456611570247934	20	CHG	1	1.07186500301138e-12	gain	NA	NA	NA	NA	NA
contig_4	11002	11101	100	*	18	31	0.580645161290323	14	55	0.254545454545455	4	CHG	-1	0.00267304246305175	loss	NA	NA	NA	NA	NA
contig_4	14102	14201	100	*	48	101	0.475247524752475	31	129	0.24031007751938	8	CHG	-1	0.000330534206693016	loss	NA	NA	NA	NA	NA
contig_7	37001	37100	100	*	11	60	0.183333333333333	54	114	0.473684210526316	6	CHG	1	0.000305539271618665	gain	NA	NA	NA	NA	NA
contig_9	20803	20902	100	*	27	134	0.201492537313433	82	175	0.468571428571429	23	CHG	1	1.08502464222982e-05	gain	NA	NA	NA	NA	NA
contig_9	21303	21402	100	*	227	1681	0.135038667459845	1196	3378	0.354055654233274	23	CHG	1	2.42746686512144e-57	gain	NA	NA	NA	NA	NA
contig_9	21403	21502	100	*	137	1243	0.110217216411907	842	2316	0.363557858376511	23	CHG	1	3.26569975289906e-56	gain	NA	NA	NA	NA	NA
contig_9	21503	21602	100	*	24	105	0.228571428571429	361	544	0.663602941176471	24	CHG	1	5.67548945589718e-15	gain	NA	NA	NA	NA	NA
contig_9	31903	32002	100	*	29	293	0.0989761092150171	308	876	0.351598173515982	24	CHG	1	7.3499019422015e-15	gain	NA	NA	NA	NA	NA
contig_9	42503	42602	100	*	296	1642	0.18026796589525	1233	3203	0.384951607867624	27	CHG	1	1.76067124479796e-45	gain	NA	NA	NA	NA	NA
contig_9	43203	43302	100	*	55	354	0.155367231638418	416	860	0.483720930232558	21	CHG	1	1.57534154388799e-24	gain	NA	NA	NA	NA	NA
contig_9	43303	43402	100	*	270	1524	0.177165354330709	1323	3017	0.438515081206497	23	CHG	1	3.53030448347015e-65	gain	NA	NA	NA	NA	NA
Fvb1	268103	268202	100	*	6	28	0.214285714285714	25	34	0.735294117647059	6	CHG	1	0.000132107986535135	gain	EVM	SO:0001952	FvH4_1g00492	1	NA
Fvb1	710503	710602	100	*	27	40	0.675	11	49	0.224489795918367	10	CHG	-1	8.27400586934035e-05	loss	NA	NA	NA	NA	NA
Fvb1	1200603	1200702	100	*	0	96	0	44	177	0.248587570621469	16	CHG	1	1.62998466145275e-06	gain	NA	NA	NA	NA	NA
Fvb1	1691703	1691802	100	*	21	32	0.65625	61	64	0.953125	7	CHG	1	0.000229856058234778	gain	EVM	SO:0001952	FvH4_1g02993	1	NA
Fvb1	2588203	2588302	100	*	16	29	0.551724137931034	30	32	0.9375	7	CHG	1	0.000538167882109845	gain	NA	NA	NA	NA	NA
Fvb1	3055903	3056002	100	*	16	32	0.5	52	54	0.962962962962963	8	CHG	1	4.43161747539867e-06	gain	NA	NA	NA	NA	NA
Fvb1	3066403	3066502	100	*	65	110	0.590909090909091	130	152	0.855263157894737	13	CHG	1	1.23607367592184e-05	gain	NA	NA	NA	NA	NA
Fvb1	3066603	3066702	100	*	32	61	0.524590163934426	119	150	0.793333333333333	11	CHG	1	0.000212466344795289	gain	NA	NA	NA	NA	NA
Fvb1	3068503	3068602	100	*	69	75	0.92	79	114	0.692982456140351	13	CHG	-1	0.000340058007754044	loss	NA	NA	NA	NA	NA
Fvb1	3070403	3070502	100	*	26	48	0.541666666666667	110	126	0.873015873015873	9	CHG	1	1.91878560902552e-05	gain	NA	NA	NA	NA	NA
