seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
contig_10	404	453	50	*	44	96	0.458333333333333	146	208	0.701923076923077	21	CHH	1	0.00013435435930135	gain
contig_10	1904	1953	50	*	46	115	0.4	225	355	0.633802816901408	19	CHH	1	4.47435168114476e-05	gain
contig_10	12704	12753	50	*	85	100	0.85	153	243	0.62962962962963	20	CHH	-1	0.000159406891386317	loss
contig_10	13054	13103	50	*	4	96	0.0416666666666667	70	239	0.292887029288703	18	CHH	1	4.97887947126376e-06	gain
contig_10	30154	30203	50	*	42	99	0.424242424242424	76	117	0.64957264957265	19	CHH	1	0.00130530426483747	gain
contig_12	33001	33050	50	*	7	94	0.074468085106383	100	213	0.469483568075117	20	CHH	1	2.07572262077542e-09	gain
contig_16	19251	19300	50	*	35	155	0.225806451612903	215	408	0.526960784313726	21	CHH	1	8.74236262665401e-09	gain
contig_16	19301	19350	50	*	22	114	0.192982456140351	167	359	0.465181058495822	15	CHH	1	2.5819999575038e-06	gain
contig_17	71206	71255	50	*	17	59	0.288135593220339	5	77	0.0649350649350649	10	CHH	-1	0.000763981339991843	loss
contig_17	71456	71505	50	*	0	31	0	15	50	0.3	7	CHH	1	0.00109445955858216	gain
contig_17	71506	71555	50	*	5	57	0.087719298245614	23	68	0.338235294117647	13	CHH	1	0.00119713032130437	gain
contig_2	51153	51202	50	*	14	64	0.21875	0	74	0	15	CHH	-1	7.7886889503477e-05	loss
contig_20	4302	4351	50	*	23	249	0.0923694779116466	166	486	0.34156378600823	19	CHH	1	5.60889976442811e-11	gain
contig_20	4352	4401	50	*	15	103	0.145631067961165	68	137	0.496350364963504	16	CHH	1	3.58083302822266e-07	gain
contig_20	4402	4451	50	*	28	132	0.212121212121212	46	108	0.425925925925926	21	CHH	1	0.000634650525362994	gain
contig_21	15704	15753	50	*	4	62	0.0645161290322581	47	124	0.379032258064516	14	CHH	1	2.8851000839917e-05	gain
contig_21	16204	16253	50	*	28	83	0.337349397590361	10	93	0.10752688172043	15	CHH	-1	0.00043040459205281	loss
contig_21	16554	16603	50	*	24	61	0.39344262295082	15	93	0.161290322580645	15	CHH	-1	0.00161709023591619	loss
contig_21	22954	23003	50	*	51	107	0.476635514018692	69	93	0.741935483870968	12	CHH	1	0.000298110991427729	gain
contig_21	42404	42453	50	*	50	111	0.45045045045045	24	107	0.224299065420561	20	CHH	-1	0.000718965443759234	loss
contig_21	42904	42953	50	*	18	77	0.233766233766234	2	92	0.0217391304347826	15	CHH	-1	7.66101500282229e-05	loss
contig_22	12452	12501	50	*	178	614	0.289902280130293	485	851	0.569917743830787	20	CHH	1	5.87485563837284e-23	gain
contig_22	12502	12551	50	*	138	410	0.336585365853659	334	614	0.543973941368078	17	CHH	1	4.98352872518268e-09	gain
contig_22	12602	12651	50	*	31	149	0.208053691275168	142	347	0.409221902017291	17	CHH	1	6.23586712397297e-05	gain
contig_22	20052	20101	50	*	19	76	0.25	82	160	0.5125	18	CHH	1	0.000308816735868647	gain
contig_22	43202	43251	50	*	17	121	0.140495867768595	136	277	0.490974729241877	19	CHH	1	3.31909475387162e-09	gain
contig_22	43252	43301	50	*	84	301	0.27906976744186	389	694	0.560518731988473	15	CHH	1	1.53100041086045e-13	gain
contig_22	43302	43351	50	*	187	624	0.299679487179487	814	1395	0.583512544802867	18	CHH	1	1.74054141081063e-28	gain
contig_22	44152	44201	50	*	32	65	0.492307692307692	27	139	0.194244604316547	16	CHH	-1	5.04049774535018e-05	loss
contig_22	52652	52701	50	*	64	100	0.64	43	114	0.37719298245614	17	CHH	-1	0.000284483325565805	loss
contig_22	58402	58451	50	*	64	97	0.65979381443299	84	96	0.875	8	CHH	1	0.000697615579262157	gain
contig_22	58452	58501	50	*	53	107	0.495327102803738	90	124	0.725806451612903	10	CHH	1	0.000583047033979316	gain
contig_22	58502	58551	50	*	93	184	0.505434782608696	143	182	0.785714285714286	15	CHH	1	4.36267915967759e-07	gain
contig_22	58602	58651	50	*	46	77	0.597402597402597	117	129	0.906976744186046	14	CHH	1	1.60327834070807e-06	gain
contig_6	47156	47205	50	*	13	43	0.302325581395349	4	76	0.0526315789473684	10	CHH	-1	0.000381532535006791	loss
contig_6	48456	48505	50	*	30	80	0.375	6	80	0.075	18	CHH	-1	2.78668599920579e-05	loss
contig_7	9901	9950	50	*	82	149	0.550335570469799	47	139	0.338129496402878	18	CHH	-1	0.000546827914690989	loss
contig_7	39701	39750	50	*	111	434	0.255760368663594	415	840	0.494047619047619	16	CHH	1	1.37142829910943e-13	gain
contig_9	9303	9352	50	*	40	125	0.32	206	298	0.691275167785235	19	CHH	1	2.58525504593894e-10	gain
contig_9	10103	10152	50	*	44	78	0.564102564102564	208	252	0.825396825396825	18	CHH	1	1.35117234871105e-05	gain
contig_9	10153	10202	50	*	25	86	0.290697674418605	209	336	0.62202380952381	18	CHH	1	6.37834151902398e-07	gain
contig_9	21303	21352	50	*	62	75	0.826666666666667	98	221	0.443438914027149	18	CHH	-1	2.31153253298362e-07	loss
contig_9	21353	21402	50	*	50	90	0.555555555555556	71	226	0.314159292035398	18	CHH	-1	0.000180886884153025	loss
contig_9	31253	31302	50	*	95	376	0.252659574468085	282	585	0.482051282051282	17	CHH	1	1.92764351572706e-10	gain
contig_9	42053	42102	50	*	32	85	0.376470588235294	113	168	0.672619047619048	19	CHH	1	3.28270437320122e-05	gain
contig_9	42253	42302	50	*	54	236	0.228813559322034	190	385	0.493506493506494	18	CHH	1	4.17827368782643e-09	gain
contig_9	42303	42352	50	*	116	422	0.274881516587678	467	902	0.517738359201774	19	CHH	1	6.95880656478213e-14	gain
contig_9	43053	43102	50	*	38	109	0.348623853211009	120	189	0.634920634920635	16	CHH	1	1.23486964718904e-05	gain
contig_9	53353	53402	50	*	72	169	0.42603550295858	412	593	0.694772344013491	19	CHH	1	9.72362604019001e-09	gain
Fvb1	20303	20352	50	*	21	92	0.228260869565217	0	57	0	13	CHH	-1	0.000239206585927644	loss
Fvb1	31153	31202	50	*	6	114	0.0526315789473684	30	104	0.288461538461538	19	CHH	1	1.70344618599999e-05	gain
Fvb1	61203	61252	50	*	48	80	0.6	33	117	0.282051282051282	12	CHH	-1	3.85335960568126e-05	loss
Fvb1	162153	162202	50	*	0	40	0	19	69	0.27536231884058	8	CHH	1	0.000496596217991138	gain
Fvb1	226203	226252	50	*	31	65	0.476923076923077	107	133	0.804511278195489	13	CHH	1	1.53673021532737e-05	gain
Fvb1	226253	226302	50	*	59	121	0.487603305785124	168	226	0.743362831858407	15	CHH	1	1.21679140145373e-05	gain
Fvb1	271903	271952	50	*	78	124	0.629032258064516	32	99	0.323232323232323	22	CHH	-1	2.84176182642713e-05	loss
Fvb1	273253	273302	50	*	67	111	0.603603603603604	74	194	0.381443298969072	23	CHH	-1	0.000376543299769959	loss
Fvb1	273503	273552	50	*	79	138	0.572463768115942	57	179	0.318435754189944	17	CHH	-1	2.90604887873103e-05	loss
Fvb1	273553	273602	50	*	76	159	0.477987421383648	48	228	0.210526315789474	24	CHH	-1	5.49886956950825e-07	loss
Fvb1	275203	275252	50	*	34	81	0.419753086419753	100	161	0.62111801242236	18	CHH	1	0.00340970908282927	gain
Fvb1	277653	277702	50	*	48	69	0.695652173913043	27	62	0.435483870967742	14	CHH	-1	0.003121331056513	loss
Fvb1	394703	394752	50	*	22	69	0.318840579710145	12	116	0.103448275862069	13	CHH	-1	0.000487538991272041	loss
Fvb1	448553	448602	50	*	62	74	0.837837837837838	41	78	0.525641025641026	14	CHH	-1	0.000119157912824261	loss
Fvb1	476903	476952	50	*	33	66	0.5	21	78	0.269230769230769	14	CHH	-1	0.00476633023231497	loss
Fvb1	504003	504052	50	*	28	67	0.417910447761194	15	73	0.205479452054795	9	CHH	-1	0.00673865842016712	loss
Fvb1	752603	752652	50	*	6	103	0.058252427184466	39	124	0.314516129032258	21	CHH	1	1.01842218161288e-05	gain
Fvb1	762803	762852	50	*	29	114	0.254385964912281	108	230	0.469565217391304	21	CHH	1	0.000283723922174019	gain
Fvb1	762853	762902	50	*	26	96	0.270833333333333	130	227	0.572687224669604	16	CHH	1	6.01463084336055e-06	gain
Fvb1	762953	763002	50	*	28	165	0.16969696969697	151	316	0.477848101265823	27	CHH	1	2.9219939878232e-09	gain
Fvb1	763003	763052	50	*	24	99	0.242424242424242	122	202	0.603960396039604	20	CHH	1	1.21472089994699e-07	gain
Fvb1	805653	805702	50	*	9	35	0.257142857142857	3	66	0.0454545454545455	8	CHH	-1	0.00221761105986926	loss
Fvb1	806753	806802	50	*	42	99	0.424242424242424	25	121	0.206611570247934	19	CHH	-1	0.000795627336844354	loss
Fvb1	807803	807852	50	*	39	88	0.443181818181818	36	157	0.229299363057325	18	CHH	-1	0.000804692327209359	loss
Fvb1	807853	807902	50	*	58	141	0.411347517730496	27	170	0.158823529411765	21	CHH	-1	5.73609837950665e-06	loss
Fvb1	808753	808802	50	*	47	100	0.47	51	191	0.267015706806283	23	CHH	-1	0.000816939300253003	loss
Fvb1	817053	817102	50	*	57	90	0.633333333333333	45	173	0.260115606936416	20	CHH	-1	1.2310970530027e-07	loss
Fvb1	817103	817152	50	*	73	110	0.663636363636364	44	140	0.314285714285714	22	CHH	-1	6.92990934880352e-07	loss
Fvb1	960853	960902	50	*	37	86	0.430232558139535	26	118	0.220338983050847	14	CHH	-1	0.001788310898996	loss
Fvb1	1159553	1159602	50	*	55	131	0.419847328244275	34	158	0.215189873417722	20	CHH	-1	0.000367513593922304	loss
Fvb1	1162103	1162152	50	*	22	109	0.201834862385321	44	100	0.44	16	CHH	1	0.000428990413112182	gain
Fvb1	1162203	1162252	50	*	56	129	0.434108527131783	74	115	0.643478260869565	15	CHH	1	0.0014745275185992	gain
Fvb1	1200553	1200602	50	*	2	89	0.0224719101123595	69	202	0.341584158415842	16	CHH	1	1.58428004314049e-07	gain
Fvb1	1200603	1200652	50	*	1	52	0.0192307692307692	61	148	0.412162162162162	10	CHH	1	1.73037969892265e-06	gain
Fvb1	1200653	1200702	50	*	0	86	0	40	163	0.245398773006135	10	CHH	1	4.92060156229957e-06	gain
Fvb1	1460853	1460902	50	*	24	74	0.324324324324324	11	117	0.094017094017094	14	CHH	-1	0.000168176304154928	loss
Fvb1	1503353	1503402	50	*	51	102	0.5	107	152	0.703947368421053	17	CHH	1	0.0014134555162194	gain
Fvb1	1519753	1519802	50	*	21	62	0.338709677419355	9	68	0.132352941176471	11	CHH	-1	0.0056362957615966	loss
Fvb1	1557353	1557402	50	*	2	47	0.0425531914893617	16	63	0.253968253968254	9	CHH	1	0.00349432194327778	gain
Fvb1	1559903	1559952	50	*	6	75	0.08	22	75	0.293333333333333	15	CHH	1	0.00117478016268289	gain
Fvb1	1667203	1667252	50	*	13	55	0.236363636363636	0	37	0	9	CHH	-1	0.00185683204065009	loss
Fvb1	1714053	1714102	50	*	23	44	0.522727272727273	10	41	0.24390243902439	10	CHH	-1	0.00844959684377386	loss
Fvb1	1767803	1767852	50	*	48	82	0.585365853658537	50	141	0.354609929078014	16	CHH	-1	0.00119133085448094	loss
Fvb1	1884703	1884752	50	*	36	61	0.590163934426229	47	126	0.373015873015873	15	CHH	-1	0.00544475768657187	loss
Fvb1	1888653	1888702	50	*	20	70	0.285714285714286	69	139	0.496402877697842	15	CHH	1	0.00408343100400158	gain
Fvb1	1993153	1993202	50	*	12	63	0.19047619047619	45	115	0.391304347826087	15	CHH	1	0.00631607000837304	gain
Fvb1	2077703	2077752	50	*	4	35	0.114285714285714	20	41	0.48780487804878	6	CHH	1	0.000790429150754847	gain
Fvb1	2100003	2100052	50	*	14	49	0.285714285714286	6	74	0.0810810810810811	12	CHH	-1	0.00307177949764026	loss
Fvb1	2102153	2102202	50	*	28	60	0.466666666666667	13	95	0.136842105263158	10	CHH	-1	2.86924425181922e-05	loss
Fvb1	2102203	2102252	50	*	52	90	0.577777777777778	24	100	0.24	12	CHH	-1	1.3564191837166e-05	loss
Fvb1	2135753	2135802	50	*	61	77	0.792207792207792	59	104	0.567307692307692	17	CHH	-1	0.00200229191824652	loss
Fvb1	2166403	2166452	50	*	28	107	0.261682242990654	61	125	0.488	19	CHH	1	0.000700524383881991	gain
Fvb1	2245053	2245102	50	*	22	69	0.318840579710145	5	54	0.0925925925925926	13	CHH	-1	0.00309386001867257	loss
Fvb1	2320203	2320252	50	*	26	62	0.419354838709677	15	74	0.202702702702703	12	CHH	-1	0.00638396063858772	loss
Fvb1	2336653	2336702	50	*	38	158	0.240506329113924	79	158	0.5	22	CHH	1	1.20177754063795e-05	gain
Fvb1	2362853	2362902	50	*	8	24	0.333333333333333	1	29	0.0344827586206897	6	CHH	-1	0.00433891451276389	loss
Fvb1	2502653	2502702	50	*	43	71	0.605633802816901	56	147	0.380952380952381	15	CHH	-1	0.00225655390489611	loss
Fvb1	2529103	2529152	50	*	0	78	0	28	95	0.294736842105263	12	CHH	1	1.97735065329034e-06	gain
