seqnames	start	end	methdiff
Fvb1	766003	766102	0.28968254
Fvb1	5561703	5561802	0.321428571
Fvb1	9974803	9974902	-0.45232816
Fvb1	13062003	13062102	-0.478632479
Fvb1	14852903	14853002	-0.413942944
Fvb1	15560903	15561002	-0.5
Fvb1	18079603	18079702	0.353629977
Fvb1	19093703	19093802	-0.407144733
Fvb1	19388703	19388802	-0.320634921
Fvb1	19980403	19980502	0.56
Fvb1	20443203	20443302	0.319461713
Fvb1	21155503	21155602	0.384188034
Fvb1	21697803	21697902	0.358321377
Fvb1	22170203	22170302	-0.290461391
Fvb1	22760103	22760202	-0.224466463
Fvb1	23089103	23089202	-0.269435216
Fvb1	23219303	23219402	-0.200838834
Fvb1	23509103	23509202	-0.3
Fvb2	93601	93700	0.252173913
Fvb2	246201	246300	0.265991826
Fvb2	275101	275200	0.41966967
Fvb2	503901	504000	0.29982906
Fvb2	504001	504100	0.265917603
Fvb2	1024101	1024200	0.294117647
Fvb2	1595401	1595500	-0.256883186
Fvb2	1606301	1606400	0.298719772
Fvb2	1926901	1927000	-0.269982749
Fvb2	2108701	2108800	-0.21469269
Fvb2	2171301	2171400	-0.448863636
Fvb2	2288101	2288200	-0.300854701
Fvb2	2530201	2530300	-0.223389356
Fvb2	3881401	3881500	-0.356060606
Fvb2	4403801	4403900	-0.409722222
Fvb2	5019801	5019900	0.389652015
Fvb2	5269601	5269700	-0.577142857
Fvb2	6035001	6035100	0.248809524
Fvb2	7818101	7818200	0.317544524
Fvb2	8130001	8130100	0.300438596
Fvb2	8744201	8744300	-0.27826087
Fvb2	8782001	8782100	0.327130852
Fvb2	9108501	9108600	0.261904762
Fvb2	9259901	9260000	0.21656051
Fvb2	9516301	9516400	0.315938511
Fvb2	10596401	10596500	-0.304761905
Fvb2	10719301	10719400	-0.355928282
Fvb2	10768101	10768200	0.409982175
Fvb2	11143301	11143400	-0.228771229
Fvb2	12284001	12284100	0.505387931
Fvb2	12409001	12409100	0.408163265
Fvb2	13030501	13030600	0.227232289
Fvb2	13049101	13049200	0.408441558
Fvb2	13368001	13368100	-0.434677419
Fvb2	13527701	13527800	0.461309524
Fvb2	14337501	14337600	0.277777778
Fvb2	14750301	14750400	-0.269125
Fvb2	15030401	15030500	-0.206757991
Fvb2	15597801	15597900	0.249379653
Fvb2	16515801	16515900	0.260655134
Fvb2	17146001	17146100	0.241610738
Fvb2	17965601	17965700	0.266666667
Fvb2	18649101	18649200	0.332638889
Fvb2	20540701	20540800	0.5
Fvb2	21842401	21842500	-0.209188776
Fvb2	23943001	23943100	-0.41833509
Fvb2	24479901	24480000	0.478632479
Fvb2	24878901	24879000	-0.221602434
Fvb2	25026501	25026600	0.43877551
Fvb2	25933201	25933300	0.480555556
Fvb2	27520001	27520100	0.333333333
Fvb2	29340101	29340200	0.313615502
Fvb3	363703	363802	-0.327106367
Fvb3	1078003	1078102	-0.442622951
Fvb3	2236003	2236102	-0.547368421
Fvb3	2584503	2584602	-0.204781421
Fvb3	2584603	2584702	-0.237604596
Fvb3	3755903	3756002	0.350241546
Fvb3	3987403	3987502	-0.289215686
Fvb3	4992403	4992502	0.215384615
Fvb3	7301903	7302002	0.3980322
Fvb3	8076703	8076802	0.495215311
Fvb3	8395903	8396002	-0.348575712
Fvb3	9739603	9739702	-0.230747126
Fvb3	10359103	10359202	-0.246753247
Fvb3	12504003	12504102	0.3
Fvb3	12777503	12777602	-0.233712121
Fvb3	12777603	12777702	-0.216183782
Fvb3	12838203	12838302	-0.432282004
Fvb3	12843003	12843102	-0.37704371
Fvb3	14047103	14047202	-0.218400876
Fvb3	14742903	14743002	-0.213372472
Fvb3	15447003	15447102	-0.217231435
Fvb3	15701303	15701402	-0.323806881
Fvb3	15789203	15789302	0.336363636
Fvb3	15846703	15846802	0.236872146
Fvb3	16832803	16832902	-0.451599672
Fvb3	16832903	16833002	-0.392105263
Fvb3	17582103	17582202	-0.315909091
Fvb3	18285103	18285202	-0.388571429
Fvb3	18533103	18533202	0.25862069
Fvb3	18960703	18960802	-0.282296651
Fvb3	19051203	19051302	-0.243697479
Fvb3	19585703	19585802	-0.52173913
Fvb3	19692903	19693002	-0.338357588
Fvb3	20441203	20441302	0.293741497
Fvb3	20456903	20457002	-0.39668175
Fvb3	21235903	21236002	-0.574074074
Fvb3	21238603	21238702	0.491111111
Fvb3	21690003	21690102	-0.348837209
Fvb3	21828103	21828202	-0.332163743
Fvb3	22743003	22743102	0.296171802
Fvb3	23272903	23273002	0.413892175
Fvb3	23343303	23343402	0.240648051
Fvb3	23519003	23519102	0.313852814
