seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	gene	score	phase
contig_10	304	403	100	*	45	79	0.569620253164557	147	187	0.786096256684492	15	CG	1	0.000732407472198583	gain	NA	NA	NA	NA	NA
contig_10	1904	2003	100	*	37	130	0.284615384615385	148	296	0.5	18	CG	1	0.000183057229814133	gain	NA	NA	NA	NA	NA
contig_20	4302	4401	100	*	28	143	0.195804195804196	143	260	0.55	18	CG	1	7.43404389269166e-10	gain	NA	NA	NA	NA	NA
contig_22	43202	43301	100	*	76	239	0.317991631799163	268	467	0.573875802997859	18	CG	1	1.20802585650762e-08	gain	NA	NA	NA	NA	NA
contig_22	43302	43401	100	*	265	684	0.387426900584795	791	1322	0.598335854765507	18	CG	1	1.34142255156029e-16	gain	NA	NA	NA	NA	NA
contig_4	17702	17801	100	*	4	18	0.222222222222222	12	17	0.705882352941177	4	CG	1	0.00409934849123431	gain	NA	NA	NA	NA	NA
contig_7	27701	27800	100	*	26	129	0.201550387596899	119	289	0.411764705882353	16	CG	1	0.000159022736523559	gain	NA	NA	NA	NA	NA
contig_7	39501	39600	100	*	243	706	0.344192634560907	782	1427	0.548002803083392	18	CG	1	2.26176250652424e-16	gain	NA	NA	NA	NA	NA
contig_7	39701	39800	100	*	158	548	0.288321167883212	570	1155	0.493506493506494	20	CG	1	2.86544632384443e-13	gain	NA	NA	NA	NA	NA
contig_9	9303	9402	100	*	56	119	0.470588235294118	195	285	0.684210526315789	20	CG	1	0.000231605160355529	gain	NA	NA	NA	NA	NA
contig_9	31203	31302	100	*	52	208	0.25	158	300	0.526666666666667	18	CG	1	3.53528424169606e-08	gain	NA	NA	NA	NA	NA
contig_9	31303	31402	100	*	184	470	0.391489361702128	410	682	0.601173020527859	18	CG	1	3.8346021522673e-10	gain	NA	NA	NA	NA	NA
contig_9	40603	40702	100	*	44	81	0.54320987654321	49	65	0.753846153846154	15	CG	1	0.00852729359604617	gain	NA	NA	NA	NA	NA
contig_9	42003	42102	100	*	23	60	0.383333333333333	110	154	0.714285714285714	14	CG	1	6.53524733989158e-05	gain	NA	NA	NA	NA	NA
contig_9	53303	53402	100	*	55	97	0.56701030927835	281	361	0.778393351800554	18	CG	1	0.000154804932002203	gain	NA	NA	NA	NA	NA
Fvb1	67903	68002	100	*	16	29	0.551724137931034	34	38	0.894736842105263	4	CG	1	0.00173286281730023	gain	EVM	SO:0000704	FvH4_1g00100	1	NA
Fvb1	129103	129202	100	*	20	27	0.740740740740741	57	58	0.982758620689655	4	CG	1	0.000811214435957024	gain	EVM	SO:0000704	FvH4_1g00250	1	NA
Fvb1	381103	381202	100	*	8	55	0.145454545454545	40	75	0.533333333333333	8	CG	1	5.65919707225257e-05	gain	NA	NA	NA	NA	NA
Fvb1	400103	400202	100	*	5	65	0.0769230769230769	42	145	0.289655172413793	6	CG	1	0.00109245433891876	gain	EVM	SO:0000704	FvH4_1g00800	1	NA
Fvb1	592403	592502	100	*	10	16	0.625	30	31	0.967741935483871	4	CG	1	0.00199541382453961	gain	NA	NA	NA	NA	NA
Fvb1	633003	633102	100	*	0	22	0	16	45	0.355555555555556	4	CG	1	0.00170064071019199	gain	NA	NA	NA	NA	NA
Fvb1	1029303	1029402	100	*	15	24	0.625	68	71	0.957746478873239	4	CG	1	0.000128120503607646	gain	EVM	SO:0000704	FvH4_1g01960	1	NA
Fvb1	1200503	1200602	100	*	15	235	0.0638297872340425	134	420	0.319047619047619	30	CG	1	1.39195263999252e-11	gain	EVM	SO:0000704	FvH4_1g02230	1	NA
Fvb1	1200603	1200702	100	*	14	506	0.0276679841897233	244	760	0.321052631578947	42	CG	1	5.69308985808517e-34	gain	EVM	SO:0000704	FvH4_1g02230	1	NA
Fvb1	1203403	1203502	100	*	35	63	0.555555555555556	65	79	0.822784810126582	6	CG	1	0.00099166716543739	gain	EVM	SO:0000704	FvH4_1g02230	1	NA
Fvb1	1518803	1518902	100	*	0	30	0	17	63	0.26984126984127	4	CG	1	0.00191622510455957	gain	NA	NA	NA	NA	NA
Fvb1	1589503	1589602	100	*	41	41	1	37	49	0.755102040816326	4	CG	-1	0.00113886955317796	loss	EVM	SO:0000704	FvH4_1g02780	1	NA
Fvb1	1761703	1761802	100	*	42	64	0.65625	84	92	0.91304347826087	6	CG	1	0.000255641273354489	gain	EVM	SO:0000704	FvH4_1g03130	1	NA
Fvb1	1970803	1970902	100	*	1	23	0.0434782608695652	21	49	0.428571428571429	4	CG	1	0.0013836530297127	gain	NA	NA	NA	NA	NA
Fvb1	2162103	2162202	100	*	24	44	0.545454545454545	52	62	0.838709677419355	8	CG	1	0.00139473301954027	gain	NA	NA	NA	NA	NA
Fvb1	2162203	2162302	100	*	1	49	0.0204081632653061	16	56	0.285714285714286	6	CG	1	0.00059280063560438	gain	NA	NA	NA	NA	NA
Fvb1	2316703	2316802	100	*	30	39	0.769230769230769	50	51	0.980392156862745	4	CG	1	0.00186793836241446	gain	EVM	SO:0000704	FvH4_1g04330	1	NA
Fvb1	2392403	2392502	100	*	22	53	0.415094339622642	71	89	0.797752808988764	6	CG	1	3.79930086128655e-05	gain	EVM	SO:0000704	FvH4_1g04510	1	NA
Fvb1	2542103	2542202	100	*	10	24	0.416666666666667	26	31	0.838709677419355	4	CG	1	0.00148907056388271	gain	NA	NA	NA	NA	NA
Fvb1	2677903	2678002	100	*	5	41	0.121951219512195	32	79	0.40506329113924	7	CG	1	0.00176993763089867	gain	EVM	SO:0000704	FvH4_1g05040	1	NA
Fvb1	2757603	2757702	100	*	1	91	0.010989010989011	26	114	0.228070175438596	10	CG	1	5.02213543344101e-05	gain	NA	NA	NA	NA	NA
Fvb1	3262703	3262802	100	*	33	63	0.523809523809524	66	84	0.785714285714286	4	CG	1	0.00127433244495201	gain	EVM	SO:0000704	FvH4_1g06150	1	NA
Fvb1	3957103	3957202	100	*	6	18	0.333333333333333	40	51	0.784313725490196	4	CG	1	0.00094356567164947	gain	NA	NA	NA	NA	NA
Fvb1	4142703	4142802	100	*	13	26	0.5	34	39	0.871794871794872	6	CG	1	0.00146701948397272	gain	NA	NA	NA	NA	NA
Fvb1	4202103	4202202	100	*	57	85	0.670588235294118	84	95	0.884210526315789	8	CG	1	0.000981702114878158	gain	EVM	SO:0000704	FvH4_1g07960	1	NA
Fvb1	4396703	4396802	100	*	2	27	0.0740740740740741	16	37	0.432432432432432	4	CG	1	0.00191164358685426	gain	NA	NA	NA	NA	NA
Fvb1	4923603	4923702	100	*	27	132	0.204545454545455	101	243	0.415637860082305	16	CG	1	0.000187571149603843	gain	NA	NA	NA	NA	NA
Fvb1	5066003	5066102	100	*	41	58	0.706896551724138	84	88	0.954545454545455	6	CG	1	0.00015879017116611	gain	EVM	SO:0000704	FvH4_1g09440	1	NA
Fvb1	5373003	5373102	100	*	48	98	0.489795918367347	104	141	0.737588652482269	10	CG	1	0.000322324952880865	gain	EVM	SO:0000704	FvH4_1g09890	1	NA
Fvb1	5592903	5593002	100	*	5	40	0.125	25	60	0.416666666666667	4	CG	1	0.00201472831201203	gain	EVM	SO:0000704	FvH4_1g10270	1	NA
Fvb1	5838703	5838802	100	*	51	98	0.520408163265306	53	173	0.30635838150289	10	CG	-1	0.000968064826304544	loss	NA	NA	NA	NA	NA
Fvb1	6473503	6473602	100	*	53	79	0.670886075949367	97	109	0.889908256880734	8	CG	1	0.000576650041138236	gain	NA	NA	NA	NA	NA
Fvb1	6790903	6791002	100	*	5	85	0.0588235294117647	26	84	0.30952380952381	6	CG	1	0.000141054887278871	gain	EVM	SO:0000704	FvH4_1g12390	1	NA
Fvb1	6791303	6791402	100	*	18	65	0.276923076923077	62	119	0.521008403361345	10	CG	1	0.0017411449243731	gain	NA	NA	NA	NA	NA
Fvb1	7918303	7918402	100	*	31	71	0.436619718309859	83	111	0.747747747747748	6	CG	1	0.000132217776558664	gain	EVM	SO:0000704	FvH4_1g14280	1	NA
Fvb1	9472903	9473002	100	*	35	68	0.514705882352941	57	74	0.77027027027027	4	CG	1	0.00176993763089867	gain	EVM	SO:0000704	FvH4_1g16410	1	NA
Fvb1	9711503	9711602	100	*	30	54	0.555555555555556	82	104	0.788461538461538	8	CG	1	0.0022955067399435	gain	NA	NA	NA	NA	NA
Fvb1	9832703	9832802	100	*	9	47	0.191489361702128	64	113	0.566371681415929	8	CG	1	0.000104105611117049	gain	EVM	SO:0000704	FvH4_1g16990	1	NA
Fvb1	9834103	9834202	100	*	16	49	0.326530612244898	53	80	0.6625	10	CG	1	0.000541290545478785	gain	NA	NA	NA	NA	NA
Fvb1	9926203	9926302	100	*	54	91	0.593406593406593	126	145	0.868965517241379	12	CG	1	1.99575962841478e-05	gain	NA	NA	NA	NA	NA
Fvb1	9974603	9974702	100	*	26	74	0.351351351351351	68	115	0.591304347826087	4	CG	1	0.0016512148579001	gain	EVM	SO:0000704	FvH4_1g17272	1	NA
Fvb1	10220603	10220702	100	*	19	43	0.441860465116279	65	83	0.783132530120482	4	CG	1	0.000383676938269761	gain	EVM	SO:0000704	FvH4_1g17570	1	NA
Fvb1	10926303	10926402	100	*	15	52	0.288461538461538	41	64	0.640625	4	CG	1	0.000472005429278611	gain	EVM	SO:0000704	FvH4_1g18590	1	NA
Fvb1	11186803	11186902	100	*	2	50	0.04	14	41	0.341463414634146	4	CG	1	0.000487694354770148	gain	NA	NA	NA	NA	NA
Fvb1	11251303	11251402	100	*	45	70	0.642857142857143	81	94	0.861702127659574	6	CG	1	0.00145621836392284	gain	EVM	SO:0000704	FvH4_1g18970	1	NA
Fvb1	11321503	11321602	100	*	9	42	0.214285714285714	0	50	0	4	CG	-1	0.00103378395557898	loss	NA	NA	NA	NA	NA
Fvb1	12024303	12024402	100	*	9	70	0.128571428571429	28	45	0.622222222222222	8	CG	1	1.13710612228969e-06	gain	EVM	SO:0000704	FvH4_1g19831	1	NA
Fvb1	12058803	12058902	100	*	3	36	0.0833333333333333	28	55	0.509090909090909	4	CG	1	0.000151263028055973	gain	NA	NA	NA	NA	NA
Fvb1	12750003	12750102	100	*	30	39	0.769230769230769	83	85	0.976470588235294	6	CG	1	0.000477842409286933	gain	NA	NA	NA	NA	NA
Fvb1	13042203	13042302	100	*	50	130	0.384615384615385	127	213	0.596244131455399	10	CG	1	0.000438895270006658	gain	EVM	SO:0000704	FvH4_1g20920	1	NA
Fvb1	13189203	13189302	100	*	34	162	0.209876543209877	109	202	0.53960396039604	12	CG	1	1.37179483823297e-08	gain	NA	NA	NA	NA	NA
Fvb1	13402603	13402702	100	*	36	89	0.404494382022472	93	151	0.615894039735099	12	CG	1	0.00182020592640612	gain	NA	NA	NA	NA	NA
Fvb1	13456403	13456502	100	*	9	43	0.209302325581395	0	58	0	4	CG	-1	0.000641639442788996	loss	NA	NA	NA	NA	NA
Fvb1	14016803	14016902	100	*	41	55	0.745454545454545	80	81	0.987654320987654	6	CG	1	7.73580306797159e-05	gain	NA	NA	NA	NA	NA
Fvb1	14043603	14043702	100	*	1	36	0.0277777777777778	16	43	0.372093023255814	6	CG	1	0.000547302394153446	gain	NA	NA	NA	NA	NA
Fvb1	14094103	14094202	100	*	39	81	0.481481481481481	109	156	0.698717948717949	8	CG	1	0.00147964772875355	gain	EVM	SO:0000704	FvH4_1g22150	1	NA
Fvb1	15343703	15343802	100	*	42	66	0.636363636363636	111	125	0.888	6	CG	1	0.000177835870386722	gain	NA	NA	NA	NA	NA
Fvb1	15666403	15666502	100	*	2	45	0.0444444444444444	16	53	0.30188679245283	4	CG	1	0.00146701948397272	gain	NA	NA	NA	NA	NA
Fvb1	15887403	15887502	100	*	17	22	0.772727272727273	50	50	1	4	CG	1	0.000934104940076938	gain	NA	NA	NA	NA	NA
Fvb1	16545803	16545902	100	*	9	74	0.121621621621622	52	147	0.353741496598639	14	CG	1	0.00065071588516975	gain	EVM	SO:0000704	FvH4_1g24730	1	NA
Fvb1	17039603	17039702	100	*	47	83	0.566265060240964	75	95	0.789473684210526	8	CG	1	0.0017242682295889	gain	NA	NA	NA	NA	NA
Fvb1	17313303	17313402	100	*	12	17	0.705882352941177	61	61	1	4	CG	1	9.10620842308035e-05	gain	NA	NA	NA	NA	NA
Fvb1	17428903	17429002	100	*	19	27	0.703703703703704	31	31	1	6	CG	1	0.00148907056388271	gain	NA	NA	NA	NA	NA
Fvb1	18027003	18027102	100	*	30	50	0.6	63	69	0.91304347826087	10	CG	1	0.000207681889429836	gain	NA	NA	NA	NA	NA
Fvb1	18145703	18145802	100	*	79	91	0.868131868131868	61	100	0.61	17	CG	-1	0.000236979224244945	loss	NA	NA	NA	NA	NA
Fvb1	18152203	18152302	100	*	27	34	0.794117647058823	69	69	1	6	CG	1	0.000331810284057528	gain	NA	NA	NA	NA	NA
Fvb1	18377003	18377102	100	*	23	72	0.319444444444444	78	128	0.609375	16	CG	1	0.000305766791761541	gain	NA	NA	NA	NA	NA
Fvb1	18429203	18429302	100	*	32	62	0.516129032258065	108	147	0.73469387755102	10	CG	1	0.00223700650231827	gain	NA	NA	NA	NA	NA
Fvb1	18569303	18569402	100	*	19	27	0.703703703703704	42	43	0.976744186046512	4	CG	1	0.00134388991744786	gain	EVM	SO:0000704	FvH4_1g26730	1	NA
Fvb1	19903803	19903902	100	*	3	50	0.06	19	62	0.306451612903226	4	CG	1	0.00148907056388271	gain	EVM	SO:0000704	FvH4_1g28060	1	NA
Fvb1	20098203	20098302	100	*	40	59	0.677966101694915	29	73	0.397260273972603	10	CG	-1	0.00168529314669054	loss	NA	NA	NA	NA	NA
Fvb1	20169003	20169102	100	*	22	45	0.488888888888889	51	64	0.796875	6	CG	1	0.001239223623196	gain	NA	NA	NA	NA	NA
Fvb1	20286503	20286602	100	*	23	43	0.534883720930233	54	65	0.830769230769231	4	CG	1	0.00133531005964792	gain	EVM	SO:0000704	FvH4_1g28390	1	NA
Fvb1	21134303	21134402	100	*	19	37	0.513513513513513	62	76	0.815789473684211	6	CG	1	0.00128907715900423	gain	NA	NA	NA	NA	NA
Fvb1	21349803	21349902	100	*	25	35	0.714285714285714	61	65	0.938461538461538	4	CG	1	0.00216638758094329	gain	EVM	SO:0000704	FvH4_1g28910	1	NA
Fvb1	21421503	21421602	100	*	57	63	0.904761904761905	74	113	0.654867256637168	8	CG	-1	0.00065071588516975	loss	NA	NA	NA	NA	NA
Fvb1	21427503	21427602	100	*	27	50	0.54	63	77	0.818181818181818	4	CG	1	0.0012238077139992	gain	EVM	SO:0000704	FvH4_1g28990	1	NA
Fvb1	21428603	21428702	100	*	19	34	0.558823529411765	51	54	0.944444444444444	4	CG	1	9.36589167642778e-05	gain	EVM	SO:0000704	FvH4_1g28990	1	NA
Fvb1	21429403	21429502	100	*	26	42	0.619047619047619	37	38	0.973684210526316	4	CG	1	0.000365503550167961	gain	EVM	SO:0000704	FvH4_1g28990	1	NA
Fvb1	21495303	21495402	100	*	22	29	0.758620689655172	62	63	0.984126984126984	6	CG	1	0.000796042661652722	gain	EVM	SO:0000704	FvH4_1g29050	1	NA
Fvb1	22185603	22185702	100	*	55	212	0.259433962264151	166	308	0.538961038961039	14	CG	1	1.90607236457616e-08	gain	NA	NA	NA	NA	NA
Fvb1	22185703	22185802	100	*	37	149	0.248322147651007	139	248	0.560483870967742	8	CG	1	8.24652543779676e-08	gain	NA	NA	NA	NA	NA
Fvb1	22185803	22185902	100	*	21	72	0.291666666666667	76	125	0.608	6	CG	1	0.000114789030611882	gain	NA	NA	NA	NA	NA
Fvb1	23312403	23312502	100	*	43	51	0.843137254901961	41	75	0.546666666666667	8	CG	-1	0.00099166716543739	loss	NA	NA	NA	NA	NA
Fvb1	23535803	23535902	100	*	16	72	0.222222222222222	31	61	0.508196721311475	8	CG	1	0.00104699793891375	gain	NA	NA	NA	NA	NA
Fvb1	23936803	23936902	100	*	17	102	0.166666666666667	73	156	0.467948717948718	10	CG	1	1.25289650441688e-05	gain	EVM	SO:0000704	FvH4_1g30220	1	NA
Fvb1	23975003	23975102	100	*	15	40	0.375	46	68	0.676470588235294	4	CG	1	0.00230996461595074	gain	EVM	SO:0000704	FvH4_1g30270	1	NA
Fvb1	23975203	23975302	100	*	29	56	0.517857142857143	105	138	0.760869565217391	7	CG	1	0.00135551099745733	gain	EVM	SO:0000704	FvH4_1g30270	1	NA
Fvb1	24137003	24137102	100	*	4	16	0.25	42	60	0.7	4	CG	1	0.00148652314903117	gain	NA	NA	NA	NA	NA
Fvb1	24150203	24150302	100	*	24	37	0.648648648648649	71	77	0.922077922077922	6	CG	1	0.000613032766854993	gain	NA	NA	NA	NA	NA
Fvb1	24231203	24231302	100	*	23	47	0.48936170212766	9	61	0.147540983606557	4	CG	-1	0.000380306857896831	loss	EVM	SO:0000704	FvH4_1g30550	1	NA
Fvb2	258901	259000	100	*	50	62	0.806451612903226	45	85	0.529411764705882	6	CG	-1	0.000991313848858742	loss	EVM	SO:0000704	FvH4_2g00150	1	NA
Fvb2	461601	461700	100	*	7	44	0.159090909090909	54	92	0.58695652173913	4	CG	1	3.22155274952378e-05	gain	NA	NA	NA	NA	NA
Fvb2	462001	462100	100	*	15	81	0.185185185185185	37	84	0.44047619047619	6	CG	1	0.000859218014680963	gain	NA	NA	NA	NA	NA
Fvb2	482701	482800	100	*	17	44	0.386363636363636	13	88	0.147727272727273	6	CG	-1	0.00215645640771633	loss	EVM	SO:0000704	FvH4_2g00353	1	NA
Fvb2	483501	483600	100	*	63	97	0.649484536082474	98	115	0.852173913043478	22	CG	1	0.00104699793891375	gain	EVM	SO:0000704	FvH4_2g00353	1	NA
Fvb2	875501	875600	100	*	44	46	0.956521739130435	65	89	0.730337078651685	10	CG	-1	0.00186793836241446	loss	NA	NA	NA	NA	NA
Fvb2	1380301	1380400	100	*	10	90	0.111111111111111	36	109	0.330275229357798	6	CG	1	0.000641639442788996	gain	EVM	SO:0000704	FvH4_2g01480	1	NA
