seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb3	1	50000	50000	*	4772	9685	0.492720702116675	CG
Fvb3	50001	100000	50000	*	3397	15013	0.226270565509891	CG
Fvb3	100001	150000	50000	*	3626	15114	0.239910017202594	CG
Fvb3	150001	200000	50000	*	4371	15478	0.28240082698023	CG
Fvb3	200001	250000	50000	*	1508	17233	0.0875065281726919	CG
Fvb3	250001	300000	50000	*	2534	13350	0.189812734082397	CG
Fvb3	300001	350000	50000	*	4062	15368	0.264315460697553	CG
Fvb3	350001	400000	50000	*	3625	15182	0.238769595573706	CG
Fvb3	400001	450000	50000	*	584	8279	0.0705399202802271	CG
Fvb3	450001	500000	50000	*	3463	18541	0.186775254840623	CG
Fvb3	500001	550000	50000	*	3001	17249	0.173981100353644	CG
Fvb3	550001	600000	50000	*	2271	12362	0.183708137841773	CG
Fvb3	600001	650000	50000	*	4228	10538	0.401214651736572	CG
Fvb3	650001	700000	50000	*	4256	19105	0.222768908662654	CG
Fvb3	700001	750000	50000	*	4545	14465	0.314206705841687	CG
Fvb3	750001	800000	50000	*	4217	11813	0.356979598747143	CG
Fvb3	800001	850000	50000	*	3388	7132	0.475042063937185	CG
Fvb3	850001	900000	50000	*	2084	20568	0.101322442629327	CG
Fvb3	900001	950000	50000	*	2098	11769	0.178264933299346	CG
Fvb3	950001	1000000	50000	*	1633	17385	0.0939315501869428	CG
Fvb3	1000001	1050000	50000	*	5118	11848	0.431971640783255	CG
Fvb3	1050001	1100000	50000	*	2562	15756	0.162604722010663	CG
Fvb3	1100001	1150000	50000	*	1302	11313	0.115088835852559	CG
Fvb3	1150001	1200000	50000	*	4059	14288	0.284084546472564	CG
Fvb3	1200001	1250000	50000	*	3785	15665	0.241621449090329	CG
Fvb3	1250001	1300000	50000	*	3119	15908	0.196064873019864	CG
Fvb3	1300001	1350000	50000	*	3536	18675	0.189344042838019	CG
Fvb3	1350001	1400000	50000	*	1651	14108	0.117025800963992	CG
Fvb3	1400001	1450000	50000	*	452	4802	0.0941274468971262	CG
Fvb3	1450001	1500000	50000	*	1605	21928	0.073194089748267	CG
