seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
Fvb7	1	50000	50000	*	13	81	0.160493827160494	CHG
Fvb7	50001	100000	50000	*	0	0	0	CHG
Fvb7	100001	150000	50000	*	0	0	0	CHG
Fvb7	150001	200000	50000	*	0	0	0	CHG
Fvb7	200001	250000	50000	*	0	0	0	CHG
Fvb7	250001	300000	50000	*	0	0	0	CHG
Fvb7	300001	350000	50000	*	0	0	0	CHG
Fvb7	350001	400000	50000	*	0	0	0	CHG
Fvb7	400001	450000	50000	*	0	0	0	CHG
Fvb7	450001	500000	50000	*	0	0	0	CHG
Fvb7	500001	550000	50000	*	0	0	0	CHG
Fvb7	550001	600000	50000	*	9	10	0.9	CHG
Fvb7	600001	650000	50000	*	11229	19400	0.578814432989691	CHG
Fvb7	650001	700000	50000	*	4325	19961	0.216672511397225	CHG
Fvb7	700001	750000	50000	*	4668	13342	0.349872582821166	CHG
Fvb7	750001	800000	50000	*	3130	26675	0.117338331771321	CHG
Fvb7	800001	850000	50000	*	8190	18250	0.448767123287671	CHG
Fvb7	850001	900000	50000	*	3081	13685	0.22513701132627	CHG
Fvb7	900001	950000	50000	*	9264	16907	0.547938723605607	CHG
Fvb7	950001	1000000	50000	*	5726	12141	0.471625072069846	CHG
Fvb7	1000001	1050000	50000	*	6422	18304	0.350852272727273	CHG
Fvb7	1050001	1100000	50000	*	5684	13951	0.407425990968389	CHG
Fvb7	1100001	1150000	50000	*	4497	22569	0.199255616110594	CHG
Fvb7	1150001	1200000	50000	*	3905	25385	0.153831002560567	CHG
Fvb7	1200001	1250000	50000	*	4570	13263	0.344567594058659	CHG
Fvb7	1250001	1300000	50000	*	7458	17135	0.435249489349285	CHG
Fvb7	1300001	1350000	50000	*	4256	23032	0.184786384161167	CHG
Fvb7	1350001	1400000	50000	*	5574	22399	0.248850395106924	CHG
Fvb7	1400001	1450000	50000	*	2980	21929	0.13589310958092	CHG
Fvb7	1450001	1500000	50000	*	3899	19734	0.197577784534306	CHG
Fvb7	1500001	1550000	50000	*	2793	22095	0.126408689748812	CHG
Fvb7	1550001	1600000	50000	*	4300	25571	0.168159242892339	CHG
Fvb7	1600001	1650000	50000	*	4152	26491	0.15673247518025	CHG
Fvb7	1650001	1700000	50000	*	4917	27473	0.178975721617588	CHG
Fvb7	1700001	1750000	50000	*	6999	18274	0.383003173908285	CHG
Fvb7	1750001	1800000	50000	*	3282	23909	0.13727048391819	CHG
Fvb7	1800001	1850000	50000	*	5328	20307	0.262372580883439	CHG
Fvb7	1850001	1900000	50000	*	6029	23770	0.253639040807741	CHG
Fvb7	1900001	1950000	50000	*	3483	21255	0.163867325335215	CHG
Fvb7	1950001	2000000	50000	*	5660	27022	0.209458959366442	CHG
Fvb7	2000001	2050000	50000	*	2818	22875	0.123191256830601	CHG
Fvb7	2050001	2100000	50000	*	4024	18733	0.214808092670688	CHG
Fvb7	2100001	2150000	50000	*	5419	13171	0.411434211525321	CHG
Fvb7	2150001	2200000	50000	*	1772	26049	0.0680256439786556	CHG
Fvb7	2200001	2250000	50000	*	7887	17332	0.455054234941149	CHG
Fvb7	2250001	2300000	50000	*	7343	22499	0.326370060891595	CHG
Fvb7	2300001	2350000	50000	*	7234	25869	0.279639723220843	CHG
Fvb7	2350001	2400000	50000	*	1928	26182	0.0736383775112673	CHG
Fvb7	2400001	2450000	50000	*	4079	23777	0.171552340497119	CHG
Fvb7	2450001	2500000	50000	*	7436	19250	0.386285714285714	CHG
Fvb7	2500001	2550000	50000	*	8049	22051	0.365017459525645	CHG
Fvb7	2550001	2600000	50000	*	9265	21549	0.4299503457237	CHG
Fvb7	2600001	2650000	50000	*	3812	24030	0.158635039533916	CHG
Fvb7	2650001	2700000	50000	*	2903	25856	0.112275680693069	CHG
Fvb7	2700001	2750000	50000	*	5454	21723	0.251070294158265	CHG
Fvb7	2750001	2800000	50000	*	4389	18871	0.232579089608394	CHG
Fvb7	2800001	2850000	50000	*	4420	22825	0.193647316538883	CHG
Fvb7	2850001	2900000	50000	*	6747	13309	0.506950184085957	CHG
Fvb7	2900001	2950000	50000	*	4614	27584	0.167270881670534	CHG
Fvb7	2950001	3000000	50000	*	5192	22586	0.229876914903037	CHG
Fvb7	3000001	3050000	50000	*	1238	20134	0.0614880301976756	CHG
Fvb7	3050001	3100000	50000	*	4899	20524	0.238696160592477	CHG
Fvb7	3100001	3150000	50000	*	4527	23845	0.189851121828476	CHG
Fvb7	3150001	3200000	50000	*	3612	30810	0.117234664070107	CHG
Fvb7	3200001	3250000	50000	*	5250	18529	0.28333962976955	CHG
Fvb7	3250001	3300000	50000	*	6495	24278	0.267526155366999	CHG
Fvb7	3300001	3350000	50000	*	9297	17717	0.524750239882599	CHG
Fvb7	3350001	3400000	50000	*	7332	19211	0.381656342720317	CHG
Fvb7	3400001	3450000	50000	*	992	27223	0.0364397751900966	CHG
Fvb7	3450001	3500000	50000	*	7561	20870	0.362290368950647	CHG
Fvb7	3500001	3550000	50000	*	2972	23270	0.127718091963902	CHG
Fvb7	3550001	3600000	50000	*	6040	20803	0.290342739028025	CHG
Fvb7	3600001	3650000	50000	*	3061	21665	0.141287791368567	CHG
Fvb7	3650001	3700000	50000	*	6291	21463	0.293109071425243	CHG
Fvb7	3700001	3750000	50000	*	10090	26675	0.37825679475164	CHG
Fvb7	3750001	3800000	50000	*	8724	20457	0.426455492007626	CHG
Fvb7	3800001	3850000	50000	*	7286	21371	0.340929296710496	CHG
Fvb7	3850001	3900000	50000	*	3309	19042	0.173773763260162	CHG
Fvb7	3900001	3950000	50000	*	11114	20026	0.554978527913712	CHG
Fvb7	3950001	4000000	50000	*	2481	21990	0.112824010914052	CHG
Fvb7	4000001	4050000	50000	*	7890	12100	0.652066115702479	CHG
Fvb7	4050001	4100000	50000	*	11527	19112	0.603128924236082	CHG
Fvb7	4100001	4150000	50000	*	3727	7276	0.512231995601979	CHG
Fvb7	4150001	4200000	50000	*	9426	14244	0.661752316764954	CHG
