group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AL42D	Fvb1	1	50000	50000	*	8375	19903	0.420790835552429	CG
1	AL42D	Fvb1	50001	100000	50000	*	5445	19168	0.284067195325543	CG
1	AL42D	Fvb1	100001	150000	50000	*	5192	25722	0.201850555944328	CG
1	AL42D	Fvb1	150001	200000	50000	*	5927	23226	0.255188151209851	CG
1	AL42D	Fvb1	200001	250000	50000	*	5302	22407	0.236622484045164	CG
1	AL42D	Fvb1	250001	300000	50000	*	12727	22162	0.574271275155672	CG
1	AL42D	Fvb1	300001	350000	50000	*	6511	20964	0.310580041976722	CG
1	AL42D	Fvb1	350001	400000	50000	*	6164	26642	0.231364011710833	CG
1	AL42D	Fvb1	400001	450000	50000	*	6888	20538	0.335378323108384	CG
1	AL42D	Fvb1	450001	500000	50000	*	6580	16318	0.403235690648364	CG
1	AL42D	Fvb1	500001	550000	50000	*	3890	16765	0.232031016999702	CG
1	AL42D	Fvb1	550001	600000	50000	*	5826	19301	0.301849645096109	CG
1	AL42D	Fvb1	600001	650000	50000	*	3667	12234	0.299738433872813	CG
1	AL42D	Fvb1	650001	700000	50000	*	1710	9708	0.176143386897404	CG
1	AL42D	Fvb1	700001	750000	50000	*	9330	25647	0.363785238039537	CG
1	AL42D	Fvb1	750001	800000	50000	*	13744	22841	0.601724968258833	CG
1	AL42D	Fvb1	800001	850000	50000	*	9820	18214	0.539145712089601	CG
1	AL42D	Fvb1	850001	900000	50000	*	4459	21240	0.209934086629002	CG
1	AL42D	Fvb1	900001	950000	50000	*	4526	19642	0.230424600346197	CG
1	AL42D	Fvb1	950001	1000000	50000	*	4725	19609	0.240960783313784	CG
1	AL42D	Fvb1	1000001	1050000	50000	*	3826	22947	0.16673203468863	CG
1	AL42D	Fvb1	1050001	1100000	50000	*	4073	18581	0.219202411065066	CG
1	AL42D	Fvb1	1100001	1150000	50000	*	2966	10148	0.292274339771384	CG
1	AL42D	Fvb1	1150001	1200000	50000	*	5002	15316	0.326586576129538	CG
1	AL42D	Fvb1	1200001	1250000	50000	*	1140	7655	0.148922273024167	CG
1	AL42D	Fvb1	1250001	1300000	50000	*	395	484	0.816115702479339	CG
1	AL42D	Fvb1	1300001	1350000	50000	*	1350	6258	0.215723873441994	CG
1	AL42D	Fvb1	1350001	1400000	50000	*	4914	15606	0.314878892733564	CG
1	AL42D	Fvb1	1400001	1450000	50000	*	6230	19315	0.32254724307533	CG
1	AL42D	Fvb1	1450001	1500000	50000	*	5269	21984	0.239674308588064	CG
1	AL42D	Fvb1	1500001	1550000	50000	*	4797	20800	0.230625	CG
1	AL42D	Fvb1	1550001	1600000	50000	*	6032	21148	0.285227917533573	CG
1	AL42D	Fvb1	1600001	1650000	50000	*	4219	17062	0.247274645410855	CG
1	AL42D	Fvb1	1650001	1700000	50000	*	4438	20691	0.214489391522884	CG
1	AL42D	Fvb1	1700001	1750000	50000	*	5845	20572	0.284124052109664	CG
1	AL42D	Fvb1	1750001	1800000	50000	*	4398	20895	0.210480976310122	CG
