,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb5,context,group
1,Fvb5,1,50000,50000,*,9291,15002,-0.0618125056344354,CG,AK_FK
2,Fvb5,50001,100000,50000,*,3679,15551,0.00691507912575554,CG,AK_FK
3,Fvb5,100001,150000,50000,*,3492,20340,-0.00555999910161428,CG,AK_FK
4,Fvb5,150001,200000,50000,*,5327,17861,-0.017291335625129,CG,AK_FK
5,Fvb5,200001,250000,50000,*,2926,16546,-0.0257499802371451,CG,AK_FK
6,Fvb5,250001,300000,50000,*,3895,20192,0.013552991447267,CG,AK_FK
7,Fvb5,300001,350000,50000,*,2201,19359,0.00434190092919909,CG,AK_FK
8,Fvb5,350001,400000,50000,*,2521,22631,-0.00998626262422116,CG,AK_FK
9,Fvb5,400001,450000,50000,*,5860,20605,0.0169256450433028,CG,AK_FK
10,Fvb5,450001,500000,50000,*,2634,17104,-0.015052339799217,CG,AK_FK
11,Fvb5,500001,550000,50000,*,2548,18506,0.00314186108512093,CG,AK_FK
12,Fvb5,550001,600000,50000,*,3778,13344,-0.0149082928963415,CG,AK_FK
13,Fvb5,600001,650000,50000,*,11842,17288,-0.062507835001447,CG,AK_FK
14,Fvb5,650001,700000,50000,*,4512,11741,0.0703002857685474,CG,AK_FK
15,Fvb5,700001,750000,50000,*,3400,17052,0.0032516952093595,CG,AK_FK
16,Fvb5,750001,800000,50000,*,7835,17816,-0.00626411733198662,CG,AK_FK
17,Fvb5,800001,850000,50000,*,3699,18186,0.019333432620842,CG,AK_FK
18,Fvb5,850001,900000,50000,*,5241,16183,-0.0119247909711415,CG,AK_FK
19,Fvb5,900001,950000,50000,*,3266,18435,0.00655055018669454,CG,AK_FK
20,Fvb5,950001,1000000,50000,*,3616,8701,-0.178434171516416,CG,AK_FK
21,Fvb5,1000001,1050000,50000,*,4721,7682,-0.124664827148703,CG,AK_FK
22,Fvb5,1050001,1100000,50000,*,4252,15847,-0.0138007094463277,CG,AK_FK
23,Fvb5,1100001,1150000,50000,*,3769,19895,0.0184768421308645,CG,AK_FK
24,Fvb5,1150001,1200000,50000,*,3968,14786,-0.0207160891137766,CG,AK_FK
25,Fvb5,1200001,1250000,50000,*,8871,15971,-0.0408215568590836,CG,AK_FK
26,Fvb5,1250001,1300000,50000,*,2934,16900,0.0156437467475573,CG,AK_FK
27,Fvb5,1300001,1350000,50000,*,3724,17801,-0.000780384671818235,CG,AK_FK
28,Fvb5,1350001,1400000,50000,*,3310,16035,-0.0183368273582964,CG,AK_FK
29,Fvb5,1400001,1450000,50000,*,6156,13267,0.0536831442934553,CG,AK_FK
30,Fvb5,1450001,1500000,50000,*,7213,13566,-0.0315088593614675,CG,AK_FK
31,Fvb5,1500001,1550000,50000,*,3624,15104,-0.00158469747859785,CG,AK_FK
32,Fvb5,1550001,1600000,50000,*,3384,10902,-0.0328014690033043,CG,AK_FK
33,Fvb5,1600001,1650000,50000,*,3987,11661,-0.0609493713102299,CG,AK_FK
34,Fvb5,1650001,1700000,50000,*,5485,12109,0.00131163088606434,CG,AK_FK
35,Fvb5,1700001,1750000,50000,*,4347,17374,0.023016500589581,CG,AK_FK
36,Fvb5,1750001,1800000,50000,*,1696,18222,0.0126564925646965,CG,AK_FK
37,Fvb5,1800001,1850000,50000,*,5406,16433,0.024812520811903,CG,AK_FK
38,Fvb5,1850001,1900000,50000,*,5846,17473,0.0160126703471133,CG,AK_FK
39,Fvb5,1900001,1950000,50000,*,5955,19120,0.0344629592109145,CG,AK_FK
40,Fvb5,1950001,2000000,50000,*,2654,17432,-0.0102768393633846,CG,AK_FK
41,Fvb5,2000001,2050000,50000,*,1953,15107,0.0429588252848773,CG,AK_FK
42,Fvb5,2050001,2100000,50000,*,2413,23394,-0.020076224343742,CG,AK_FK
43,Fvb5,2100001,2150000,50000,*,3479,14263,0.0215699442547942,CG,AK_FK
44,Fvb5,2150001,2200000,50000,*,3326,13663,0.012126569614641,CG,AK_FK
45,Fvb5,2200001,2250000,50000,*,2889,12913,0.00475586962218535,CG,AK_FK
46,Fvb5,2250001,2300000,50000,*,3083,8784,-0.216114627846548,CG,AK_FK
47,Fvb5,2300001,2350000,50000,*,2176,14695,-0.0107094660110508,CG,AK_FK
48,Fvb5,2350001,2400000,50000,*,4135,14383,0.0260804491245333,CG,AK_FK
49,Fvb5,2400001,2450000,50000,*,5885,15098,-0.00288343034929217,CG,AK_FK
50,Fvb5,2450001,2500000,50000,*,5070,18589,-0.00134074591032196,CG,AK_FK
51,Fvb5,2500001,2550000,50000,*,7670,17390,0.00504642011380246,CG,AK_FK
52,Fvb5,2550001,2600000,50000,*,1881,15442,0.0129633288848831,CG,AK_FK
53,Fvb5,2600001,2650000,50000,*,5533,21403,-0.00193086537519865,CG,AK_FK
54,Fvb5,2650001,2700000,50000,*,2547,21612,0.0029244989076717,CG,AK_FK
55,Fvb5,2700001,2750000,50000,*,5354,16264,-0.0185741086595222,CG,AK_FK
56,Fvb5,2750001,2800000,50000,*,7637,15923,0.0110681993724123,CG,AK_FK
57,Fvb5,2800001,2850000,50000,*,18350,21461,-0.0166850798510815,CG,AK_FK
58,Fvb5,2850001,2900000,50000,*,4466,13403,0.0563133012115864,CG,AK_FK
59,Fvb5,2900001,2950000,50000,*,5022,17487,0.000950650615831161,CG,AK_FK
60,Fvb5,2950001,3000000,50000,*,4712,14490,0.105229935184674,CG,AK_FK
61,Fvb5,3000001,3050000,50000,*,4589,21616,0.0242030543228974,CG,AK_FK
62,Fvb5,3050001,3100000,50000,*,3880,13548,-0.0532835762620745,CG,AK_FK
63,Fvb5,3100001,3150000,50000,*,3868,16984,-0.00735578175008783,CG,AK_FK
64,Fvb5,3150001,3200000,50000,*,3391,12413,-0.0117094345577257,CG,AK_FK
65,Fvb5,3200001,3250000,50000,*,3732,15395,0.0144263877361804,CG,AK_FK
66,Fvb5,3250001,3300000,50000,*,2205,13353,-0.104099338091699,CG,AK_FK
67,Fvb5,3300001,3350000,50000,*,5301,10601,0.0135943171090058,CG,AK_FK
68,Fvb5,3350001,3400000,50000,*,1363,4258,-0.0292099587003645,CG,AK_FK
69,Fvb5,3400001,3450000,50000,*,3535,16356,0.0305116530876409,CG,AK_FK
70,Fvb5,3450001,3500000,50000,*,4573,16884,-0.00689739028056729,CG,AK_FK
71,Fvb5,3500001,3550000,50000,*,2666,15617,-0.00395864966771531,CG,AK_FK
72,Fvb5,3550001,3600000,50000,*,4721,16251,-0.0236996673262055,CG,AK_FK
73,Fvb5,3600001,3650000,50000,*,4238,17827,0.0150711476266181,CG,AK_FK
74,Fvb5,3650001,3700000,50000,*,4564,15236,0.0370854166969464,CG,AK_FK
75,Fvb5,3700001,3750000,50000,*,5545,16220,0.0526234291011992,CG,AK_FK
76,Fvb5,3750001,3800000,50000,*,4774,17854,-0.00235045510312676,CG,AK_FK
77,Fvb5,3800001,3850000,50000,*,8131,12959,-0.0248103354115379,CG,AK_FK
78,Fvb5,3850001,3900000,50000,*,3730,16867,-0.000236434280213221,CG,AK_FK
79,Fvb5,3900001,3950000,50000,*,4362,16785,0.0287439359121665,CG,AK_FK
80,Fvb5,3950001,4000000,50000,*,2509,19867,-0.00108407503732783,CG,AK_FK
81,Fvb5,4000001,4050000,50000,*,2940,9389,-0.105601602984427,CG,AK_FK
82,Fvb5,4050001,4100000,50000,*,381,431,0.329302383964052,CG,AK_FK
83,Fvb5,4100001,4150000,50000,*,1522,5094,-0.00940314511427587,CG,AK_FK
84,Fvb5,4150001,4200000,50000,*,6361,14111,0.0278003582948595,CG,AK_FK
85,Fvb5,4200001,4250000,50000,*,6721,11849,-0.00752881096711322,CG,AK_FK
86,Fvb5,4250001,4300000,50000,*,2812,9688,0.00505801072159928,CG,AK_FK
87,Fvb5,4300001,4350000,50000,*,6291,12977,0.00231401869124043,CG,AK_FK
88,Fvb5,4350001,4400000,50000,*,4962,15598,0.0655188047128517,CG,AK_FK
89,Fvb5,4400001,4450000,50000,*,3252,12721,-0.0295296909759112,CG,AK_FK
