group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AK42D	Fvb1	1	50000	50000	*	1552	86691	0.0179026657899897	CHH
1	AK42D	Fvb1	50001	100000	50000	*	2125	100191	0.02120948987434	CHH
1	AK42D	Fvb1	100001	150000	50000	*	619	105881	0.00584618581237427	CHH
1	AK42D	Fvb1	150001	200000	50000	*	2937	98909	0.0296939611157731	CHH
1	AK42D	Fvb1	200001	250000	50000	*	1680	96900	0.0173374613003096	CHH
1	AK42D	Fvb1	250001	300000	50000	*	7486	98088	0.0763192235543594	CHH
1	AK42D	Fvb1	300001	350000	50000	*	996	105797	0.00941425560271085	CHH
1	AK42D	Fvb1	350001	400000	50000	*	1949	101668	0.01917024039029	CHH
1	AK42D	Fvb1	400001	450000	50000	*	1274	98133	0.0129823810542835	CHH
1	AK42D	Fvb1	450001	500000	50000	*	1726	96438	0.017897509280574	CHH
1	AK42D	Fvb1	500001	550000	50000	*	1263	75697	0.0166849412790467	CHH
1	AK42D	Fvb1	550001	600000	50000	*	1235	94729	0.0130371903007527	CHH
1	AK42D	Fvb1	600001	650000	50000	*	518	66760	0.00775913720790893	CHH
1	AK42D	Fvb1	650001	700000	50000	*	643	46887	0.0137138225947491	CHH
1	AK42D	Fvb1	700001	750000	50000	*	5046	97273	0.0518746209122778	CHH
1	AK42D	Fvb1	750001	800000	50000	*	8467	99141	0.0854036170706368	CHH
1	AK42D	Fvb1	800001	850000	50000	*	5075	88218	0.0575279421433268	CHH
1	AK42D	Fvb1	850001	900000	50000	*	1645	98752	0.0166578904731043	CHH
1	AK42D	Fvb1	900001	950000	50000	*	361	92134	0.00391820609112814	CHH
1	AK42D	Fvb1	950001	1000000	50000	*	1383	90566	0.0152706313627631	CHH
1	AK42D	Fvb1	1000001	1050000	50000	*	1530	82526	0.0185396117587185	CHH
1	AK42D	Fvb1	1050001	1100000	50000	*	1127	97408	0.0115698915900131	CHH
1	AK42D	Fvb1	1100001	1150000	50000	*	1241	74397	0.0166807801389841	CHH
1	AK42D	Fvb1	1150001	1200000	50000	*	1837	92173	0.0199299144000955	CHH
1	AK42D	Fvb1	1200001	1250000	50000	*	123	26508	0.00464010864644636	CHH
1	AK42D	Fvb1	1250001	1300000	50000	*	132	1781	0.0741156653565413	CHH
1	AK42D	Fvb1	1300001	1350000	50000	*	385	24230	0.0158893933140735	CHH
1	AK42D	Fvb1	1350001	1400000	50000	*	1265	71592	0.01766957201922	CHH
1	AK42D	Fvb1	1400001	1450000	50000	*	1428	91650	0.0155810147299509	CHH
1	AK42D	Fvb1	1450001	1500000	50000	*	1211	98474	0.0122976623271117	CHH
1	AK42D	Fvb1	1500001	1550000	50000	*	2771	93139	0.0297512320295472	CHH
1	AK42D	Fvb1	1550001	1600000	50000	*	1719	91070	0.0188755902053366	CHH
1	AK42D	Fvb1	1600001	1650000	50000	*	1471	77920	0.0188783367556468	CHH
1	AK42D	Fvb1	1650001	1700000	50000	*	3558	104386	0.0340850305596536	CHH
1	AK42D	Fvb1	1700001	1750000	50000	*	3114	95867	0.0324825017993679	CHH
1	AK42D	Fvb1	1750001	1800000	50000	*	1355	105094	0.0128932194035816	CHH
1	AK42D	Fvb1	1800001	1850000	50000	*	702	108375	0.00647750865051903	CHH
1	AK42D	Fvb1	1850001	1900000	50000	*	2002	100336	0.0199529580609153	CHH
1	AK42D	Fvb1	1900001	1950000	50000	*	1000	97208	0.010287219158917	CHH
1	AK42D	Fvb1	1950001	2000000	50000	*	1956	109367	0.0178847367121709	CHH
1	AK42D	Fvb1	2000001	2050000	50000	*	2389	104907	0.0227725509260583	CHH
1	AK42D	Fvb1	2050001	2100000	50000	*	1581	103984	0.0152042621941837	CHH
1	AK42D	Fvb1	2100001	2150000	50000	*	2118	104716	0.0202261354520799	CHH
1	AK42D	Fvb1	2150001	2200000	50000	*	1248	92779	0.0134513198029727	CHH
1	AK42D	Fvb1	2200001	2250000	50000	*	1477	101472	0.0145557395143488	CHH
1	AK42D	Fvb1	2250001	2300000	50000	*	2179	84002	0.0259398585747958	CHH
1	AK42D	Fvb1	2300001	2350000	50000	*	1138	98861	0.0115111115606761	CHH
1	AK42D	Fvb1	2350001	2400000	50000	*	2118	99760	0.0212309542902967	CHH
1	AK42D	Fvb1	2400001	2450000	50000	*	2075	71759	0.0289162335038114	CHH
1	AK42D	Fvb1	2450001	2500000	50000	*	2440	82900	0.0294330518697226	CHH
1	AK42D	Fvb1	2500001	2550000	50000	*	1612	104313	0.0154534909359332	CHH
1	AK42D	Fvb1	2550001	2600000	50000	*	3427	70202	0.0488162730406541	CHH
1	AK42D	Fvb1	2600001	2650000	50000	*	3385	83178	0.0406958570775926	CHH
