group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	AL42D	Fvb1	1	50000	50000	*	1608	123866	0.0129817706230927	CHH
1	AL42D	Fvb1	50001	100000	50000	*	1950	135908	0.014347941254378	CHH
1	AL42D	Fvb1	100001	150000	50000	*	755	146253	0.00516228726932097	CHH
1	AL42D	Fvb1	150001	200000	50000	*	2116	127473	0.0165995936394374	CHH
1	AL42D	Fvb1	200001	250000	50000	*	1422	127441	0.0111581045346474	CHH
1	AL42D	Fvb1	250001	300000	50000	*	7846	130601	0.0600761096775676	CHH
1	AL42D	Fvb1	300001	350000	50000	*	1028	137842	0.00745781401894923	CHH
1	AL42D	Fvb1	350001	400000	50000	*	1982	137028	0.0144641970984032	CHH
1	AL42D	Fvb1	400001	450000	50000	*	1338	126351	0.0105895481634494	CHH
1	AL42D	Fvb1	450001	500000	50000	*	1690	125482	0.0134680671331346	CHH
1	AL42D	Fvb1	500001	550000	50000	*	1335	104763	0.012743048595401	CHH
1	AL42D	Fvb1	550001	600000	50000	*	1276	122365	0.0104278184121277	CHH
1	AL42D	Fvb1	600001	650000	50000	*	626	83742	0.00747534092808865	CHH
1	AL42D	Fvb1	650001	700000	50000	*	755	58298	0.0129507015678068	CHH
1	AL42D	Fvb1	700001	750000	50000	*	4233	127481	0.0332049481883575	CHH
1	AL42D	Fvb1	750001	800000	50000	*	6323	126378	0.0500324423554733	CHH
1	AL42D	Fvb1	800001	850000	50000	*	5405	115380	0.046845207141619	CHH
1	AL42D	Fvb1	850001	900000	50000	*	1342	127929	0.010490193779362	CHH
1	AL42D	Fvb1	900001	950000	50000	*	604	118451	0.00509915492482123	CHH
1	AL42D	Fvb1	950001	1000000	50000	*	1299	118987	0.0109171590173716	CHH
1	AL42D	Fvb1	1000001	1050000	50000	*	1285	104982	0.0122401935569907	CHH
1	AL42D	Fvb1	1050001	1100000	50000	*	881	122129	0.00721368389162279	CHH
1	AL42D	Fvb1	1100001	1150000	50000	*	1055	90188	0.0116977868452566	CHH
1	AL42D	Fvb1	1150001	1200000	50000	*	1324	112214	0.0117988842746894	CHH
1	AL42D	Fvb1	1200001	1250000	50000	*	177	31753	0.00557427644632003	CHH
1	AL42D	Fvb1	1250001	1300000	50000	*	96	2247	0.0427236315086782	CHH
1	AL42D	Fvb1	1300001	1350000	50000	*	288	28247	0.0101957730024427	CHH
1	AL42D	Fvb1	1350001	1400000	50000	*	1025	90700	0.0113009922822492	CHH
1	AL42D	Fvb1	1400001	1450000	50000	*	1419	118680	0.0119565217391304	CHH
1	AL42D	Fvb1	1450001	1500000	50000	*	1066	123927	0.00860183817892792	CHH
1	AL42D	Fvb1	1500001	1550000	50000	*	2222	113997	0.0194917410107284	CHH
1	AL42D	Fvb1	1550001	1600000	50000	*	1271	112207	0.0113272790467618	CHH
1	AL42D	Fvb1	1600001	1650000	50000	*	1219	94803	0.0128582428826092	CHH
1	AL42D	Fvb1	1650001	1700000	50000	*	2990	133611	0.0223783969882719	CHH
1	AL42D	Fvb1	1700001	1750000	50000	*	2278	116887	0.0194889080907201	CHH
1	AL42D	Fvb1	1750001	1800000	50000	*	1331	138932	0.00958022629775718	CHH
1	AL42D	Fvb1	1800001	1850000	50000	*	689	133005	0.00518025638133905	CHH
