chrom	start	end	value
Fvb1	26103	26202	-0.213831479
Fvb1	146703	146802	-0.242424242
Fvb1	392103	392202	0.363546798
Fvb1	401303	401402	0.231660232
Fvb1	444803	444902	0.301194162
Fvb1	466303	466402	-0.24924812
Fvb1	540703	540802	0.226859283
Fvb1	580203	580302	0.282081609
Fvb1	580303	580402	0.224784058
Fvb1	887203	887302	0.320588235
Fvb1	930303	930402	-0.211818182
Fvb1	1171403	1171502	-0.283193277
Fvb1	1200503	1200602	-0.215812774
Fvb1	1200603	1200702	-0.202545069
Fvb1	1376403	1376502	0.312820513
Fvb1	1472903	1473002	-0.260586812
Fvb1	1473003	1473102	-0.411428571
Fvb1	1483403	1483502	0.229650748
Fvb1	1517703	1517802	-0.328013582
Fvb1	1637303	1637402	-0.205462185
Fvb1	1861803	1861902	-0.228030303
Fvb1	1891403	1891502	0.21890781
Fvb1	1918603	1918702	0.264038232
Fvb1	1930003	1930102	-0.288241836
Fvb1	1938703	1938802	-0.271226415
Fvb1	1949903	1950002	-0.239357134
Fvb1	1993403	1993502	0.266764923
Fvb1	2106603	2106702	0.202157165
Fvb1	2225403	2225502	0.266959064
Fvb1	2254903	2255002	-0.232378462
Fvb1	2424903	2425002	-0.365368683
Fvb1	2542203	2542302	-0.21474359
Fvb1	2544803	2544902	-0.330769231
Fvb1	2597403	2597502	-0.306666667
Fvb1	2732503	2732602	-0.301343101
Fvb1	3111403	3111502	0.40645732
Fvb1	3212203	3212302	0.272727273
Fvb1	3212303	3212402	0.230769231
Fvb1	3248203	3248302	-0.221062812
Fvb1	3272003	3272102	-0.298786181
Fvb1	3319603	3319702	-0.246035941
Fvb1	3479303	3479402	-0.22432135
Fvb1	3499703	3499802	-0.502155172
Fvb1	3500403	3500502	-0.438502674
Fvb1	3563503	3563602	0.214471969
Fvb1	3709803	3709902	-0.248484848
Fvb1	3786103	3786202	-0.354545455
Fvb1	3790503	3790602	-0.318703385
Fvb1	4020803	4020902	-0.401985112
Fvb1	4146603	4146702	-0.287257187
Fvb1	4185403	4185502	0.220508658
Fvb1	4187903	4188002	-0.218590832
Fvb1	4264603	4264702	-0.393483709
Fvb1	4264703	4264802	-0.289502165
Fvb1	4322703	4322802	-0.25
Fvb1	4613203	4613302	-0.235228348
