seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType	source	type	tss	score	phase
contig_10	13404	13503	100	*	61	102	0.598039215686274	31	113	0.274336283185841	18	CG	-1	1.57191599089217e-05	loss	NA	NA	NA	NA	NA
contig_12	21501	21600	100	*	7	173	0.0404624277456647	17	70	0.242857142857143	16	CG	1	1.57463548907635e-05	gain	NA	NA	NA	NA	NA
contig_22	42902	43001	100	*	59	218	0.270642201834862	93	178	0.52247191011236	18	CG	1	4.22074113897889e-06	gain	NA	NA	NA	NA	NA
contig_22	43602	43701	100	*	91	158	0.575949367088608	41	110	0.372727272727273	19	CG	-1	0.00169091334571113	loss	NA	NA	NA	NA	NA
contig_22	44002	44101	100	*	8	92	0.0869565217391304	28	81	0.345679012345679	18	CG	1	0.000133204271587282	gain	NA	NA	NA	NA	NA
contig_5	20104	20203	100	*	78	119	0.65546218487395	21	55	0.381818181818182	10	CG	-1	0.00128833435173268	loss	NA	NA	NA	NA	NA
contig_5	20204	20303	100	*	105	146	0.719178082191781	39	90	0.433333333333333	21	CG	-1	7.23566018609453e-05	loss	NA	NA	NA	NA	NA
contig_6	32106	32205	100	*	44	187	0.235294117647059	69	140	0.492857142857143	16	CG	1	1.27908134588201e-05	gain	NA	NA	NA	NA	NA
contig_6	49006	49105	100	*	92	169	0.544378698224852	27	97	0.278350515463918	14	CG	-1	0.000126033735487926	loss	NA	NA	NA	NA	NA
contig_7	39701	39800	100	*	77	225	0.342222222222222	24	182	0.131868131868132	20	CG	-1	1.10029327430566e-05	loss	NA	NA	NA	NA	NA
contig_9	43003	43102	100	*	54	128	0.421875	16	83	0.192771084337349	18	CG	-1	0.00112110032095155	loss	NA	NA	NA	NA	NA
Fvb1	18403	18502	100	*	42	66	0.636363636363636	43	49	0.877551020408163	4	CG	1	0.00385965063414932	gain	NA	NA	NA	NA	NA
Fvb1	20703	20802	100	*	52	52	1	11	16	0.6875	4	CG	-1	0.000131416022728757	loss	EVM	SO:0001952	FvH4_1g00030	1	NA
Fvb1	109503	109602	100	*	39	90	0.433333333333333	10	58	0.172413793103448	8	CG	-1	0.00160763616781389	loss	NA	NA	NA	NA	NA
Fvb1	401003	401102	100	*	74	97	0.762886597938144	57	59	0.966101694915254	6	CG	1	0.00139788409622373	gain	NA	NA	NA	NA	NA
Fvb1	439003	439102	100	*	9	52	0.173076923076923	12	24	0.5	4	CG	1	0.00343221378351783	gain	EVM	SO:0001952	FvH4_1g00890	1	NA
Fvb1	463803	463902	100	*	58	81	0.716049382716049	20	44	0.454545454545455	4	CG	-1	0.00408556074689062	loss	NA	NA	NA	NA	NA
Fvb1	466303	466402	100	*	102	111	0.918918918918919	36	52	0.692307692307692	8	CG	-1	0.000517738896303878	loss	EVM	SO:0001952	FvH4_1g00960	1	NA
Fvb1	633403	633502	100	*	7	94	0.074468085106383	18	59	0.305084745762712	6	CG	1	0.000497979929368386	gain	EVM	SO:0001952	FvH4_1g01260	1	NA
Fvb1	1035303	1035402	100	*	51	103	0.495145631067961	58	66	0.878787878787879	10	CG	1	5.01234069767529e-06	gain	EVM	SO:0001952	FvH4_1g01971	1	NA
Fvb1	1035403	1035502	100	*	41	76	0.539473684210526	42	51	0.823529411764706	6	CG	1	0.00158816011073896	gain	EVM	SO:0001952	FvH4_1g01971	1	NA
Fvb1	1085503	1085602	100	*	16	76	0.210526315789474	18	38	0.473684210526316	4	CG	1	0.00399655794760014	gain	NA	NA	NA	NA	NA
Fvb1	1171903	1172002	100	*	89	125	0.712	45	49	0.918367346938776	8	CG	1	0.00388178160074506	gain	NA	NA	NA	NA	NA
Fvb1	1207703	1207802	100	*	52	61	0.852459016393443	28	49	0.571428571428571	5	CG	-1	0.00162182349957653	loss	NA	NA	NA	NA	NA
Fvb1	1408203	1408302	100	*	30	97	0.309278350515464	36	65	0.553846153846154	6	CG	1	0.00248463804118022	gain	NA	NA	NA	NA	NA
Fvb1	1444903	1445002	100	*	48	67	0.716417910447761	37	39	0.948717948717949	4	CG	1	0.0040119231395856	gain	NA	NA	NA	NA	NA
Fvb1	1503303	1503402	100	*	56	83	0.674698795180723	51	55	0.927272727272727	6	CG	1	0.00104047617814921	gain	NA	NA	NA	NA	NA
Fvb1	1509503	1509602	100	*	18	100	0.18	25	63	0.396825396825397	8	CG	1	0.00278901604163538	gain	NA	NA	NA	NA	NA
Fvb1	1509603	1509702	100	*	19	39	0.487179487179487	21	23	0.91304347826087	4	CG	1	0.00129712218360824	gain	NA	NA	NA	NA	NA
Fvb1	1647203	1647302	100	*	154	194	0.793814432989691	42	71	0.591549295774648	12	CG	-1	0.00151142623709621	loss	NA	NA	NA	NA	NA
Fvb1	1707403	1707502	100	*	26	52	0.5	32	38	0.842105263157895	6	CG	1	0.00142063472767573	gain	NA	NA	NA	NA	NA
Fvb1	1791403	1791502	100	*	55	124	0.443548387096774	46	70	0.657142857142857	10	CG	1	0.00429284674636542	gain	NA	NA	NA	NA	NA
