group	group_name	seqnames	start	end	width	strand	sumReadsM	sumReadsN	Proportion	context
1	FL42D	Fvb1	1	50000	50000	*	8360	25015	0.334199480311813	CG
1	FL42D	Fvb1	50001	100000	50000	*	6842	23856	0.286804158283032	CG
1	FL42D	Fvb1	100001	150000	50000	*	6215	32186	0.193096377306904	CG
1	FL42D	Fvb1	150001	200000	50000	*	4802	26126	0.18380157697313	CG
1	FL42D	Fvb1	200001	250000	50000	*	5447	31047	0.175443682159307	CG
1	FL42D	Fvb1	250001	300000	50000	*	13513	26559	0.508791746677209	CG
1	FL42D	Fvb1	300001	350000	50000	*	7109	28434	0.250017584581839	CG
1	FL42D	Fvb1	350001	400000	50000	*	6170	32134	0.192008464554677	CG
1	FL42D	Fvb1	400001	450000	50000	*	6825	27958	0.244116174261392	CG
1	FL42D	Fvb1	450001	500000	50000	*	6280	17768	0.353444394416929	CG
1	FL42D	Fvb1	500001	550000	50000	*	3403	17572	0.193660368768495	CG
1	FL42D	Fvb1	550001	600000	50000	*	6285	23276	0.270020622100017	CG
1	FL42D	Fvb1	600001	650000	50000	*	5316	15553	0.34179900983733	CG
1	FL42D	Fvb1	650001	700000	50000	*	1468	10712	0.137042569081404	CG
1	FL42D	Fvb1	700001	750000	50000	*	5235	23058	0.22703616965912	CG
1	FL42D	Fvb1	750001	800000	50000	*	9340	21505	0.43431760055801	CG
1	FL42D	Fvb1	800001	850000	50000	*	7316	19953	0.366661654888989	CG
1	FL42D	Fvb1	850001	900000	50000	*	3920	12537	0.312674483528755	CG
1	FL42D	Fvb1	900001	950000	50000	*	5210	26669	0.195357906183209	CG
1	FL42D	Fvb1	950001	1000000	50000	*	5383	23531	0.228762058561047	CG
1	FL42D	Fvb1	1000001	1050000	50000	*	4002	27770	0.144112351458408	CG
1	FL42D	Fvb1	1050001	1100000	50000	*	4015	17148	0.234138091905762	CG
1	FL42D	Fvb1	1100001	1150000	50000	*	3385	15551	0.217670889331876	CG
1	FL42D	Fvb1	1150001	1200000	50000	*	6435	21255	0.302752293577982	CG
1	FL42D	Fvb1	1200001	1250000	50000	*	1583	10690	0.148082319925164	CG
1	FL42D	Fvb1	1250001	1300000	50000	*	1224	1358	0.901325478645066	CG
1	FL42D	Fvb1	1300001	1350000	50000	*	1940	9338	0.207753266224031	CG
1	FL42D	Fvb1	1350001	1400000	50000	*	6296	22067	0.285312910681108	CG
1	FL42D	Fvb1	1400001	1450000	50000	*	7158	26057	0.274705453429021	CG
1	FL42D	Fvb1	1450001	1500000	50000	*	5447	30852	0.176552573577078	CG
1	FL42D	Fvb1	1500001	1550000	50000	*	3054	22424	0.136193364252587	CG
1	FL42D	Fvb1	1550001	1600000	50000	*	5696	26860	0.212062546537602	CG
1	FL42D	Fvb1	1600001	1650000	50000	*	3649	18113	0.201457516700712	CG
1	FL42D	Fvb1	1650001	1700000	50000	*	4430	19245	0.230189659651858	CG
1	FL42D	Fvb1	1700001	1750000	50000	*	4558	22866	0.199335257587685	CG
1	FL42D	Fvb1	1750001	1800000	50000	*	2848	21382	0.133196146291273	CG
1	FL42D	Fvb1	1800001	1850000	50000	*	4896	19989	0.244934714092751	CG
1	FL42D	Fvb1	1850001	1900000	50000	*	5752	26830	0.214386880357808	CG
1	FL42D	Fvb1	1900001	1950000	50000	*	4732	28882	0.163839069316529	CG
1	FL42D	Fvb1	1950001	2000000	50000	*	4791	24094	0.198846185772391	CG
1	FL42D	Fvb1	2000001	2050000	50000	*	2614	16884	0.154821132433073	CG
1	FL42D	Fvb1	2050001	2100000	50000	*	5165	27143	0.190288472165936	CG
1	FL42D	Fvb1	2100001	2150000	50000	*	4475	24183	0.185047347310094	CG
1	FL42D	Fvb1	2150001	2200000	50000	*	2448	35450	0.0690550070521862	CG
1	FL42D	Fvb1	2200001	2250000	50000	*	6819	23130	0.294811932555123	CG
1	FL42D	Fvb1	2250001	2300000	50000	*	5568	15122	0.368205263853988	CG
1	FL42D	Fvb1	2300001	2350000	50000	*	7398	26650	0.277598499061914	CG
1	FL42D	Fvb1	2350001	2400000	50000	*	2746	21510	0.127661552766155	CG
1	FL42D	Fvb1	2400001	2450000	50000	*	2269	11057	0.205209369630099	CG
1	FL42D	Fvb1	2450001	2500000	50000	*	6944	18397	0.377452845572648	CG
1	FL42D	Fvb1	2500001	2550000	50000	*	3289	29898	0.110007358351729	CG
1	FL42D	Fvb1	2550001	2600000	50000	*	2004	9480	0.211392405063291	CG
1	FL42D	Fvb1	2600001	2650000	50000	*	2661	11892	0.223763874873865	CG
1	FL42D	Fvb1	2650001	2700000	50000	*	5090	25397	0.200417372130567	CG
1	FL42D	Fvb1	2700001	2750000	50000	*	5374	31294	0.171726209497028	CG
1	FL42D	Fvb1	2750001	2800000	50000	*	3235	24803	0.130427770834173	CG
1	FL42D	Fvb1	2800001	2850000	50000	*	5399	25124	0.214894125139309	CG
1	FL42D	Fvb1	2850001	2900000	50000	*	3794	26627	0.142486949337139	CG
1	FL42D	Fvb1	2900001	2950000	50000	*	1509	18109	0.0833287315699376	CG
1	FL42D	Fvb1	2950001	3000000	50000	*	5150	19384	0.265683037556748	CG
1	FL42D	Fvb1	3000001	3050000	50000	*	7430	33730	0.220278683664394	CG
1	FL42D	Fvb1	3050001	3100000	50000	*	8157	17429	0.468013081645533	CG
1	FL42D	Fvb1	3100001	3150000	50000	*	7624	24802	0.307394564954439	CG
1	FL42D	Fvb1	3150001	3200000	50000	*	5087	20800	0.244567307692308	CG
1	FL42D	Fvb1	3200001	3250000	50000	*	5162	25019	0.206323194372277	CG
1	FL42D	Fvb1	3250001	3300000	50000	*	6397	25115	0.254708341628509	CG
1	FL42D	Fvb1	3300001	3350000	50000	*	1733	28125	0.0616177777777778	CG
1	FL42D	Fvb1	3350001	3400000	50000	*	7328	24292	0.301663098962621	CG
1	FL42D	Fvb1	3400001	3450000	50000	*	4701	25264	0.186075047498417	CG
1	FL42D	Fvb1	3450001	3500000	50000	*	6705	21451	0.31257284042702	CG
1	FL42D	Fvb1	3500001	3550000	50000	*	5228	29280	0.178551912568306	CG
1	FL42D	Fvb1	3550001	3600000	50000	*	5648	17941	0.314809653865448	CG
1	FL42D	Fvb1	3600001	3650000	50000	*	8025	22283	0.360140017053359	CG
1	FL42D	Fvb1	3650001	3700000	50000	*	4717	20356	0.231725289840833	CG
1	FL42D	Fvb1	3700001	3750000	50000	*	3132	12381	0.252968257814393	CG
1	FL42D	Fvb1	3750001	3800000	50000	*	4232	24304	0.17412771560237	CG
1	FL42D	Fvb1	3800001	3850000	50000	*	5167	26053	0.198326488312286	CG
1	FL42D	Fvb1	3850001	3900000	50000	*	649	2049	0.316739873108834	CG
1	FL42D	Fvb1	3900001	3950000	50000	*	3673	24786	0.148188493504398	CG
1	FL42D	Fvb1	3950001	4000000	50000	*	6202	17353	0.357402178297701	CG
1	FL42D	Fvb1	4000001	4050000	50000	*	5304	24143	0.219691007745516	CG
1	FL42D	Fvb1	4050001	4100000	50000	*	5166	25299	0.204197794379224	CG
1	FL42D	Fvb1	4100001	4150000	50000	*	4080	16511	0.247107988613651	CG
1	FL42D	Fvb1	4150001	4200000	50000	*	7015	22555	0.311017512746619	CG
1	FL42D	Fvb1	4200001	4250000	50000	*	8690	24366	0.35664450463761	CG
1	FL42D	Fvb1	4250001	4300000	50000	*	7834	27342	0.286518908638724	CG
1	FL42D	Fvb1	4300001	4350000	50000	*	5562	27106	0.20519442189921	CG
1	FL42D	Fvb1	4350001	4400000	50000	*	5581	24946	0.223723242203159	CG
1	FL42D	Fvb1	4400001	4450000	50000	*	2174	13074	0.166284228239253	CG
1	FL42D	Fvb1	4450001	4500000	50000	*	6875	21437	0.320707188505854	CG
1	FL42D	Fvb1	4500001	4550000	50000	*	4103	24729	0.16591855715961	CG
1	FL42D	Fvb1	4550001	4600000	50000	*	6532	23004	0.283950617283951	CG
1	FL42D	Fvb1	4600001	4650000	50000	*	7266	17916	0.405559276624246	CG
1	FL42D	Fvb1	4650001	4700000	50000	*	2618	26346	0.0993699233280194	CG
1	FL42D	Fvb1	4700001	4750000	50000	*	6934	31978	0.216836575145412	CG
1	FL42D	Fvb1	4750001	4800000	50000	*	6023	32414	0.185814771395076	CG
1	FL42D	Fvb1	4800001	4850000	50000	*	1776	7318	0.242689259360481	CG
1	FL42D	Fvb1	4850001	4900000	50000	*	4710	28537	0.165048883905106	CG
1	FL42D	Fvb1	4900001	4950000	50000	*	5722	30780	0.185899935022742	CG
1	FL42D	Fvb1	4950001	5000000	50000	*	5764	27881	0.206735769879129	CG
1	FL42D	Fvb1	5000001	5050000	50000	*	7632	20716	0.36841089013323	CG
1	FL42D	Fvb1	5050001	5100000	50000	*	5288	33616	0.1573060447406	CG
1	FL42D	Fvb1	5100001	5150000	50000	*	7417	26776	0.277001792650134	CG
1	FL42D	Fvb1	5150001	5200000	50000	*	6744	23091	0.292061842276212	CG
1	FL42D	Fvb1	5200001	5250000	50000	*	2928	4797	0.610381488430269	CG
1	FL42D	Fvb1	5250001	5300000	50000	*	5293	9348	0.566217372700043	CG
1	FL42D	Fvb1	5300001	5350000	50000	*	7761	21158	0.366811607902448	CG
1	FL42D	Fvb1	5350001	5400000	50000	*	9143	19044	0.480098718756564	CG
1	FL42D	Fvb1	5400001	5450000	50000	*	6965	35745	0.194852426912855	CG
1	FL42D	Fvb1	5450001	5500000	50000	*	4701	27778	0.169234646122831	CG
1	FL42D	Fvb1	5500001	5550000	50000	*	7562	25493	0.296630447573844	CG
1	FL42D	Fvb1	5550001	5600000	50000	*	6349	26724	0.237576710073342	CG
1	FL42D	Fvb1	5600001	5650000	50000	*	7415	25798	0.287425381812544	CG
1	FL42D	Fvb1	5650001	5700000	50000	*	2134	19052	0.112009237875289	CG
1	FL42D	Fvb1	5700001	5750000	50000	*	8288	26029	0.318414076606862	CG
1	FL42D	Fvb1	5750001	5800000	50000	*	5995	27936	0.214597651775487	CG
1	FL42D	Fvb1	5800001	5850000	50000	*	2310	18770	0.123068726691529	CG
1	FL42D	Fvb1	5850001	5900000	50000	*	3103	25328	0.122512634238787	CG
1	FL42D	Fvb1	5900001	5950000	50000	*	4808	25115	0.191439378857257	CG
1	FL42D	Fvb1	5950001	6000000	50000	*	7413	30306	0.244605028707187	CG
1	FL42D	Fvb1	6000001	6050000	50000	*	5114	26261	0.194737443357069	CG
